date,g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,mu_sh,z_sh,lambda_f_sh,lambda_w_sh,rm_sh,sigma_omega_sh,mu_e_sh,gamma_sh,pi_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,dettrend,detrendedMean
2007-03-31,0.00500837831701637,0.05712202941487855,-4.495424106595234,1.9978957819953056,2.477930670022313,-0.014161985519010888,-0.003198267272324639,0.14258320100135635,-0.19655802187906257,-0.08263201967912304,0.010913834683962184,0.0,0.0,0.03308615979067624,0.0,-0.1168363026421783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0403902266219427,0.8561195782587818
2007-06-30,0.004945130934321397,0.08219609049666624,-4.717785758558325,2.3854452791268272,2.651148043608801,-0.015287756229978135,-0.009532222538641538,0.11443461194349691,-0.2081341689479047,-0.1284539314200383,0.009348972955026232,0.0,0.0,0.05551828408149469,0.0,-0.13814514502734235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030422147835997,1.1161195782587816
2007-09-30,0.004849400865834563,0.03018335108127465,-4.920602986468262,2.45450711483059,2.9020813368136142,-0.01175071161279243,-0.01024877265367877,0.09163908887860402,-0.21755489627076946,0.1450014446736983,0.007879862201362376,0.0,0.0,0.12852004594995287,0.0,-0.18893959652489817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0205548964956899,1.436119578258782
2007-12-31,0.004787077538977453,0.07336499145404973,-5.204569674778308,2.8592418279252825,2.96177789361764,-0.00722970440739092,-0.008929580848828571,0.1371210830467176,-0.2216416182911508,0.028188872621505462,0.007100154107992564,0.0,0.0,0.11689469667970084,0.0,-0.21077384282320308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0107874024172159,1.5461195782587813
2008-03-31,0.004705864970105366,0.08067887021890204,-5.3607851169706215,2.9102978651371423,3.073133573462509,0.001463909748298609,-0.0210220284354347,0.10733908959109113,-0.21862732137425206,-0.11686416987151454,0.0037542714643586375,0.0,0.0,0.16335067623387717,0.0,-0.24242451511837898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0011186092042657,1.386119578258782
2008-06-30,0.0046498929222795,0.10420713154429569,-5.591395732818469,3.0529473307977764,3.1069228537991465,0.004538068094716222,-0.01918456126604639,0.15526015055736597,-0.2175423899150157,0.12627288223097793,0.002406527174306695,0.0,0.0,0.13744414472235306,0.0,-0.29195419353300617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9915474739494561,1.5661195782587818
2008-09-30,0.004649936089338774,0.10891675947620863,-5.7529580934064155,3.002459325205628,3.2397598427009844,0.013398073705864877,-0.007112993309959731,0.06758423323938156,-0.20952764958482822,0.3927559163026057,0.0007729772447803976,0.0,0.0,0.17956753664103695,0.0,-0.32621925299204957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9820729669475028,1.6961195782587817
2008-12-31,0.004552893309329623,0.017587886603277897,-5.994025628910446,2.391123186493551,3.2890559389076466,0.04637645222134945,0.024928697360346995,0.01526420239990212,-0.20271766663080085,0.563891627938514,-0.00424880651443756,0.0,0.0,0.24817090366949898,0.0,-0.326534180007521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9726940714195049,1.0461195782587818
2009-03-31,0.004527530249944276,-0.14339176809055676,-6.080704434313801,1.347302421579315,3.1731878158056026,0.06261258750081729,0.04087487437871966,0.02243882219986207,-0.2024546815100855,-0.32540850817354083,-0.007195115695200089,0.0,0.0,0.22813639506598754,0.0,-0.24721614398539016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9634097832476415,-1.1638804217412184
2009-06-30,0.004551808323686086,-0.16198402501278397,-5.949881957406636,0.7990423051382619,3.030643822000667,0.06482564328671746,0.016991688309269525,-0.04867661796027753,-0.19963505857304395,-0.5008249532098679,-0.005526252765497579,0.0,0.0,0.1863554576940172,0.0,-0.10398139228542286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9542191107199989,-1.9138804217412182
2009-09-30,0.004596068004724037,-0.16886617969504059,-5.532044205907625,0.19640698462025413,2.8859930845865294,0.05285771913592168,-0.0004860187499166309,-0.11078506622397746,-0.19104584506321562,-0.5202232068535909,-0.0012157748139271468,0.0,0.0,0.16223013922127924,0.0,-0.03641919428732496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9451210742848435,-2.313880421741218
2009-12-31,0.004694534963042593,-0.09546509186196626,-5.18527340117851,0.06321285147050369,2.6084013326040987,0.03793631243328556,-0.0020505367593995844,-0.11149362681416383,-0.17980887569516796,-0.550449041295346,0.0025114169228035578,0.0,0.0,0.07143954919091446,0.0,0.006349447964693972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9361147063138324,-2.393880421741218
2010-03-31,0.004795936544100354,-0.026375899144361965,-4.873463391448803,0.090127047261013,2.4210404068802895,0.026479690700163976,-0.004887284103290451,-0.1356244697675792,-0.17127821847639463,-0.739953374457354,0.0046800922352869066,0.0,0.0,0.0164289696844556,0.0,0.03695102147688971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927199050873917,-2.4238804217412184
2010-06-30,0.004908067239548864,0.017446253579344848,-4.625845345818365,0.07716466865215867,2.235232877627705,0.021073447777958217,0.0033709430814688798,-0.11699562891759191,-0.16083185110394385,-0.8355932138581348,0.007255610939957052,0.0,0.0,-0.015688176163595635,0.0,0.04624876171435235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9183731635072638,-2.4238804217412184
2010-09-30,0.005027627390740547,0.0190830110164935,-4.381014922354496,-0.13952110406469154,2.193881579952136,0.015736371095307726,0.004837713453397918,-0.09735879217284464,-0.15593741017167428,-0.694140123789214,0.007182798992422124,0.0,0.0,0.029598047980904697,0.0,0.04910866991049521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9096361110189368,-2.2338804217412185
2010-12-31,0.005188942933702581,0.07038473498691845,-4.345640969411702,0.07370635141088402,2.125799159640007,0.009951024313011947,-0.0030039751019239457,-0.11377682655344826,-0.15385981490626738,-0.7020241433738252,0.007928924976730787,0.0,0.0,0.014093656016173947,0.0,0.07638554205550742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9009869712719378,-2.0338804217412183
2011-03-31,0.0052480226514231435,-0.002449340974250744,-4.3606818158803025,0.020130334061069316,2.250012154247692,0.005475708791618265,-0.01030170336882064,-0.08221510177932202,-0.14988692677493198,-0.6750643220616449,0.009507691594212477,0.0,0.0,0.05103105520710911,0.0,0.06288898955456435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8924248329891526,-1.9838804217412185
2011-06-30,0.005404108329298947,-0.0163898843364311,-4.319370719048938,0.03278987471432979,2.31266716938026,0.0020221750659514142,0.0054873631763403645,-0.10667468596149027,-0.1462920434118803,-0.3936362636306039,0.009299435647416011,0.0,0.0,0.06669012337156766,0.0,0.04017412939966777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8839487955620516,-1.6238804217412184
2011-09-30,0.005497389288217119,-0.019104325399043477,-4.156859787017021,-0.16329827417343606,2.2575038953144007,0.006726994943971167,-0.003604151594769435,-0.09355316515705882,-0.1474194856922881,-0.15171625447776826,0.008742890759569844,0.0,0.0,0.07423595631089869,0.0,0.04340992628630838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8755579688654871,-1.4638804217412185
2011-12-31,0.005623551422425884,-0.02372708535808387,-3.97244870970829,-0.39082795012058363,2.1629650920584673,0.013205107324708995,0.004466693339380174,-0.10758216527240198,-0.1484095435349211,-0.1288459523277048,0.007804220726093474,0.0,0.0,0.07435752263331487,0.0,0.03228732399626948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867251473078717,-1.6038804217412184
2012-03-31,0.005746330923136775,-0.01860254698490029,-3.6962782644392935,-0.7521539779062807,1.9901061797172301,0.013397932070727363,0.0017813579768200562,-0.07106554503930204,-0.15062884061765217,-0.47776661921507435,0.007201132126515284,0.0,0.0,0.06307362759627612,0.0,0.032280373537070126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8590284385119705,-2.1938804217412184
2012-06-30,0.005871486351098454,-0.010014700378874485,-3.3025478614189474,-1.207157462905759,1.7661416297428623,0.013645234876939189,0.00045699847093146523,-0.07976301782854285,-0.15271460351675317,-0.4064389772836523,0.008107214570583459,0.0,0.0,0.03959220236957558,0.0,0.02005342976909984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8508880054385146,-2.4538804217412182
2012-09-30,0.005969964141739991,0.013286063661408165,-2.918676318027966,-1.648268132264041,1.5274662114310031,0.011704289455787251,0.004212195223576494,-0.05047335687719391,-0.1562483906828256,-0.3529235171637272,0.008241934049287563,0.0,0.0,0.02257436206290146,0.0,0.0064249493151259185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8428293239318618,-2.683880421741218
2012-12-31,0.006104312992930468,0.05280647214691371,-2.623780901245449,-1.960849516494486,1.3341278580367393,0.006918731613420345,0.004141755650563264,-0.0843993694926751,-0.16028723294886932,-0.1830443550449759,0.009162711457645002,0.0,0.0,0.025119501498036087,0.0,0.005248056378959944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8348515537079337,-2.7338804217412185
2013-03-31,0.006186487640815473,0.013921645718550306,-2.410378366803153,-2.336522239341527,1.217815681395009,0.0010058825536502273,0.0012880497250806148,-0.0119906022792233,-0.16274022892010157,0.10610919506763707,0.009725411828793747,0.0,0.0,0.007867084674976616,0.0,0.006877713023979638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8269538639718942,-2.7238804217412182
2013-06-30,0.006207958300368779,-0.017153313528658336,-2.37106874003499,-2.434353629835847,1.2156380606126824,-0.001949202820651738,-0.01387461384952684,-0.049582594147795006,-0.16304553509478548,0.2481251141953904,0.011574254689012728,0.0,0.0,0.01659189695640138,0.0,0.009874489545014877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8191354332694992,-2.7238804217412182
2013-09-30,0.0062819888191298235,-0.05951878258997706,-2.4808853524428574,-2.341173778785923,1.3031544850538777,-0.0037987102074316186,-0.0015944307148949288,-0.10142652788316425,-0.16107811977141365,0.2769759328062537,0.011906332844934045,0.0,0.0,0.03338868566511731,0.0,-0.0075075938802845205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8113954493425973,-2.7138804217412185
2013-12-31,0.006284774920588868,-0.06664584309186335,-2.591210418149764,-2.165370498589814,1.263957232285399,-0.0073467461542550076,-0.0011068366617934182,-0.14777771180733973,-0.1589739507947212,0.36116101295131275,0.01251742632891351,0.0,0.0,-0.002225261895732758,0.0,0.009123289925875636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8037331089889136,-2.683880421741218
2014-03-31,0.006230959050795098,-0.12560912401903918,-2.563441063344148,-2.3413197663415124,1.1638931072642564,-0.012335090469561901,-0.005026456846455665,-0.061426212914223,-0.15657455462153955,0.6868732400550163,0.012496722697318208,0.0,0.0,-0.03160491732448775,0.0,0.007815117143591718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79614761792553,-2.623880421741218
2014-06-30,0.00620185213834611,-0.06894049931658866,-2.492481714036808,-2.193435650199931,0.9335057436935229,-0.016275821262366246,0.0013577177137507387,-0.05874802669101714,-0.15512899326316948,0.6896769368244138,0.011918995255410377,0.0,0.0,-0.08558507323536559,0.0,0.015415919978996568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7886381906561917,-2.623880421741218
2014-09-30,0.0061612116581571345,-0.059942419447318956,-2.250374667546852,-2.3251843539354677,0.7901896218955254,-0.016234188201318694,0.004319239220127687,-0.08927836169700318,-0.15361344989797393,0.5754410968444759,0.011774747833269558,0.0,0.0,-0.06377235729771144,0.0,0.015429408485230188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7812040503421008,-2.7738804217412185
2014-12-31,0.0060702043075667785,0.00517004905244331,-2.0209400907537067,-2.288786155708037,0.4894145838038382,-0.015630863748570797,0.001976009064999796,-0.0682114664346813,-0.15076630297836388,0.4971367036407935,0.010848551160785775,0.0,0.0,-0.10941412166772872,0.0,0.0354080498395566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.773844428676169,-2.8338804217412186
2015-03-31,0.005978638541765537,0.03087482639807166,-1.76091829059723,-2.4680972608813105,0.2117038043267947,-0.015757009376280693,-0.0036686546877029765,0.017972454438193085,-0.14934792179499837,0.6176565265415114,0.010006056210226712,0.0,0.0,-0.13363786106072306,0.0,0.02679570443633936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7665585657605174,-2.8438804217412184
2015-06-30,0.005898461433614216,0.054323948906647185,-1.690024078510493,-2.2889306776312224,0.10873026243819228,-0.01240315730444481,-0.0024446673203755436,0.046207531896993156,-0.1490863008812071,0.38358986422331465,0.013465437906709597,0.0,0.0,-0.12878878167309515,0.0,0.006236024783493778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7593457099869765,-2.893880421741218
2015-09-30,0.005746980653060971,-0.021430927660549506,-1.639312406052962,-2.51236313437079,0.19493310637439565,-0.013355418288081622,-0.0037163147768397783,0.04183246985426169,-0.15366781966388018,0.4782701068886831,0.006809041590558011,0.0,0.0,-0.05799242033042064,0.0,-0.011838803883045857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752205117920725,-2.933880421741218
