date,g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,mu_sh,z_sh,lambda_f_sh,lambda_w_sh,rm_sh,sigma_omega_sh,mu_e_sh,gamma_sh,pi_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,dettrend,detrendedMean
2007-03-31,-5.66441761571683e-16,2.934010711221059e-19,4.948616971736742e-17,-9.831793612980143e-17,1.0735080900594783e-16,-1.9758819436555867e-16,2.582441529055153e-18,-2.0613503312304885e-17,-2.5994042697951526e-16,0.04867705828209798,9.619064540655333e-16,0.0,0.0,5.753751540791122e-18,0.0,5.45577824257867e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.644400489234562e-15,0.04867705828209137
2007-06-30,-5.023956605436788e-16,9.580742297641675e-18,2.4098876205050766e-17,-8.552161692698042e-17,1.218421877988126e-16,-4.92583096553773e-16,-4.0201675016677395e-19,-2.724652611261183e-17,-2.8242226589943164e-16,-0.018917392520400103,8.225184317447239e-16,0.0,0.0,8.902995163856758e-18,0.0,4.9698786111525953e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.642539547216987e-15,-0.018917392520407104
2007-09-30,-4.959192821601611e-16,-8.033775348525425e-18,2.2299893713451018e-17,-8.418404337953796e-17,1.4503614991968387e-16,-1.5665910868655374e-15,-3.0099922824094833e-18,-1.99227140942931e-17,-2.9387236816291384e-16,0.08885042709019483,8.252101599268016e-16,0.0,0.0,1.0804698307218681e-17,0.0,6.256828748650205e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.640650860463829e-15,0.0888504270901867
2007-12-31,-4.833415339242952e-16,1.0996718466835172e-17,2.5779678435591233e-18,-7.3139547253312e-17,1.5392375136937966e-16,-1.2303632063128239e-15,-2.444662446157448e-18,-2.4298030329356012e-17,-2.963641819161322e-16,-0.02688343683234337,9.086241574510603e-16,0.0,0.0,5.92244962708056e-17,0.0,4.3532754003087427e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.638735273296183e-15,-0.026883436832350997
2008-03-31,-4.945104804475721e-16,5.560615412845312e-18,1.952621247431969e-17,-7.531492973270948e-17,1.5896755523712697e-16,-1.4855191235911933e-15,3.438341847420956e-18,-2.6573260510988458e-17,-2.826158366673381e-16,-0.048800524354240024,5.087046715356863e-16,0.0,0.0,5.1400346635854573e-17,0.0,4.679023432703596e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.636793601528445e-15,-0.04880052435424823
2008-06-30,-4.981613885971471e-16,1.0271977655578439e-17,3.3020857367462763e-18,-7.659663026206703e-17,1.593106605550495e-16,7.248016888194988e-16,-3.8967590576880945e-18,-2.81820913004735e-17,-2.5965363918961485e-16,0.07628600020826068,7.944097233599842e-16,0.0,0.0,9.02183054765313e-17,0.0,5.308028010506036e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.634826633484655e-15,0.07628600020825503
2008-09-30,-5.201305021637929e-16,7.48140260386828e-18,1.3004056084386383e-17,-8.599259925470627e-17,1.6472063232826101e-16,-2.77150389577232e-16,-4.8219081940891135e-18,-2.406536117629484e-17,-2.5560884422688657e-16,0.10629120041316878,7.270375258480743e-16,0.0,0.0,7.583859497581796e-17,0.0,4.1192956680631725e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6328351309782664e-15,0.10629120041316215
2008-12-31,-5.557132478367788e-16,-1.719661625527354e-17,-1.948688607260813e-18,-1.1623575600021234e-16,1.6685978495844865e-16,-4.00593838989256e-15,-8.019270845012129e-18,-7.743496300949598e-18,-2.2503471402075528e-16,0.09473699151991724,2.1344835099998252e-16,0.0,0.0,9.318204897812318e-17,0.0,2.0988481541084586e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6308198302568255e-15,0.09473699151990621
2009-03-31,-5.343777843475618e-16,-4.5069426421568277e-17,2.4648942898673467e-17,-1.6312783317819935e-16,1.5264916213899171e-16,3.757235517521525e-15,3.749067624059327e-18,-5.274015046652408e-18,-2.1998974083839434e-16,-0.26926338645225223,5.260174072421824e-16,0.0,0.0,1.444401623035965e-16,0.0,-2.087965200367397e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.628781442912642e-15,-0.26926338645225506
2009-06-30,-5.554558319759724e-16,-2.5813793226507313e-17,6.609904060311441e-17,-1.921242411282782e-16,1.3143555527487023e-16,7.936710878956745e-15,1.5667605577860603e-17,1.535582314291275e-18,-2.3114850071400416e-16,-0.094577004168248,1.1941284718992442e-15,0.0,0.0,1.5218883224067946e-16,0.0,-5.093687533289456e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.626720656760897e-15,-0.09457700416824609
