date,vint_20Q1,vint_20Q2,vint_20Q3,vint_20Q4,vint_21Q1,vint_21Q2,vint_21Q3,vint_21Q4,vint_22Q1,vint_22Q2,vint_22Q3,vint_22Q4,vint_23Q1,vint_23Q2,vint_23Q3,vint_23Q4,vint_24Q1,vint_24Q2,vint_24Q3,vint_24Q4,vint_25Q1,vint_25Q2
1959-09-30,,,,,,,,,,,,,,,,,,,,,,
1959-12-31,,,,,,,,,,,,,,,,,,,,,,
1960-03-31,0.3900256491743518,0.39032782308624037,0.3901289117715324,0.3870480281069544,0.38687296255038595,0.3872164155164324,0.38650912835425616,0.3861578781420503,0.3853795524586099,0.3852616419631262,0.38441691854590243,0.38414162166759613,0.385226393212068,0.3841978742457555,0.38397447586898403,0.38397790313142127,0.3830443705234928,0.3825985004455487,0.38279058390508147,0.38191311010914475,0.382633305187714,0.38238830115788225
1960-06-30,0.4686701326497418,0.4689794745645328,0.46872058620106166,0.46593910741896594,0.465701792397013,0.46598099631166273,0.4652695804007177,0.4649356522724421,0.464331258839637,0.46420886352707763,0.46347752181038177,0.46323124065322696,0.4643289955029398,0.46345512823472984,0.4632403418543138,0.4632421772283955,0.4624066334392204,0.4619793028254306,0.4621592951507693,0.46131849242987794,0.4620427801007776,0.46178086540859326
1960-09-30,0.43207070519526913,0.4323858306845345,0.4320737704963924,0.4295665865613177,0.4292738689473221,0.4294948015786212,0.42878125794717226,0.42846353489965694,0.4280156163667506,0.42788901220214187,0.42726064267615166,0.42704071782057895,0.4281476174883887,0.4274140546953044,0.4272074743102512,0.4272079988852863,0.4264620664567692,0.42605211333470927,0.42622084918633496,0.4254146180428326,0.4261409644358105,0.4258644835948376
1960-12-31,0.44836386722610133,0.4486834714018421,0.4483241404050642,0.4460706490570584,0.445728499051857,0.44589623092664976,0.44518246618741875,0.4448801067602433,0.4445740883737269,0.444443648923905,0.4439096202208449,0.4437139138599362,0.4448264069961281,0.4442212025489601,0.44402254159633164,0.44402198212705096,0.4433587711187058,0.4429653719372757,0.44312353933626325,0.4423503551585874,0.44307683140662873,0.4427878495566975
1961-03-31,0.47688769412314647,0.4772105358832817,0.47680910475232324,0.47479244364713274,0.4744061095459175,0.47452495338738876,0.47381282074147035,0.47352521215287147,0.4733488263469319,0.4732149726238132,0.47276810379926887,0.4725948887860873,0.4737096140766262,0.47322278121445743,0.47303185660228914,0.4730304026866141,0.47244425131733536,0.4720668547551417,0.4722150103572221,0.47147383145022265,0.4721985694320324,0.47189893496435664
1961-06-30,0.49289829179445005,0.49322317007017746,0.4927842270325345,0.490990713899197,0.49056485990860377,0.4906384924381943,0.48992983795082373,0.4896565672834304,0.4895994231077966,0.4894625999679469,0.4890969167978877,0.4889448008641798,0.4900584927908128,0.4896816723662788,0.48949839569664033,0.4894962117818006,0.4889824967203815,0.48862078523829144,0.4887593669572683,0.4880495805348389,0.4887707250377937,0.4884621236473716
1961-09-30,0.5107022699206079,0.5110279978537839,0.5105556715795644,0.5089743977978678,0.5085132216354744,0.5085447805835618,0.5078414893065794,0.5075823263388276,0.5076355855282441,0.5074962520913862,0.5072068058313707,0.5070746792135474,0.5081840810468425,0.5079102926147288,0.5077346660455014,0.5077319000571696,0.5072868980578906,0.5069407664791441,0.50707010320088,0.5063914955907173,0.5071071574658931,0.5067911579512214
1961-12-31,0.5629083460414548,0.5632337253965706,0.5627317865803894,0.5613543256915349,0.5608616574486832,0.5608538178708629,0.5601578581721328,0.5599127461455682,0.5600688782083982,0.5599275058393012,0.5597102387775075,0.5595972379732462,0.5606990221626215,0.5605224776376332,0.5603545929431334,0.5603513826686479,0.5599721706030927,0.5596417157461093,0.5597620343252281,0.5591147775772674,0.5598229891135937,0.5595010822197493
