date,BBB_sh,AAA_sh,detrendedMean,g,b_liq,b_safe,FF,z,p-mkp,w-mkp,pol,fg1,fg2,fg3,fg4,fg5,fg6,pi-LR,mu,me,zp,dt
2007-03-31,0.0,0.0,-1.5855299738289697,-0.4304096044400185,0.22984038438347287,-0.10367996731738272,-0.23219527571797238,-1.4558415336329067,-0.14966050848850276,0.3295249166126224,0.6537883284259305,0.0,0.0,0.0,0.0,0.0,0.0,-0.2465542717514535,0.10946648038632212,-0.3188877041604976,0.005365312075844564,0.07054623655378123
2007-06-30,0.0,0.0,-0.30436227498515933,0.5787936772670976,-0.01906027367841734,0.20832268004715715,-0.1561621178347128,0.4501037057554669,-0.06721066957326993,-0.1647214409561948,-0.8292694170719206,0.0,0.0,0.0,0.0,0.0,0.0,0.028708897099716246,0.15643193426906343,-0.19130077412226054,-0.35352889948410127,0.06978559518946437
2007-09-30,0.0,0.0,-0.43460950010252297,-0.6523080526047553,-0.43785785607302063,0.42699323590140725,-0.3549017209023786,-0.9119631791576932,-0.036378930361391504,0.03762740978980883,-0.24909785395561546,0.0,0.0,0.0,0.0,0.0,0.0,0.16442298002092848,0.011807556384590967,1.9097804732199242,-0.3739776622106672,0.06903378016065442
2007-12-31,0.0,0.0,-0.19930744350409313,0.18727843274515266,-0.4355775660709771,0.15900848730434625,-0.5572334859078487,-0.3275356260478479,-0.03734847508419792,0.22417494280537742,0.8692062825234936,0.0,0.0,0.0,0.0,0.0,0.0,0.15546009826274965,-0.08054671137273095,-0.13245181201593237,-0.27871107847164955,0.06829067591871407
2008-03-31,0.0,0.0,-4.416494125721481,-0.21831267919995012,-1.0043924436699325,-1.4982630560792964,-0.6073195032434864,-0.6792315448403419,0.04206541341271741,0.14156761007646512,1.107547500807926,0.0,0.0,0.0,0.0,0.0,0.0,0.16293138334502189,-0.01945701306598213,-1.3324365046017528,-0.5239467781522289,0.06755616868669989
2008-06-30,0.0,0.0,-0.3061937726471564,-0.24456861616282133,-0.4394854309268892,-1.1859261431686252,-0.5677543735358448,0.118767581749335,0.1179636413427998,-0.03127635036725973,1.1756691574478007,0.0,0.0,0.0,0.0,0.0,0.0,0.1793641524935996,-0.02213701529145684,1.1077958245980124,-0.5495533633171568,0.06683014642643315
2008-09-30,0.0,0.0,-4.780370710108073,1.2260458442615363,-0.9965724392459574,-1.9293442176965159,-0.510009419264823,0.12332338156351152,0.10019248057242525,0.13270504861486732,-1.349160794279347,0.0,0.0,0.0,0.0,0.0,0.0,0.05904190014380806,0.04591455599360916,-1.0742503477508936,-0.6143981371721341,0.06611249880679182
2008-12-31,0.0,0.0,-11.156328106544178,2.3744536748375955,-2.835820310656101,-3.402672267637097,-1.003012737663822,-3.0807824439198273,0.3879737433384767,0.20484357945023124,-2.493865049186561,-0.7378999407451903,-0.347521539972917,-0.06287035848028255,-0.011854202107086653,-0.005073234176389274,-0.006387582323286178,0.27635772617840004,0.5181094368941208,-0.14109241073831935,-1.0144998593817567,0.06540311717271319
2009-03-31,0.0,0.0,-7.144042195638689,0.3256666272524189,-0.5102537085109993,-1.65329392143444,-1.2768522397323512,-0.12875871014695894,0.49667978898020326,-0.4381279991183429,-3.683964516135396,-0.8779625894783427,-0.5067627829618448,-0.2018868668059337,-0.022655460526121995,-0.03571732287050988,-0.04851285475104827,0.40494174351524137,-0.18376206055170652,2.132757904872995,-0.9422184718947513,0.06470189451419639
2009-06-30,0.0,0.0,-3.3857950005289905,0.2486058158081006,0.6174526185049212,-0.5808850206049931,-0.7219069765739827,2.1853152420667765,0.48212918391647985,0.7107309976913223,-2.757869026114834,-0.4516768680294492,-0.42428623942637467,-0.3046602425820222,-0.10869041741347063,-0.029287399697908167,-0.11269784651219972,-0.0400444732057581,-0.3496314964737457,-0.9808762538627391,-0.7172648676504689,0.06400872543701475
2009-09-30,0.0,0.0,-1.2602749591880569,-1.8153230880313176,1.9320830253220622,0.1542596144638475,0.00871316936044142,2.2303669749773603,0.40492131766156625,0.18972552523197628,-1.0654099175852694,0.31950811658290057,-0.028070989605499808,-0.1373106304638494,-0.06795084780928384,-0.017655291829488107,-0.1726193664672082,-0.6097912411852202,-0.9697566615387454,-0.7156098651517562,-0.8657602450755864,0.06332350613329485
2009-12-31,0.0,0.0,1.7202553906970675,1.1192410594059954,0.6813306497676752,-0.2583612360380627,0.46328069296164287,4.025358755695052,0.1669148354242589,0.06972210582689709,-2.3065203508232157,0.28761898344671355,0.12071332298262405,-0.22617977271082168,-0.08165017431022159,-0.035157506310634634,-0.2574619912804277,-0.7611177511701817,-0.8094342735779914,0.18843560115259228,-0.6631564704794646,0.06264613435329469
