date,BBB_sh,AAA_sh,detrendedMean,g,b_liq,b_safe,FF,z,p-mkp,w-mkp,pol,fg1,fg2,fg3,fg4,fg5,fg6,pi-LR,mu,me,zp,dt
2007-03-31,0.0,0.0,1.118737175330962,-0.06574463222429203,-2.585265514110762,2.199697150537749,-0.06731738401045927,-0.0001809453443356368,-3.263696673638893e-15,2.055050369589779e-14,-2.6768311405158725e-14,0.0,0.0,0.0,0.0,0.0,0.0,4.3310261399297034e-15,-0.034760691491640565,0.0,0.00017447556973541626,1.672134716404969
2007-06-30,0.0,0.0,1.60633999579019,-0.056445974021897036,-2.921283258180869,3.0126374322908265,-0.05413520312546895,-0.000303959465708211,-3.3871013501087448e-15,2.1296870664015586e-14,-2.4229731445791137e-14,0.0,0.0,0.0,0.0,0.0,0.0,4.51809064734352e-15,-0.028768458132403026,0.0,-0.0002119826887149022,1.6548513991144236
2007-09-30,0.0,0.0,1.7682427033129198,-0.059222990397071684,-3.186480392837232,3.4007915544024505,-0.03874388330410372,-0.0001987843025350804,-2.0730067488346784e-15,1.9194507434537287e-14,-2.564508599486347e-14,0.0,0.0,0.0,0.0,0.0,0.0,4.743534035545985e-15,0.01512759198222707,0.0,-0.0007805700138327568,1.6377501777830212
2007-12-31,0.0,0.0,1.871211683796231,-0.05114963893828323,-3.377661150441026,3.6828237581135683,-0.04723171713964572,-0.00010616397882264678,-3.21548907905871e-15,1.9177023858002414e-14,-2.3556865908210608e-14,0.0,0.0,0.0,0.0,0.0,0.0,4.896350677110665e-15,0.04447550444981372,0.0,-0.0007677481091860531,1.6208288398398125
2008-03-31,0.0,0.0,1.9145332558031019,-0.052384008307749155,-3.44539895526375,3.6892149890958126,0.02147144724061835,-0.0007127057931395665,-1.9683068071188394e-15,1.4850426264468014e-14,-2.0328361814723336e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.133167384155867e-15,0.09908037506859757,0.0,-0.0008231003270435537,1.6040852140897544
2008-06-30,0.0,0.0,2.0979538201088808,-0.04928738549713791,-3.60453933655798,4.0621678810012884,0.023373346879781768,-0.000684090592791859,-3.0715613692719397e-15,1.7943539052701712e-14,-2.3172314455743963e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.3127847886698135e-15,0.08098713223460993,0.0,-0.0015808974426726283,1.5875171700837785
2008-09-30,0.0,0.0,2.3201137001582666,-0.038955951386435025,-3.698948219744437,4.288505050139983,0.05722813048671503,-0.0005058368608748219,-2.007213712947148e-15,9.267729687434835e-15,-2.3681034722537308e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.584111287385592e-15,0.14307726394775033,0.0,-0.0014093537591663785,1.571122617334735
2008-12-31,0.0,0.0,1.6384819030848434,-0.056484784166712494,-4.067255636113804,3.6330964418931795,0.16892273701387425,0.000538297631396603,-1.3480818449689963e-15,7.874159510864908e-15,-2.5394619473930082e-14,7.368968745289601e-16,-1.991705003812294e-15,1.6140617914441498e-15,-1.6931788900391832e-16,-3.973548468941641e-16,-8.941418184935893e-16,5.839644031236445e-15,0.4053454494617432,0.0,-0.0005801070442506393,1.5548995044094194
2009-03-31,0.0,0.0,1.6946145701948279,-0.06128466464542159,-3.826812130628318,3.452702199981668,0.2184356182061345,0.0009443695493444109,-2.3112124439076938e-15,7.149577659347164e-15,-1.944789951131576e-14,-2.1381135370533565e-14,9.434933859977507e-16,1.5118487150774164e-15,-6.19693653508832e-16,-1.1757527624218248e-15,-3.816181284990464e-15,6.055149955211479e-15,0.3698106195991794,0.0,0.0019727402082093093,1.538845817924054
2009-06-30,0.0,0.0,1.365633163701538,-0.06187924103815445,-3.440651723788871,2.9003879947407216,0.18711252551972812,-3.3379506553911935e-5,-2.3649554185810874e-15,1.0991793948399501e-15,4.961931275081336e-15,-4.4524475310468974e-14,3.792423615450525e-15,1.3017107109685408e-15,-1.426104566338637e-15,-1.1821729707795495e-15,-7.572174257852076e-15,6.288762184680423e-15,0.2538621497094764,0.0,0.0038752565974289437,1.5229595814677932
