Date,smoothed_gdp_1,smoothed_gdp_2,smoothed_gdp_3,smoothed_gdp_4,smoothed_gdp_5,smoothed_gdp_6,smoothed_gdp_7,smoothed_gdp_8,smoothed_gdp_9,smoothed_gdp_10,smoothed_gdp_11,smoothed_gdp_12,smoothed_gdp_13,smoothed_gdp_14,smoothed_gdp_15,smoothed_gdp_16,smoothed_gdp_17,smoothed_gdp_18,smoothed_gdp_19,smoothed_gdp_20,smoothed_gdp_21,smoothed_gdp_22,smoothed_gdp_23,smoothed_gdp_24,smoothed_gdp_25,smoothed_gdp_26,smoothed_gdp_27,smoothed_gdp_28,smoothed_gdp_29,smoothed_gdp_30,smoothed_gdp_31,smoothed_gdp_32,smoothed_gdp_33,smoothed_gdp_34,smoothed_gdp_35,smoothed_gdp_36,smoothed_gdp_37,smoothed_gdp_38,smoothed_gdp_39,smoothed_gdp_40,smoothed_gdp_41,smoothed_gdp_42,smoothed_gdp_43,smoothed_gdp_44,smoothed_gdp_45,smoothed_gdp_46,smoothed_gdp_47,smoothed_gdp_48,smoothed_gdp_49,smoothed_gdp_50,smoothed_gdp_51,smoothed_gdp_52,smoothed_gdp_53,smoothed_gdp_54,smoothed_gdp_55,smoothed_gdp_56,smoothed_gdp_57,smoothed_gdp_58,smoothed_gdp_59,smoothed_gdp_60,smoothed_gdp_61,smoothed_gdp_62,smoothed_gdp_63,smoothed_gdp_64,smoothed_gdp_65,smoothed_gdp_66,smoothed_gdp_67,smoothed_gdp_68,smoothed_gdp_69,smoothed_gdp_70,smoothed_gdp_71,smoothed_gdp_72,smoothed_gdp_73,smoothed_gdp_74,smoothed_gdp_75,smoothed_gdp_76,smoothed_gdp_77,smoothed_gdp_78,smoothed_gdp_79,smoothed_gdp_80,smoothed_gdp_81,smoothed_gdp_82,smoothed_gdp_83,smoothed_gdp_84,smoothed_gdp_85,smoothed_gdp_86,smoothed_gdp_87,smoothed_gdp_88,smoothed_gdp_89,smoothed_gdp_90,smoothed_gdp_91,smoothed_gdp_92,smoothed_gdp_93,smoothed_gdp_94,smoothed_gdp_95,smoothed_gdp_96,smoothed_gdp_97,smoothed_gdp_98,smoothed_gdp_99,smoothed_gdp_100
1959-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-09-30,-1.44533713273945e+15,837.624525509314,62359672946182.5,-321480705796836,3770.7810899169,55106175929910.5,-184.657864330656,-126335179749945,181587723508277,-98282.3388197505,-1.07668223987603e+15,-122232615423217,143869322989214,2.19602563760845e+15,5212765760678.65,24962.6065380684,-207865698497353,-17215.0915414963,-358193857357526,134707459496976,-2.05664986221926e+15,-759.446349040699,2.12978367191557e+15,712581960774757,642.96754529096,352836491072791,656169536676967,400008733125009,-23835118285064.8,225921452473214,-481209094395634,862985612602703,1188.95552432592,235543703205124,-169544720726449,247840599680076,-72775545692960.6,95560749900126.1,230632640194205,181004916985882,162516391469144,443.916856949185,-220789743837998,-144732499223830,130763892130268,491871300566970,679861050633907,129104942165139,171262586821278,196906136624586,89209467267409,20396754267959.1,681.106361207404,-153010598664391,884.555394354257,-91215150229113.2,-148444284852654,-103344220701411,-8.38118189340905e+15,-262083454053693,-1925047631029.82,-63587219334943.3,-2.39576583388747e+15,-163418405001094,289889428475114,380843872057490,66143369072996.8,4.73811148884782e+16,90004893139925.5,707156788183317,435.108610372058,-344841751861862,350243937978259,-34191773080127.6,-76235172027865.2,301002816132281,1.8303115577793e+15,-833567842440807,305113806492865,110430631170923,-392358037552522,127475573987082,-1.34737528247187e+15,414620587250132,-34153702815198.2,178743763710209,14.5077189582677,-536949326211683,226602288074832,-2.91419559339527e+16,341027068822686,-1.27775979409906e+15,-606.004353680848,148714861814326,-134980684074147,102446526364140,78662795769481.6,612381353942328,67791393309477.7,-204.378751726932
1960-12-31,-694436230060470,2.30106244439098e+15,-46619046219216.5,129785118831440,-77472624979985.6,1.779323809783e+17,-230820265499503,288671051406159,464691676435035,139663374659793,-2752.06973881165,862198501820364,194330731803281,-8.92001896599976e+16,-66018456579271.9,-61809272962335.8,431926717876489,3.85935457650017e+15,-34225610537725.3,37634397069644.5,13685958541723.8,-64.2850930836534,211927911398064,3.56872315643758,242180915799037,-2.6428139418641e+15,192705982098025,-84463468925157.6,1.36865596491218e+15,452997322359462,-312651919879461,-666077034038069,-652.318665115357,16003921254670.6,-1.94734351949434e+15,475.645824701086,-771020544542.65,-91925108037962.2,95.4010713222241,280782983369926,-314.687085058563,3.76490931455341e+15,-239.918974254517,142752134299283,147826064530302,-400093193279650,25532953778917.3,606250699872822,668415028203481,-232301975322902,160659357066521,46253523492809.1,2156976641895.59,-205.876094869246,-161258045551756,426.338503605286,-310416714512171,-4.25747449022174e+15,300499335333676,-1.16621307244261e+15,3553972983740.98,-5.20066366731e+15,362529028455600,1.6500712248647e+15,-458423605477388,-346313283014539,55389.3811642809,60068434873548.3,648.667056931749,-281231497851174,-272082971860787,-1.45327918085815e+15,-1.53119194226607e+15,-341.691068784873,-51.0955346658228,311740775207999,381301069699646,123862836934499,-927845408065936,2.08339491808596e+16,2.01420915101484e+15,164252931631596,1530.25292464158,-1.01759876711747e+15,228829482226173,-2.88342157372686e+15,206123653520413,352133274000507,1.22788815035838e+15,-532339880776625,583625628448354,-2.74335840126866e+15,-765526491223717,87039986378329.5,-653936360979582,-26717305499488.2,291825896990095,-1139.72179571999,455348467174083,74.9499392685243
1961-03-31,1.42626961484714e+15,-216251613647816,-89488030962656.7,-239306493149288,-527033526486476,-312285695187162,-8.19995442543034e+15,921159797098207,63910293722907.9,-537060307615619,-3114.9954138352,-142387873963322,-1.00107198384452e+15,-4.36465244612486e+15,-570878258012262,-732414924400927,149.149741919983,589842628485044,-1.85743068554767e+15,-5.53269663308934e+15,-83193559411934,-1.50412279969856e+15,-900743778707761,2.21771797793284e+15,937542441272293,1.09808128441923e+16,914684119784618,2.25644423383452e+15,1.02006372428506e+16,65.682356811621,-706457180053853,449.004824519156,-112.815648893817,291305849713088,6.4062229112443e+16,154892552516519,-182796205355394,1.5294117130407e+15,-184529532319438,2.80023821289555e+15,2.05191515728201e+15,557293798829670,403698612701519,233707379595967,-121.279051113858,68.803866793388,335119950663628,143575604236820,96275232676587.8,-490557938079075,-2.63713030753285e+15,-96.6746613919855,-4.81814392678447e+15,-325.674290995429,-811997972119148,1.94397945564228e+15,-591.073726680899,181492821930564,4.62066188048299e+15,2.6235452194516e+15,-624114328166632,314611900985631,1.04879987965479e+16,-686877326697068,-1.56389021521515e+15,1.35489238478085e+17,503637313250310,-935746674302179,791088814178236,-933609242407665,-567776317013016,1.03711888275441e+15,290174014690220,2.1100997889075e+15,1.03054366499773e+15,41315909504139.9,-3.3997760503185e+15,-2.94696664978066e+15,989301699692458,853127114463218,36772271518362.6,-820183954168653,-322555849044197,-1.70394386287176,542442333136652,-58.0066720482542,1.31787195988313e+15,12550393769409.5,1318.54954257674,-840471119655580,-51181827689931.9,545006853621781,-2.98558199176537e+15,229715507697751,-158420615167394,155125970940733,890918498848008,-77510850742880,4.03934062431297e+15,3.09711558286228e+15
1961-06-30,-365596560997494,-1.89169508251164e+15,-108415123230816,2.93051085989711e+15,-2.18079762314443e+15,-150469354480492,824276559126844,860089813834988,670459501535873,878.709757471959,-3316.05963574314,-191575.580989727,464072751058793,186590596485684,-245504103439295,-1.6777191490257e+15,-2320.00685341831,745029395282902,-327101425736024,-145311778915266,-1.00329006613664e+15,-1.16973557833594e+15,34529726990545.5,1.20575770011015e+16,5303.0598987246,-899861486802905,184913680291397,1.97602910371141e+15,-4.69331155450347e+15,7175.75394711589,2.93770390759454e+15,1.29064310957122e+15,-1.25573386755442e+15,-2.95475373109474e+15,2.47050902568495e+15,-18546.4710693382,-11873.0242914984,-79174109031212.4,-698877554522652,-5744.67270770512,-10481.1586408815,730103323780613,4.28469976923561e+15,-385841315853109,734219696092242,152801706508820,-22090.0699448668,-4.4680570430047e+15,-72343.7328453966,1.03996523204748e+15,1.88546890559587e+15,761339185629137,-68627.6938594735,565033994453037,71456941483303.8,-516648434948128,-357225214994348,-9847.51285456733,-1.92451845584338e+15,-777.030482153351,-1.70847265170132e+15,-262075500715812,-6608.23199867042,369183303536288,3581.01265468155,453.981428059692,31659.5309896483,-1566.93011227805,1.04118040313555e+15,51206215908558.6,-298739791382613,2108.93631415562,2769.55694200239,392673580988650,-410813298347519,-281794798434992,1.561542128696e+15,-960.248414397961,-6.24616213592047e+15,100319362718669,1.70540527526576e+15,-2.45876900517707e+15,-175877727424143,977622323303846,3846.56397401749,-501095424081563,-38142658279836,255464037715931,893363410469049,-2765.64492434467,-291939078017570,-385359472159449,-302959293400880,9.08577864677922e+15,180127724121267,6003.27822739721,-554629034278645,-376.888483527168,236447648561241,-1031.222195853
1961-09-30,949470118143014,-561586316843966,407004783447093,-245342161478706,268694779550923,-536418233941912,570081291945194,-45795048910720.1,-797650668663830,-57301654103820.6,-3.06358141973441e+15,220953500102040,-90720067854726.6,7.72969555865449e+15,1.04244464949776e+15,3.65820658230482e+15,-17783510413679,1.37988005330459e+15,1.1330065052495e+16,978075123287473,-1.89639136895767e+15,6.77278486956067e+15,105025864420286,-7.57921728844152e+15,218187146279183,671364081803487,1.31135838269962e+15,1.75989717911026e+15,-552430039586304,-842860400366842,1.48959798882263e+15,-961601612419486,297706950639763,-408963550525696,2.81276893373146e+15,1.15888444380866e+15,-751769256510099,-1.90536506112199e+15,150574398838835,6631.03294545696,-7.39497862422104e+15,-2.31359939937656e+15,382036020166530,72520746596900.1,-1.59493538692816e+15,448433580098959,31256.7246756433,362655554695550,-33773.6231407853,2.42131653896584e+15,-671279134854709,1.26736698702102e+15,1.35251842660781e+15,-16490.9766066863,-716022503363882,-5.12830846924919e+15,-2.45602457330035e+17,-136848749172582,929747041453724,-596790374749018,1.87383874021338e+15,-17293555431280.6,-6.59285746760135e+16,157837523970017,1.17740737119301e+15,429348920717647,247754475283652,-99085.9773015314,1.19824125614137e+16,-330968215421446,-6.21092531047758e+15,7.5751791404761e+15,-3.65749626721427e+15,-346748792933208,-838258859214416,1.30534296872244e+15,-2.66482519947118e+15,1605232335494.75,4485.38069649661,568982084071523,-192275391438728,-1.65365708854112e+15,33082745940175.5,828877785848176,-3.32605393665256e+15,-2.77019614688292e+15,85417580735599.3,-1.2022075689198e+15,-9.43437657069639e+15,-1.14137293652012e+15,191356974240397,-283668793933308,-318853512650745,-2.17257944720053e+15,254199610577536,-379722097599956,120645355124393,5.0147002007697e+15,-12614.8139135737,94943949396539
1961-12-31,-568569129926063,177582838119467,326960728246287,59262513661983.7,8177.73599086695,2.75644027736054e+15,-1.06669479061715e+15,147488847283598,-2.3020048345322e+15,4026.06240452888,2982.37213213455,2501.60279701312,-21443.155369055,-1.05111179127814e+15,-1.08558783237601e+15,22459.7828090617,-230633896853410,-5558.85574738945,-631163498416671,-904742486342717,10014.187374381,424732176320272,79001.2650644507,10170.0479843709,523244390771362,-378443763619942,191194528898390,17911.4292431529,2.08411855913898e+16,263629261365244,-3.8535141582017e+15,-2.80971247945734e+17,149287.06537718,67422.7196685525,-3.94708366474703e+15,-1.14340578316413e+15,-644770829905072,838207536638576,-32965234517326,-2.96647360336547e+15,-501972075540200,-9811.51232220966,16655.8199850525,-1.47625742568466e+15,-1.15353454514223e+15,-1.03418464968691e+15,20711173814764.4,-137438419649233,-943863536263994,188054172994612,77729894641141.5,-2510.37635842624,-3.26603829074336e+15,-1.87916265551538e+15,-16037.316771063,10323711506769.6,-542710206028000,-6393.07712040712,17589944867613.3,94706729512665.3,4.64852520303252e+15,93081603422670.9,105520649794465,-232932487960144,332089165179664,127042686269994,316569367549086,123246551747817,265409211401425,-6.42443326645188e+15,-16388132753668.5,-20895633441919.3,-3571446739493.48,443518208210928,-307389969616334,-10717.3741393777,-43734.0598064428,-4083.56429965094,-3.0428607516643e+15,-413624210733181,-148936873002416,-158087932568921,1.91764746220974e+15,-141733906933458,-262069991790951,339776202584757,-4398.53732505489,-372031972078949,-1.09706191569704e+15,-203787757906992,205563350479274,12369.0201342244,50864373123077.9,1.01901607042874e+15,-268208293447706,-126348210173250,-345353876693822,837957136523205,329566168718089,-338572747497827
