date,BBB_sh,AAA_sh,detrendedMean,g,b_liq,b_safe,FF,z,p-mkp,w-mkp,pol,fg1,fg2,fg3,fg4,fg5,fg6,pi-LR,mu,me,zp,dt
2007-03-31,0.0,0.0,1.3471546519479247,-0.13730631218668005,-0.09554256971121733,1.7621614396767384,0.1844231829301465,0.8135294178653577,0.5181813364248797,-1.105851985263365,-1.0868731712100472,0.0,0.0,0.0,0.0,0.0,0.0,0.6137104927001725,0.03685835565910105,0.0,0.06910878181669439,-0.22524431675455214
2007-06-30,0.0,0.0,1.3471546519479247,-0.10629866315962719,-0.10733955512036275,1.7920698411240548,0.13452759575598291,0.5168964316358258,0.45914184296908683,-1.2224082836709598,-0.5690098200121203,0.0,0.0,0.0,0.0,0.0,0.0,0.6246218350347474,0.04628317216084711,0.0,0.0018496576326335196,-0.22317940240287087
2007-09-30,0.0,0.0,1.167154651947925,-0.17729546429789692,-0.2787344245108597,1.9021267141507505,0.12108074157771972,0.6308497208951629,0.43476166544193706,-1.292174285462439,-0.6461520244070199,0.0,0.0,0.0,0.0,0.0,0.0,0.6677794234552062,0.05845208287656818,0.0,-0.032410648129030314,-0.22112884964286172
2007-12-31,0.0,0.0,0.5971546519479247,-0.17704390280892895,-0.45465975368244,1.9161504071954707,0.09415271346329825,0.6075576296805353,0.4581018251764336,-1.2740262525705643,-1.0860865864395433,0.0,0.0,0.0,0.0,0.0,0.0,0.7030360727738876,0.05669777699037312,0.0,-0.027632568941986055,-0.21909270888928606
2008-03-31,0.0,0.0,-0.7228453480520751,-0.19998247215523504,-0.8354063621404347,1.3487085375043126,0.031418982388995015,0.6690708843618492,0.3729947153988724,-1.2668952993712157,-1.329711837631012,0.0,0.0,0.0,0.0,0.0,0.0,0.7352621777737987,0.04377165884104793,0.0,-0.07500530864356232,-0.21707102438013945
2008-06-30,0.0,0.0,-1.8228453480520752,-0.22539097795245852,-0.9992970325648775,0.9217057657703986,-0.04675680285317298,0.5710577415688236,0.28913385331187125,-1.3456348228260857,-1.490612081649942,0.0,0.0,0.0,0.0,0.0,0.0,0.7676078377399478,0.03435630819788055,0.0,-0.08395130239561298,-0.21506383439945193
2008-09-30,0.0,0.0,-1.9628453480520753,-0.1129205037394318,-1.3587177770636951,0.25002878436492704,-0.11987848215331483,0.5260957557771226,0.31902834672039027,-1.3642568798582435,-0.5990189689294733,0.0,0.0,0.0,0.0,0.0,0.0,0.7663240423246782,0.0269114699455585,0.0,-0.08336996394787563,-0.21307117149329233
2008-12-31,0.0,0.0,-3.3928453480520755,0.11130442715488013,-2.3997696462478455,-0.9396034306913583,-0.13051752068090824,1.0986880004907158,-0.03277498021154701,-1.3288052205593879,0.13889870253503134,-0.2589277217712305,-0.12201986376699134,-0.02212815813152121,-0.004196307272856798,-0.0018134363190600597,-0.0023211805604698675,0.8197196711674469,0.030740225121531385,0.0,-0.13822584562991966,-0.21109306267917582
2009-03-31,0.0,0.0,-3.722845348052075,0.13814982457664957,-2.566373866406428,-1.4603676196049529,-0.20230899159933413,0.8860805215324009,-0.17671603674692826,-1.6517195653803503,0.9699689710726251,0.11243281289651323,-0.2949588843033049,-0.09231815304664252,-0.012046271185468858,-0.014510943587605915,-0.019865988577289207,0.9008012180228494,0.07248554483568062,0.0,-0.1024483909020346,-0.2091295296490747
2009-06-30,0.0,0.0,-3.722845348052075,0.12189718823332468,-2.3155113130996687,-1.5878620557737368,-0.3854780519026777,0.3745224305870884,-0.17330908443927545,-1.461173271538436,1.034686791185196,0.3381503846427491,-0.03671857074050236,-0.19589106109915,-0.05004951844451145,-0.02439948874467211,-0.060059696420871056,0.8630053397437297,0.05713557223230123,0.0,-0.01461035350736984,-0.2071805889662224
