date,rm_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6
1960-03-31,0.1720345195558967,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-30,-1.1356128157302638,0.0,0.0,0.0,0.0,0.0,0.0
1960-09-30,0.3771871479129134,0.0,0.0,0.0,0.0,0.0,0.0
1960-12-31,-0.5548213213878634,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-31,0.43195210099946424,0.0,0.0,0.0,0.0,0.0,0.0
1961-06-30,-0.24339215538075273,0.0,0.0,0.0,0.0,0.0,0.0
1961-09-30,-0.10919813639204437,0.0,0.0,0.0,0.0,0.0,0.0
1961-12-31,-0.23827290755599573,0.0,0.0,0.0,0.0,0.0,0.0
1962-03-31,-0.5275946734650119,0.0,0.0,0.0,0.0,0.0,0.0
1962-06-30,-0.7424696777570857,0.0,0.0,0.0,0.0,0.0,0.0
1962-09-30,0.3768464507004328,0.0,0.0,0.0,0.0,0.0,0.0
1962-12-31,-0.1603365714356552,0.0,0.0,0.0,0.0,0.0,0.0
1963-03-31,-0.0958002675559875,0.0,0.0,0.0,0.0,0.0,0.0
1963-06-30,-0.7267293889800848,0.0,0.0,0.0,0.0,0.0,0.0
1963-09-30,-0.15590535353833845,0.0,0.0,0.0,0.0,0.0,0.0
1963-12-31,-0.24844129856046585,0.0,0.0,0.0,0.0,0.0,0.0
1964-03-31,-1.3070903695841578,0.0,0.0,0.0,0.0,0.0,0.0
1964-06-30,-1.4466437281898439,0.0,0.0,0.0,0.0,0.0,0.0
1964-09-30,-0.1077267312535823,0.0,0.0,0.0,0.0,0.0,0.0
1964-12-31,0.33716733755362766,0.0,0.0,0.0,0.0,0.0,0.0
1965-03-31,-0.700022972142744,0.0,0.0,0.0,0.0,0.0,0.0
1965-06-30,-0.4980060974108491,0.0,0.0,0.0,0.0,0.0,0.0
1965-09-30,-0.41055175115062453,0.0,0.0,0.0,0.0,0.0,0.0
1965-12-31,-0.7184249798371746,0.0,0.0,0.0,0.0,0.0,0.0
1966-03-31,0.16313044224001005,0.0,0.0,0.0,0.0,0.0,0.0
1966-06-30,0.34017779065848314,0.0,0.0,0.0,0.0,0.0,0.0
1966-09-30,0.08459634538523927,0.0,0.0,0.0,0.0,0.0,0.0
1966-12-31,-0.012256174041526825,0.0,0.0,0.0,0.0,0.0,0.0
1967-03-31,0.2594929049463249,0.0,0.0,0.0,0.0,0.0,0.0
1967-06-30,-1.1163265870720027,0.0,0.0,0.0,0.0,0.0,0.0
1967-09-30,-0.45355423751797674,0.0,0.0,0.0,0.0,0.0,0.0
1967-12-31,-0.2168550106678143,0.0,0.0,0.0,0.0,0.0,0.0
1968-03-31,0.05697659170129669,0.0,0.0,0.0,0.0,0.0,0.0
1968-06-30,0.6043445987429281,0.0,0.0,0.0,0.0,0.0,0.0
1968-09-30,-0.6723661447957718,0.0,0.0,0.0,0.0,0.0,0.0
1968-12-31,0.3963172600768684,0.0,0.0,0.0,0.0,0.0,0.0
1969-03-31,0.023161369236680388,0.0,0.0,0.0,0.0,0.0,0.0
1969-06-30,1.6161594722236692,0.0,0.0,0.0,0.0,0.0,0.0
1969-09-30,0.5939623291994065,0.0,0.0,0.0,0.0,0.0,0.0
1969-12-31,-0.5803731148079332,0.0,0.0,0.0,0.0,0.0,0.0
1970-03-31,0.11920665969455939,0.0,0.0,0.0,0.0,0.0,0.0
1970-06-30,0.801401046799166,0.0,0.0,0.0,0.0,0.0,0.0
1970-09-30,-0.3798979222774951,0.0,0.0,0.0,0.0,0.0,0.0
1970-12-31,-0.08889965177127222,0.0,0.0,0.0,0.0,0.0,0.0
1971-03-31,-1.2445236563903823,0.0,0.0,0.0,0.0,0.0,0.0
1971-06-30,1.3507280092474818,0.0,0.0,0.0,0.0,0.0,0.0
1971-09-30,1.4054291109852557,0.0,0.0,0.0,0.0,0.0,0.0
1971-12-31,-1.3448010578689515,0.0,0.0,0.0,0.0,0.0,0.0
1972-03-31,-1.9249415847425666,0.0,0.0,0.0,0.0,0.0,0.0
1972-06-30,0.6878967262046609,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-30,0.5795637422162476,0.0,0.0,0.0,0.0,0.0,0.0
1972-12-31,0.12782031038688305,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-31,1.1629638677641476,0.0,0.0,0.0,0.0,0.0,0.0
1973-06-30,1.123941284457845,0.0,0.0,0.0,0.0,0.0,0.0
1973-09-30,2.9864955229292667,0.0,0.0,0.0,0.0,0.0,0.0
1973-12-31,-0.9588646231006421,0.0,0.0,0.0,0.0,0.0,0.0
1974-03-31,-0.7402066398382312,0.0,0.0,0.0,0.0,0.0,0.0
1974-06-30,1.9858318342350736,0.0,0.0,0.0,0.0,0.0,0.0
1974-09-30,0.33024056092478143,0.0,0.0,0.0,0.0,0.0,0.0
1974-12-31,-0.6886862122827864,0.0,0.0,0.0,0.0,0.0,0.0
1975-03-31,-1.1488641713689396,0.0,0.0,0.0,0.0,0.0,0.0
1975-06-30,0.24552040810784417,0.0,0.0,0.0,0.0,0.0,0.0
1975-09-30,0.8684202273176395,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-31,-0.7411440113896448,0.0,0.0,0.0,0.0,0.0,0.0
1976-03-31,-1.4803395470828165,0.0,0.0,0.0,0.0,0.0,0.0
1976-06-30,0.8365711182588873,0.0,0.0,0.0,0.0,0.0,0.0
1976-09-30,-0.45770056916868834,0.0,0.0,0.0,0.0,0.0,0.0
1976-12-31,-0.17012193020943916,0.0,0.0,0.0,0.0,0.0,0.0
1977-03-31,-0.40271902924420855,0.0,0.0,0.0,0.0,0.0,0.0
1977-06-30,-0.2969650965487084,0.0,0.0,0.0,0.0,0.0,0.0
1977-09-30,0.5085592402534566,0.0,0.0,0.0,0.0,0.0,0.0
