Date,ExAnteRealRate_Annualized
2020-12-31,0.0
2021-03-31,0.02077953075
2021-06-30,0.025570390750000005
2021-09-30,0.0201245135
2021-12-31,-0.010814766
2022-03-31,0.11887949425000002
2022-06-30,0.19293834050000003
2022-09-30,0.26054922675
2022-12-31,0.267374389
2023-03-31,0.3422115395
2023-06-30,0.40860668425
2023-09-30,0.5205768155
2023-12-31,0.50673865575
2024-03-31,0.54073207925
2024-06-30,0.5384988444999999
2024-09-30,0.47657663175
2024-12-31,0.579673712
2025-03-31,0.5176184195
2025-06-30,0.49856174100000006
