Date,TargetedPath,PolicyRate,InflationYoY,Output,ExAnteRealRate_Annualized,obs_gdp
2020-12-31,-0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,-0.08413720375,-0.08344142714550043,0.005284217222115535,0.2754697892458661,-0.08413720375,1.1018791569834634
2021-06-30,0.047269751,0.046824237395376556,-0.0018593125078471596,-0.09330190399167254,0.047269751,-1.4750867729501531
2021-09-30,0.05129029275,0.05095543030785331,-0.0030522907982214764,-0.16773935408958318,0.05129029275,-0.29774980039164267
2021-12-31,0.0482497965,0.04789544300278015,-0.0035603855112989794,-0.19314113792195567,0.0482497965,-0.10160713532948973
2022-03-31,0.06131201025,0.060809173625265965,-0.004852427121325862,-0.25416114533663015,0.06131201025000001,-0.24408002965869746
2022-06-30,0.16622433525,0.16483505440174073,-0.011973586211851864,-0.6191239632812815,0.16622433525,-1.459851271778604
2022-09-30,0.2064219845,0.2047382648457557,-0.016283191307747177,-0.8414172947269194,0.2064219845,-0.8891733257825507
2022-12-31,0.1773843255,0.1758709366388935,-0.016284645235343065,-0.8292024302599424,0.17738432549999997,0.04885945786790824
2023-03-31,0.21805317175,0.21608449359519455,-0.019805555038117924,-0.9929426577238496,0.21805317175000002,-0.6549609098556273
2023-06-30,0.29055084875,0.2879543727588356,-0.02563871456545214,-1.2840953343587849,0.29055084875,-1.1646107065397393
2023-09-30,0.38025866675,0.37689943397279996,-0.03317277481913583,-1.667493469906791,0.38025866675,-1.5335925421920225
2023-12-31,0.435611305,0.4317536632470877,-0.03920899447095662,-1.9717265306610772,0.43561130500000006,-1.2169322430171432
2024-03-31,0.3679891,0.36459357998904474,-0.037542255466454684,-1.8686473193496662,0.3679891,0.4123168452456447
2024-06-30,0.40886202375,0.4049510153592744,-0.04108987480019257,-2.030687314839617,0.40886202375,-0.6481599819598012
