Date,TargetedPath,PolicyRate,Inflation,Output,ExAnteRealRate_Annualized,obs_gdp
2020-12-31,-0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,0.02077953075,0.02077953075,-0.0012413138817047556,-0.04744301887373739,0.021129307927458603,-0.18977207549494965
2021-06-30,0.02557039075,0.02557039075,-0.0019060972144242325,-0.08700640163469306,0.02604001136769393,-0.15825353104382273
2021-09-30,0.0201245135,0.0201245135,-0.0019360031186104276,-0.10315379124813905,0.020563531750232022,-0.064589558453784
2021-12-31,-0.010814766,-0.010814766,-0.0002398445981744979,-0.04731159884345939,-0.010858195344125554,0.22336876961871863
2022-03-31,0.11887949425,0.11887949425,-0.007530613716354954,-0.31274115261974345,0.12098132701129559,-1.061718215105137
2022-06-30,0.1929383405,0.1929383405,-0.013992908983874373,-0.6374615803587396,0.19646830235252058,-1.2988817109559854
2022-09-30,0.26054922675,0.26054922675,-0.02082213562964078,-1.0132824811880374,0.26563719381595696,-1.5032836033171924
2022-12-31,0.267374389,0.267374389,-0.02443538771681148,-1.2938567054296728,0.27308766496510684,-1.1222968969665423
2023-03-31,0.3422115395,0.3422115395,-0.031295074530778066,-1.681409758200014,0.3496362143199174,-1.5502122110813668
2023-06-30,0.40860668425,0.40860668425,-0.03830709162418069,-2.108013834484881,0.4176158992436473,-1.706416305139471
2023-09-30,0.5205768155,0.5205768155,-0.048347913454430916,-2.6721697550089276,0.5320125885715152,-2.2566236820961905
2023-12-31,0.50673865575,0.50673865575,-0.051918376604694005,-3.0382684291943276,0.5186129511230709,-1.4643946967416053
2024-03-31,0.54073207925,0.54073207925,-0.05679387387052974,-3.4093121445326533,0.5537592177500722,-1.4841748613533081
2024-06-30,0.5384988445,0.5384988445,-0.059280934801165974,-3.6845969611428555,0.551949927589941,-1.101139266440816
2024-09-30,0.47657663175,0.47657663175,-0.057389227518841776,-3.762745167522767,0.48935438892707084,-0.31259282551965484
2024-12-31,0.579673712,0.579673712,-0.0637044448092297,-4.087507861637628,0.594340446146827,-1.299050776459456
2025-03-31,0.5176184195,0.5176184195,-0.06201037405701019,-4.16064899399056,0.5314898682733759,-0.29256452941173805
2025-06-30,0.498561741,0.498561741,-0.06121516512330702,-4.197561228417807,0.5123191358724406,-0.14764893770900045
