Date,InflationYoY,Output
2020-12-31,0.0,0.0
2021-03-31,-0.0008830798216498001,-0.05120388533611228
2021-06-30,-0.001383947609835809,-0.09480451834807556
2021-09-30,-0.0014457019897320027,-0.11400314667310828
2021-12-31,-0.00027411779041103734,-0.05567879866716673
2022-03-31,-0.005451358207447974,-0.34261455542067487
2022-06-30,-0.010201865448102084,-0.6979047933701243
2022-09-30,-0.015347895271589071,-1.1149649169439009
2022-12-31,-0.018321971424081675,-1.4357837453347768
2023-03-31,-0.023628791402761376,-1.8752088054291107
2023-06-30,-0.02913173606060455,-2.359840893977148
2023-09-30,-0.03687639970189535,-2.995791435101396
2023-12-31,-0.04016316875742578,-3.4221789119288144
2024-03-31,-0.04436393836072656,-3.8532632378537217
2024-06-30,-0.04687628571136681,-4.178080637139929
2024-09-30,-0.04624081746685886,-4.284669710736346
2024-12-31,-0.05132401625608162,-4.647667967158246
2025-03-31,-0.050797103535477284,-4.733895549020265
2025-06-30,-0.05082956290077585,-4.773184586818943
