Date,InflationYoY,Output
2020-12-31,0.0,0.0
2021-03-31,0.005284217222115535,0.2754697892458661
2021-06-30,-0.0018593125078471596,-0.09330190399167254
2021-09-30,-0.0030522907982214764,-0.16773935408958318
2021-12-31,-0.0035603855112989794,-0.19314113792195567
2022-03-31,-0.004852427121325862,-0.25416114533663015
2022-06-30,-0.011973586211851864,-0.6191239632812815
2022-09-30,-0.016283191307747177,-0.8414172947269194
2022-12-31,-0.016284645235343065,-0.8292024302599424
2023-03-31,-0.019805555038117924,-0.9929426577238496
2023-06-30,-0.02563871456545214,-1.2840953343587849
2023-09-30,-0.03317277481913583,-1.667493469906791
2023-12-31,-0.03920899447095662,-1.9717265306610772
2024-03-31,-0.037542255466454684,-1.8686473193496662
2024-06-30,-0.04108987480019257,-2.030687314839617
