obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_BBBspread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_AAAspread,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012771303669101468,0.00038650646858216006,-0.011717937254849771,0.0,1.0,3.200049229889998e-16,-0.15957871319540334,-0.08335471870548657,-0.04578068594477777,-0.026458396840027983,-0.016182750542167237,-0.01062286747524491
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.498250346108543e-5,0.00012264463813530484,0.0036378052121935154,0.0,0.0,-2.0162346957917966e-16,0.0922997560337208,0.03384996240343965,0.011124785814599665,0.0027454645741845063,-8.395432327178785e-6,-0.0006554623333921217
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0005240195769385896,-4.621881699800368e-6,0.0017068608559890333,0.0,0.0,-8.844758844201755e-17,0.03871975100104991,0.02275297674983551,0.013635605257929909,0.0081134268651882,0.004620738384462154,0.002352769914305617
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014076496667003644,0.009363392893489255,-0.0024642191347295037,0.0,0.0,-2.0705775213399614e-15,0.005508463615704728,0.0006402142431758486,-0.005971025556665679,-0.011407447418207619,-0.015031228529038553,-0.016999532667271916
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.798773301687314e-18,8.588483596609307e-18,1.3539355066768265e-17,0.0,0.0,-8.56980432883228e-31,6.113385349175977e-17,3.023831775338585e-17,2.1402155302527766e-17,1.8447070227608623e-17,1.738255788535041e-17,1.6910577597042366e-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008459402168492666,-0.00028479393296896113,-0.015470210414013245,0.0,0.0,-1.3145562215734605e-15,-0.027522691738261596,-0.024665950742810056,-0.028143341631439684,-0.03212388364069629,-0.034876184642762764,-0.03615566575714785
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.945886816417178e-18,-1.761134066926834e-18,2.1853453280633445e-18,0.2886858284592581,0.0,2.1034193511473718e-20,-7.520301491876548e-17,-3.473495720301883e-17,-1.5460315990590288e-17,-5.8430400736068324e-18,-1.0082385293388143e-18,1.3576380899650955e-18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.941101474364132e-18,8.21232784300357e-18,8.23780580765635e-18,0.0,0.0,-3.243814234777888e-31,-2.678474295434675e-17,-1.226650918286282e-17,2.7085716324985797e-19,7.987617357741054e-18,1.2311130405460696e-17,1.455160820122241e-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0706877944374632e-35,1.743791249501364e-34,2.074861876262129e-34,0.0,0.0,-6.331609537967877e-48,1.246120423096976e-35,6.675487767211543e-35,1.8802999669212196e-34,2.716471913843812e-34,3.192122012722707e-34,3.4226944455929464e-34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011873457071888052,-0.007897976762119728,0.0020785569594555077,0.0,0.0,1.5129115778955866e-15,-0.0046463625020004284,-0.0005400176274647365,0.005036531269064377,0.009622126898763671,0.012678768794486615,0.014339023845341232
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3998885791400406e-18,-1.77787998875558e-17,-1.6404134141219546e-17,0.0,0.0,3.323127757368834e-31,-4.070501566006176e-17,-3.4710013205290175e-17,-2.9329093033359523e-17,-2.7125854571647524e-17,-2.628544597616112e-17,-2.5786856616522866e-17
0.0,0.0,0.0,1.0693992433674588,1.0,0.0,0.0,0.0,-0.0025957304947808353,0.07703693882903549,0.04980898604790456,0.0,0.0,-1.6240901163624406e-15,0.06995673994226712,0.07853563279502612,0.07941302322370679,0.07919889940292119,0.07843012831421592,0.07714660149724367
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5904701535417637e-19,6.516196047629286e-18,6.433794374834677e-18,0.0,0.0,-5.87424937486938e-31,1.2353981401526989e-17,8.275353917748423e-18,7.22389437052465e-18,6.907014050050999e-18,6.771287695045014e-18,6.675272097211378e-18
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0024923776962392785,0.059461299768021836,0.059397189188604795,0.0,0.0,-2.0373286994500907e-15,0.06070158241177029,0.07684942703757623,0.08636798512677048,0.09119141813135155,0.09298599759229616,0.09286295902991965
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.025458274371515e-19,9.589487911879885e-19,3.3640169388538583e-18,0.0,0.0,-1.685927301715925e-18,6.00507909774612e-17,1.6780019494704504e-17,3.154054489346283e-18,5.721600488482169e-19,1.3724691693518404e-18,2.7222202826712562e-18
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.014275427412320532,0.00026139029325538446,0.06111770417994562,0.0,0.0,-1.3758506310662324e-15,0.49797694939658627,0.25976432865680554,0.14168012715591652,0.08063707828855501,0.0480595495287517,0.030431517084692734
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007538009615590748,0.0011991961321204643,0.0032330027883016492,0.0,0.0,-8.994775193643854e-16,0.012609750492661907,0.008583577438822031,0.005329332330968529,0.0037845826154716267,0.00318855117703458,0.003007174921374365
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006450937328491255,-0.0014823428560876543,0.0034805800104670153,0.0,0.0,-0.03926751194650372,-0.004039040591223703,7.124999182681349e-5,0.004591283680147595,0.00798049653159829,0.010147010796723257,0.011316768995973106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006450937328491265,-0.0014823428560876409,0.003480580010466969,0.0,0.0,7.017941045639088e-16,-0.004039040591223675,7.12499918268125e-5,0.004591283680147597,0.007980496531598295,0.01014701079672327,0.011316768995973123
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011823172935608868,-0.0002955082768114035,0.0014661180779361048,0.0,0.0,-2.2290017425058727e-16,0.02483150105759435,0.029896015775732233,0.025162427936054953,0.018053324700081325,0.011565629047316322,0.006489208643881026
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1508799494643266,3.176752119262037,2.590340355956588,0.0,0.0,1.0262384915019258e-14,4.774905588331089,7.077629861710253,7.89592220713766,7.964857547732105,7.671888978726877,7.21131561820112
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330012658134896,-2.8003194230750985,-2.2833951592186383,0.0,0.0,-9.127334264562131e-15,-4.209097959289178,-6.238958416336152,-6.960286320631799,-7.021053093094912,-6.762800153194007,-6.356802933766364
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008382137839414106,0.21648798768051425,0.21398721256875308,0.0,0.0,-7.210598869777484e-15,0.1633292960516317,0.2569725955074686,0.30543485916489066,0.3284127625919677,0.3370194942269896,0.33733192924702415
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007961434000978262,-0.20562234348122468,-0.2032470835672253,0.0,0.0,6.775696948249994e-15,-0.15513171411079632,-0.24407500787839054,-0.2901049254290584,-0.3119295559851591,-0.32010431130284867,-0.3204010650474487
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008821903486258341,-0.00028819291983942424,0.007100863813871415,0.0,0.0,-1.7984909947781704e-16,0.07964288293377668,0.05350824748303272,0.031022532218093774,0.018083428460347887,0.011036430736740342,0.007213822955384316
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16451435859388014,0.03411188333221798,-0.11783452151922047,0.0,0.0,-8.44860576330906e-15,0.08481580512039333,-0.06256310753558963,-0.21052507497286088,-0.31654335703055364,-0.38076122586090627,-0.41191591160527674
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027961301693076333,0.0007671854105264752,-0.012969340721957571,0.0,0.0,2.9671893494600853e-17,-0.061133070982471505,-0.11162452296601974,-0.1311694133796844,-0.12886102463161414,-0.11451796165159424,-0.09488507384791255
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032249619097751155,-0.02432685340797707,0.003634337658676363,0.0,0.0,4.2501903616570225e-15,-0.028876062169969186,-0.022762184715061074,-0.00713711872555579,0.00827947840993971,0.02041904872293234,0.02880669896880557
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03447501792067742,0.6079845693020811,0.5950255363777585,0.0,0.0,9.28729787470989e-15,0.39041545058340643,0.5631090260686542,0.6340740240764444,0.6616807916607987,0.6713913054601351,0.6737580593508641
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001972106810144e-15,1.651505275000914e-16,-1.1946554460079617e-15,0.0,0.0,5.284464618749137e-16,-2.8523359948214816e-16,-1.1572893073249715e-15,-1.2444189147228083e-15,-1.2749103457150474e-15,-1.2680108226638325e-15,-1.2572476746988428e-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.525613664319773e-16,-3.2547579101653734e-16,-7.213368498171176e-16,0.0,0.0,1.3104572428701406e-16,-4.747853338566127e-16,-1.1402128785859928e-15,-1.3297659972289697e-15,-1.4770269761241881e-15,-1.4746095039828615e-15,-1.3997703983694403e-15
