obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_BBBspread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_AAAspread,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009673436512809786,-0.00010304415582052442,-0.010986919382053095,0.0,1.0,1.8026127659595346e-16,-0.15827496504199806,-0.08044563250389301,-0.0423837120228542,-0.02321245377292736,-0.013388297257572674,-0.008370497240137114
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.00011198152641253524,8.213600136332849e-5,0.003560099662379788,0.0,0.0,2.677178700738621e-16,0.0907130761606579,0.032511600944845585,0.010242802218600135,0.002261018414389251,-0.00021140398308134716,-0.0006813502933966071
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004942053768872562,-2.0597372680604008e-5,0.0017471728247963722,0.0,0.0,5.42404071549933e-17,0.04017543185540637,0.0237754809108795,0.014139471132402626,0.008235991631507879,0.004517811588235383,0.00214284282465054
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014555259432607846,0.008339243296684897,-0.003693597922067222,0.0,0.0,-7.392130709239877e-16,0.00509932915184369,-0.0007273744667693378,-0.008035423971239124,-0.013798459059614333,-0.017470410299332762,-0.01932271853004449
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.125707499107888e-19,-2.1649553454685777e-17,-2.6542372584276565e-17,0.0,0.0,1.3999878004496546e-32,-5.058752903912497e-17,-3.616889654876388e-17,-3.682099072114227e-17,-3.809309928397908e-17,-3.877050744827079e-17,-3.881809989150901e-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008895804728370404,-0.00018210249941530882,-0.01663479739802069,0.0,0.0,3.0546837147405716e-16,-0.02731586270619622,-0.02612552180469348,-0.03071454432762471,-0.035242721861585447,-0.03813565641121533,-0.039309336356446636
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.440166239203626e-18,3.1828595631908792e-18,-1.2087483460592903e-17,0.29672288912001743,0.0,1.6139317142249045e-18,-9.22465579087313e-17,-4.851512780538806e-17,-2.7562088897041776e-17,-1.8300428966448484e-17,-1.393649913977009e-17,-1.1701764393124969e-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.777877133874004e-18,-1.8705413061314415e-17,-3.171976217075636e-17,0.0,0.0,7.737666231233432e-33,-9.784873243882715e-17,-6.28082608329508e-17,-5.343371140205367e-17,-5.0665309667455475e-17,-4.9595537225937645e-17,-4.87527473922458e-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1489371528642442e-34,6.064746928269212e-34,9.771499510661118e-34,0.0,0.0,-2.4736539486348976e-48,3.017918994703641e-33,1.949214060456538e-33,1.64711579460547e-33,1.548980492428587e-33,1.506841784060291e-33,1.4754241026246746e-33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012362496340374327,-0.007082928697636015,0.0031371540305272626,0.0,0.0,4.0126718400725955e-16,-0.004331110570024749,0.0006177948407695074,0.006824880030324973,0.011719708632958696,0.014838477073550894,0.016411733381996856
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.17581678472329e-18,4.703868102607366e-17,5.474892260706737e-17,0.0,0.0,-1.4536284999325401e-31,1.1744256396638506e-16,9.887301229004474e-17,9.024710542771891e-17,8.805673536627984e-17,8.761118536017082e-17,8.696398991924798e-17
