obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_BBBspread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_AAAspread,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030674730619651425,0.002634817246490385,-0.017043924073072897,0.0,1.0,-4.777830170023248e-16,-0.18494778003351586,-0.10241277290174698,-0.06108950102333148,-0.03916961594265498,-0.026793688412827414,-0.019399817061525573
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.49451381203501e-5,0.00011827862365137263,0.004509267099862567,0.0,0.0,-9.545467041895879e-17,0.10931513467781537,0.045359729698187294,0.017968495675591584,0.006445510810723875,0.0017654513707986914,6.51795935520441e-7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0007158997264486155,1.1532104760041315e-5,0.0019188885766890176,0.0,0.0,1.2131795360518515e-16,0.03758902473478177,0.02300502413915891,0.014847484835579407,0.009874690580689714,0.0065982812875366986,0.004309187652817685
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013797965109652928,0.004067891653973488,-0.004307402719723436,0.0,0.0,-1.2591399669160185e-15,0.004420144674957965,0.0018020288620257947,-0.0026632555496339293,-0.006935152661965751,-0.010330876918270813,-0.012728514304795435
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1837642131048136e-17,4.0787281981314304e-18,-1.4271223179488084e-17,0.0,0.0,-6.786419698021374e-31,-3.211521117029457e-17,-1.9697977235828354e-17,-1.872573713141352e-17,-2.1450300402775387e-17,-2.4599617451333873e-17,-2.709908602832282e-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007683819372014242,-5.541079124743281e-5,-0.011352886811776479,0.0,0.0,-2.6339379957282515e-16,-0.01562713421747428,-0.012081161771593213,-0.014370790039560698,-0.01798122349229339,-0.021218222438702392,-0.023561962827261466
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.834256542871578e-18,1.1192035177796516e-18,9.804063524700898e-18,0.23937429289872153,0.0,1.1805065318508795e-19,-2.15656252375744e-18,-3.5390749046349e-18,4.308002484335005e-19,5.809706760185409e-18,1.0831863255209835e-17,1.4840468398250626e-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0603573890808305e-18,2.117134902571937e-18,3.4435600867496257e-18,0.0,0.0,-1.5559942497598217e-31,3.82009768942919e-17,1.964897515162735e-17,1.0188392416261648e-17,6.0143486831094526e-18,4.32931363431889e-18,3.731932434426594e-18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011178763434679159,-0.0032957032516235545,0.0034897490781448815,0.0,0.0,9.045473635049705e-16,-0.0035810897676369913,-0.0014599583482743737,0.0021577024959017767,0.005618685826163698,0.008369815999994744,0.010312321357349897
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.365366151292045e-18,1.3801474298222644e-17,7.082881910538495e-18,0.0,0.0,-6.644382526098832e-31,-3.8733338287079776e-18,8.391692347893595e-18,1.1522212914119607e-17,1.167467499633139e-17,1.1150664516835034e-17,1.056330377878911e-17
0.0,0.0,0.0,1.060635829949182,1.0,0.0,0.0,0.0,-0.0024852237896832597,0.044012501351999016,0.01349581410729568,0.0,0.0,-2.1030290821080021e-16,0.04469621284002803,0.04225889640617121,0.03368639822535663,0.02715971624674949,0.023091029980096545,0.020629012570232155
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3321433710235962e-18,-2.5721496271250624e-18,4.237442813986961e-19,0.0,0.0,-4.558421843462851e-31,2.864134987857123e-17,9.81386035903427e-18,3.2496391282794866e-18,6.511032002555833e-19,-5.087940884877343e-19,-1.0989455898470616e-18
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.001761365839181758,0.021668761297873564,0.023406525923901342,0.0,0.0,-1.0488516640984665e-15,0.026125780429019016,0.028519158567899237,0.03146651788320027,0.03383006038708072,0.03539998440772621,0.03624429523719682
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1856114204315162e-18,1.168831649824769e-18,-5.6833318615856076e-18,0.0,0.0,-3.6409257922234237e-31,-1.4745738282406842e-17,-1.4426724367804364e-17,-1.3616711141688967e-17,-1.2330186172745513e-17,-1.0942422942042302e-17,-9.686331158117515e-18
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.01845913887094922,-0.0065962172122697275,0.07184660444803152,0.0,0.0,5.443223614158005e-16,0.5180556088280401,0.28674497482281763,0.1703345638711944,0.10822349185041831,0.0729689380567391,0.0518364391025326
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004548021376711293,0.0005286631503948847,0.002334078946051213,0.0,0.0,-3.257119376463396e-17,0.013386525971865963,0.009295619617141815,0.005416159171038349,0.003316137123110924,0.002361320691743764,0.0019775394776172447
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008169274073118857,-0.0006342935236995897,0.0038980446064785673,0.0,0.0,-0.04170466298427367,-0.0035975008680215748,-0.0006932504556627085,0.002997516626702556,0.006121618627494115,0.008441795591791298,0.010012191819543765
