y_t,c_t,i_t,qk_t,k_t,kbar_t,u_t,rk_t,Rktil_t,n_t,mc_t,π_t,μ_ω_t,w_t,L_t,R_t,g_t,b_liq_t,b_safe_t,μ_t,z_t,λ_f_t,λ_f_t1,λ_w_t,λ_w_t1,rm_t,σ_ω_t,μ_e_t,γ_t,π_star_t,Ec_t,Eqk_t,Ei_t,Eπ_t,EL_t,Erk_t,Ew_t,ERtil_k_t,ERktil_f_t,y_f_t,c_f_t,i_f_t,qk_f_t,k_f_t,kbar_f_t,u_f_t,rk_f_t,w_f_t,L_f_t,r_f_t,Ec_f_t,Eqk_f_t,Ei_f_t,EL_f_t,ztil_t,π_t1,π_t2,π_a_t,R_t1,zp_t,Ez_t,rktil_f_t,n_f_t,b_liqtil_t,b_liqp_t,b_safetil_t,b_safep_t,rm_tl1,rm_tl2,rm_tl3,rm_tl4,rm_tl5,rm_tl6,y_t1,c_t1,i_t1,w_t1,π_t1_dup,L_t1,u_t1,Et_π_t,lr_t,tfp_t,e_gdpdef_t,e_corepce_t,e_gdp_t,e_gdi_t,e_gdp_t1,e_gdi_t1,e_BBB_t,e_AAA_t
0.36563587442357076,0.26634030871114023,0.12922642637615583,0.009297233818811035,3.952195490551822e-16,-0.08586468018289367,-1.2219834886438687e-16,1.1436720543380135e-16,5.106307438045368e-34,-0.007397908172356776,2.2037405404263188e-16,0.02649130411717686,-4.2161864933705114e-16,0.12754703276398538,6.761633575007167e-16,-1.0891696767449928,0.11761819781072085,0.03177134783128088,0.031771347831280855,0.1997558336681687,0.0,12.350321848907562,-11.355383756641316,0.1523000969747405,-0.1400028431094115,-0.08885696096050864,-0.8860649522000763,-0.49435049952565524,-0.07941600222635889,1.4341005026174165,-5.506980764909564e-16,1.2575124760588534e-16,-2.897637633923029e-17,-3.5900257175016085e-15,1.741428408867134e-16,-7.492757367195846e-16,-3.9363651998339596e-15,-3.4658337795130644e-15,-4.583221342847378e-16,-0.36563587442357054,0.008473640633389914,0.006817124747342067,-0.06067736734789038,4.575681959258477e-17,-0.0009003227750723802,5.9601728025105e-17,9.823162053219235e-18,-4.736494473187252e-18,1.1635157041351276e-17,-0.012395819418701002,-1.952747851765651e-15,4.567585274217947e-16,6.167406904472557e-16,-1.5065880316638191e-15,0.012789917014746653,0.0,0.0,0.0,0.0,-0.3107916558641657,0.0,2.4788342105766042e-17,0.04828162876485894,3.0593536614820644,6.416561470938051,7.527751067455055,6.416561470938044,-1.3888840436139853,-1.0842790613743851,-0.7616180822505145,-0.48188338828903354,-0.27023025489642255,-0.12874211713473582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27493832828274406,0.4137669877196426,-0.012303606996260274,0.22092485177199012,2.2539710867418495e-16,0.2998101906134708,-2.2360339786299105e-17,2.0110535143382099e-16,6.914629799135025e-34,-0.1757922623279049,1.35856495704101e-17,-0.11843109803768417,-3.641358973893841e-16,-0.0984105235744728,5.552499096359071e-16,-0.7752917844571188,-0.11162606398400009,-0.10123153379060656,-0.10123153379060637,-0.06795495838378658,0.0,10.961381453568213,-10.078335968160042,-0.14564549181544822,0.13388555454179624,-0.06655091307059734,2.634470333340609,0.25646782261451906,-0.49291028039753126,1.618475712584136,-4.621534157790469e-16,-1.2365204358544028e-15,1.4557201621489663e-15,8.898382717468692e-16,-1.0862414709355112e-16,-1.2475541650968082e-15,-2.0395435478433736e-15,-3.848349539076824e-15,-8.031781555902895e-16,-0.27493832828274367,0.0072434006555846565,0.005190334011505796,-0.05721477717473717,2.3457989786227605e-17,-0.0024267023529532033,6.105849226239026e-17,2.075336223077796e-17,-8.088851157156981e-18,8.641713725312793e-18,-0.011688444587138355,-9.299591694084912e-16,1.3770611276188373e-15,-3.1899598149426584e-16,-1.3613173477298876e-15,-0.11911649489932688,0.0,0.0,0.0,0.0,3.3194482194504595,0.0,3.136324119420238e-17,0.04552640881033262,2.284382062156584,5.997717962278292,5.635641420569723,5.99771796227828,-1.0402280277487104,-0.7506495096516723,-0.5284596497673879,-0.3751600423148329,-0.28037669933096737,-0.2291674474315435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7297115935156758,-0.15571273345256723,0.610851624072935,-0.6671466304835489,6.534047258242374e-16,-0.619720389278191,-4.0139111316622875e-17,1.3011767869320246e-16,8.724939225638255e-34,0.5308556938545795,4.552090307168985e-16,0.20746277367617588,-7.333079974702239e-16,0.37618386440711066,8.640618101776059e-16,-2.3137743021119785,-0.03707035545252302,0.4652674319956238,0.4652674319956229,1.1011382244077217,0.0,26.839535170286254,-24.677350553048978,0.630859832476582,-0.5799219560897478,-0.17818581248315904,-12.371876039204793,-3.010219446343942,1.2284791203093914,1.249669051411697,1.4092893267141267e-16,-2.114028686625166e-15,-2.601312929073143e-15,-1.0838370425080505e-14,-6.540142095304717e-16,1.6107865452466193e-15,-7.8738551353281e-15,-3.4135289396221024e-15,2.9770367872986844e-15,-0.7297115935156759,0.014018575111454941,0.013351396298450485,-0.08527668216951066,1.0117750490810518e-16,0.0036528763840678454,5.07136773226117e-17,-1.0770841848857484e-17,-2.6041701967359228e-18,1.2723769062233272e-17,-0.017421229677592586,-3.590249028595004e-15,-3.87096582891174e-16,2.932624370080574e-15,-3.0313604224441892e-15,0.47533168145625015,0.0,0.0,0.0,0.0,-13.017020227356229,0.0,1.530768745364236e-17,0.06785556609931685,6.157570290258154,9.304499287294982,15.103159222876878,9.304499287294988,-2.7851440008874744,-2.3718528863629205,-1.6616427930126474,-0.9192880510693391,-0.28941998078977915,0.17061894862765992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33077295251568,-0.11416050189004717,-0.10701510616306993,-0.17990627696356495,1.8593130363934535e-16,-0.16394424969209143,-6.719112772151816e-17,2.1858316408563477e-17,-1.3210296755198361e-34,0.1431533445909256,9.619023289770162e-17,0.0955305145827189,-7.882797829951155e-17,0.13771926111279023,9.307137177018806e-17,-1.0237901250961787,-0.020982752858176315,0.12794243253330523,0.12794243253330526,-0.4649470223365,0.0,16.924225304268738,-15.560814970245527,0.24121454845752371,-0.22173802416558816,-0.07852524634290925,-3.4467273112200423,-1.4363908719831342,0.24714788320639994,0.32755513207229564,9.669256514874277e-16,-1.866960546869255e-15,-9.780467583743878e-16,-3.652206088487445e-15,6.336372856718332e-17,4.982303989593226e-16,-3.3547838809435054e-15,-2.544849735533506e-15,2.803993810837212e-15,-0.33077295251568023,0.020006730237734045,0.011739213115448373,-0.027000250971761695,4.656521516442232e-17,0.001986492697131633,2.2324162748354953e-17,-1.4653188440293594e-18,-2.0880482674149603e-18,6.704459249383523e-18,-0.005515899089468877,-8.173506506730471e-17,2.626276499466682e-16,1.2550252072417262e-15,1.143180006006328e-16,0.1476054229285611,0.0,0.0,0.0,0.0,-3.8793327996006597,0.0,-3.148435738554874e-18,0.021484387852599575,2.9006614922083624,3.6988833518917588,6.6251591466258635,3.6988833518917534,-1.2273935602523645,-0.526637016350421,-0.05105889028144371,0.22552454894388177,0.3499063641248945,0.37202207226917416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2182704003681854,0.15844916092499978,0.07698182386958255,0.002573541815376529,1.87181658688075e-16,0.35557372380062086,1.3157158529116797e-16,1.190065212439996e-16,8.294456034379394e-34,-0.0020477946880673725,4.232474506206897e-16,0.25382369323459364,-9.23154221340231e-17,0.4884856093846391,3.1712473569032187e-16,-0.6508000282951365,0.06952426562853378,0.020037491531048002,0.02003749153104801,0.11964172656885108,0.0,1.1711593430598681,-1.0768111101329003,0.5089029687403996,-0.4678123251772758,-0.05304568415874461,-0.5552758771331999,-0.2955582004289997,-0.040153630064852064,0.7515304944308578,-1.8808917610403765e-16,-8.656025343114463e-16,1.5166392504113435e-16,-1.4364669523787497e-16,7.91558367754643e-16,-4.980767280394552e-16,-1.9954432925617293e-15,-2.120970806575432e-15,-1.3005237759727047e-15,-0.2182704003681853,0.005126917478040716,0.004107819956378725,-0.03497786397131062,5.189724562957266e-17,-0.0003835746215682542,6.014793160249907e-17,-2.099269832881362e-18,5.438273138003561e-18,1.3507989307809596e-17,-0.0071456509138627935,-9.31878289761928e-16,-2.929286847229168e-16,5.433355074671352e-16,-1.3467965351144506e-15,0.02322093661123036,0.0,0.0,0.0,0.0,-0.40093523354520966,0.0,3.1694157884315863e-17,0.027832259655695288,1.8262457039278515,3.6033672835472124,4.493933096606616,3.6033672835472084,-0.8291337393748044,-0.647647073299174,-0.4553767232353484,-0.2886024371930283,-0.16229920049396696,-0.07771941643073049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02181776316119846,-0.004655679819040495,0.018263950003104323,-0.019947123366306968,-2.8400526017585546e-16,0.9515717220958803,4.960576156457936e-16,2.6938590047133564e-16,1.2044028161537366e-33,0.015872138943950495,-7.986197057794587e-17,0.006202962514306416,9.80811652719544e-17,0.011247581279551944,-3.233508064347501e-16,-0.06917990639114244,-0.0011083724621504566,0.013911105055892416,0.013911105055892367,0.06392958952102842,0.0,0.8024795369917171,-0.7378320347334786,0.01886217861302461,-0.01733917893367455,-0.005327605988433236,-0.36990869225824674,-0.09000303068660769,0.03673049288727134,0.037364054012379896,-6.020611108498213e-16,-1.3836148559182204e-15,5.365753805262622e-16,1.5402700390193156e-15,8.822243112525976e-17,2.0775418017814452e-16,-1.5334022577264134e-15,-7.362447617280876e-16,-6.90899835266005e-16,-0.02181776316119845,0.0004191436101017819,0.000399195524504595,-0.002549701102847392,7.664426781349839e-18,0.00010921793282872452,1.4383290754731937e-17,2.019125592257588e-18,1.804409625720713e-18,-1.8505003310088333e-18,-0.0005208801209410402,-3.475768685940025e-16,5.532508958528798e-17,5.821131574900145e-16,-4.71447316340816e-16,0.057080489363768756,0.0,0.0,0.0,0.0,-1.349597793412,0.0,1.8850546894159654e-17,0.0020288243786713662,0.18410617487112307,0.2781967061886629,0.4515717631989602,0.27819670618866066,-0.08327346409344139,-0.07091640723227535,-0.04968172253067292,-0.027485939860867295,-0.008653414103737603,0.005101363120786559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2182704003681852,0.15844916092499992,0.07698182386958327,0.002573541815376553,5.100240792512441e-16,-0.64442627619938,-3.892631323722877e-16,-1.546717193330764e-16,-3.851868676738207e-34,-0.0020477946880666995,5.196006687277042e-16,0.2538236932345933,-2.1602055963132172e-16,0.48848560938463914,6.770723962478074e-16,-0.6508000282951364,0.06952426562853398,0.02003749153104812,0.02003749153104811,0.1196417265688533,0.0,1.1711593430598768,-1.0768111101329065,0.5089029687403992,-0.4678123251772756,-0.05304568415874457,-0.5552758771332048,-0.2955582004289993,-0.040153630064851856,0.7515304944308587,3.3751428680692303e-16,1.0125076699954684e-15,-4.394818314069823e-16,-2.304852492931563e-15,7.584983573912725e-16,-7.56701826785722e-16,-7.739302093468596e-16,-1.6501478652629054e-15,-6.167091721753669e-16,-0.21827040036818512,0.005126917478040607,0.004107819956378994,-0.03497786397131038,4.622337681244947e-17,-0.00038357462156834966,4.724886729345175e-17,-4.512590809395881e-18,3.497988122048937e-18,1.5807678407295228e-17,-0.007145650913862808,-1.022167867327992e-15,-5.022478972920731e-16,9.720920591749067e-17,-8.84977136031918e-16,-0.020968770180817293,0.0,0.0,0.0,0.0,0.5890647664547877,0.0,1.2817303387947614e-17,0.027832259655695486,1.8262457039278508,3.6033672835472097,4.49393309660661,3.603367283547207,-0.8291337393748032,-0.6476470732991735,-0.4553767232353486,-0.28860243719302914,-0.16229920049396754,-0.07771941643073108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1947154443497262,0.1413498977612618,0.06867422250719014,0.0022958144452401297,4.605981528628476e-16,-0.5748821118628017,-3.4173645625207964e-16,-1.3284382286499407e-16,-2.5134387041401593e-34,-0.0018268040556636278,4.90457505041946e-16,0.22643195381184822,-2.117099859616515e-16,0.435770000555883,6.229044004105156e-16,-0.5805680315725141,0.0620214571105976,0.017875117563080356,0.017875117563080342,0.10673042204681024,0.0,1.0447720419423223,-0.9606055307388017,0.4539839919752363,-0.417327702773798,-0.047321184844038494,-0.49535250299763367,-0.26366262319884615,-0.035820394827441954,0.6704280283475561,-1.911707206124744e-17,1.2484210501068085e-15,-1.7312645991530056e-16,-2.377013893058598e-15,4.663237128348897e-16,-9.33341120728755e-16,-1.6318952851508393e-15,-1.7481824745680707e-15,-9.979771452238606e-16,-0.19471544434972599,0.004573638996387382,0.0036645188113723776,-0.03120317878232496,4.197099103419296e-17,-0.0003421806289537778,4.1783413027105585e-17,-4.610293926900732e-18,3.188257269397731e-18,1.3811179411796962e-17,-0.0063745179855529245,-1.2804120883661855e-15,-5.16143101813652e-16,1.4346346557880252e-16,-9.03614924418088e-16,-0.01870589597278368,0.0,0.0,0.0,0.0,0.5254950169951216,0.0,9.26834742926867e-18,0.024828702366304262,1.6291638405035946,3.2145048553886726,4.008964011188214,3.2145048553886686,-0.7396566104033542,-0.5777553321317382,-0.40623410623576905,-0.2574575008964226,-0.14478445491684033,-0.06933221673385001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.326651570986345,-0.10448938942270725,-0.10063520308818652,-1.165393759706089,1.0408340855860847e-17,-0.18367300321695737,1.5829351718288365e-16,-5.724587470723463e-17,-2.2870418089598426e-34,0.1316055797274343,8.326672684688674e-17,0.3870139082506001,-3.400058012914542e-16,0.22947866878479914,1.6653345369377348e-16,-1.0085270205205774,-0.01666554856226365,0.12222395296871426,0.12222395296871418,-0.44528887115601773,0.0,30.26485126196029,-27.82672424424537,0.3790351327516027,-0.3484304821708594,-0.07760197093453623,-3.2973264439493124,-1.3924590539844086,0.21758986772174105,0.7136339377296679,5.967448757360216e-16,-2.366162821232365e-15,-8.326672684688674e-16,-9.520162436160717e-15,-9.60630229876469e-16,8.534839501805891e-16,-9.2148511043888e-15,-3.6637359812630166e-15,2.643718577388654e-15,-0.32665157098634545,0.01909835294058873,0.011258589682882035,-0.032264931304841996,7.892991815694472e-17,0.0012824934788827208,-3.7621815385247004e-17,-2.846030702774449e-17,3.645629804982509e-18,-2.507217523872729e-18,-0.006591424109067823,-1.7277845820728999e-15,3.8163916471489756e-16,1.096345236817342e-15,-2.0122792321330962e-16,0.18170156251473873,0.0,0.0,0.0,0.0,-4.7101972991702725,0.0,-7.546047120499111e-17,0.025673550179799387,2.859026562239704,4.500001902962076,6.548126683695539,4.5000019029620715,-1.2129622487525211,-0.5335460634558101,-0.0703948873429945,0.20043953571742354,0.3234692278125337,0.34670149490553465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40780821769045905,-0.13109585148421019,-0.125885812325319,-1.4679839707437834,-7.109673628020489e-17,-0.2272712585133878,3.4923574237638245e-16,-1.6485634250998846e-16,-7.206358666080002e-34,1.1680905122637948,1.220206649669164e-16,0.19886384187703304,-3.354828991081091e-16,0.20654930700572932,9.375834611353697e-17,-1.5168080352064182,-0.022142203951917024,0.929553725702584,0.929553725702582,-0.5559266050921393,0.0,24.01286404096373,-22.078395171969973,0.34472681487334267,-0.31689234043182896,-0.09686709748135418,-4.2343606976254,-1.7977157488078153,1.0413730067234166,0.5209989387902587,4.635795689846132e-16,-3.097540788989582e-15,-1.528623847646265e-15,-8.177736286839576e-15,-5.459914626301713e-16,1.0104623665260777e-15,-7.684668955799368e-15,-4.202933482079473e-15,2.8476592486088232e-15,-0.4078082176904595,0.0242369998932716,0.014270253257942902,-0.035275972859379445,7.282033408505064e-17,0.0022205825488863947,-5.3405774661207807e-17,-5.530424739420005e-17,7.162742093797055e-18,-1.3765706335039812e-17,-0.007206551775340118,-1.2803527237871444e-15,-2.363546519668419e-16,1.4496402135880299e-15,-3.418682787390582e-16,0.23143111953603923,0.0,0.0,0.0,0.0,-5.893585816120407,0.0,-6.520904443857697e-17,0.028069468079437793,3.5719706066750705,4.814734177811218,8.173474664460072,4.814734177811215,-1.5140869616601733,-0.6624169525596091,-0.08166418697725593,0.25823690490502044,0.4130636193422263,0.4429436389378962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
