Date,LiquidityTransitory_EA_APR,LiquidityPermanent_EA_APR,LiquidityStateTotal_EA_APR,LiquidityTrend_EA_APR,LiquidityConvenienceYield_EA_APR,SafetyTransitory_EA_APR,SafetyPermanent_EA_APR,SafetyStateTotal_EA_APR,SafetyTrend_EA_APR,SafetyConvenienceYield_EA_APR,ConvenienceYieldStateTotal_EA_APR,ConvenienceYieldTrend_EA_APR,ConvenienceYield_EA_APR,LiquidityTransitory_US_APR,LiquidityPermanent_US_APR,LiquidityStateTotal_US_APR,LiquidityTrend_US_APR,LiquidityConvenienceYield_US_APR,SafetyTransitory_US_APR,SafetyPermanent_US_APR,SafetyStateTotal_US_APR,SafetyTrend_US_APR,SafetyConvenienceYield_US_APR,ConvenienceYieldStateTotal_US_APR,ConvenienceYieldTrend_US_APR,ConvenienceYield_US_APR
1970-12-31,-0.05322088295394524,0.7458699862844768,0.6926491033305315,0.47172173887722196,1.1643708422077534,-0.1413135807010354,0.23687275731209767,0.09555917661106228,0.2599155365988411,0.35547471320990337,0.7882082799415938,0.731637275476063,1.5198455554175294,,,,,,,,,,,,,
1971-03-31,0.05480069761629529,0.7695048348556289,0.8243055324719242,0.47172173887722196,1.296027271349146,-0.04025862535325701,0.2530990409536795,0.2128404156004225,0.2599155365988411,0.4727559521992636,1.0371459480723466,0.731637275476063,1.7687832235482785,,,,,,,,,,,,,
1971-06-30,-0.1123159356752806,0.7072291336310071,0.5949131979557265,0.47172173887722196,1.0666349368329484,-0.7546137395922345,0.18819917127867564,-0.5664145683135589,0.2599155365988411,-0.30649903171471776,0.02849862964216765,0.731637275476063,0.7601359051181015,,,,,,,,,,,,,
1971-09-30,-0.03569869294022046,0.7318425245965733,0.6961438316563529,0.47172173887722196,1.1678655705335748,-0.6035844232056489,0.20680956834854952,-0.39677485485709935,0.2599155365988411,-0.13685931825825826,0.2993689767992535,0.731637275476063,1.0310062522751977,0.06583384586279271,-0.30866164735949786,-0.24282780149670513,0.4697240911074536,0.22689628961074848,0.1716629785333309,0.1535339667122954,0.3251969452456263,0.2599155365988411,0.5851124818444674,0.08236914374892118,0.7296396277062946,0.8120087714552238
1971-12-31,0.01990477537402588,0.768038939795133,0.787943715169159,0.47172173887722196,1.259665454046381,-0.5128532781820215,0.23229147066852213,-0.2805618075134994,0.2599155365988411,-0.020646270914658316,0.5073819076556596,0.731637275476063,1.239019183131596,-0.26499877206317746,-0.3259272986697001,-0.5909260707328776,0.4697240911074536,-0.121201979625424,-0.650480031561225,0.13953375865203865,-0.5109462729091864,0.2599155365988411,-0.2510307363103453,-1.1018723436420639,0.7296396277062946,-0.3722327159357621
1972-03-31,0.007518712562621472,0.7686794202728023,0.7761981328354238,0.47172173887722196,1.2479198717126458,-0.6410196030658104,0.22700116736791037,-0.41401843569790003,0.2599155365988411,-0.15410289909905894,0.3621796971375238,0.731637275476063,1.0938169726134566,-0.17760835057894223,-0.27616298090663105,-0.45377133148557325,0.4697240911074536,0.015952759621880364,-0.7704962938620505,0.14675978792063163,-0.6237365059414189,0.2599155365988411,-0.36382096934257785,-1.0775078374269922,0.7296396277062946,-0.3478682097206909
1972-06-30,-0.10991315505623832,0.7589566635392091,0.6490435084829708,0.47172173887722196,1.1207652473601928,-1.1135001747400455,0.2066940568525278,-0.9068061178875176,0.2599155365988411,-0.6468905812886765,-0.25776260940454687,0.731637275476063,0.4738746660713823,-0.15431457947822586,-0.3021758192671745,-0.45649039874540037,0.4697240911074536,0.01323369236205324,-0.4764991321964943,0.14903273012558926,-0.32746640207090505,0.2599155365988411,-0.06755086547206396,-0.7839568008163054,0.7296396277062946,-0.05431717311000395
1972-09-30,-0.13165798947764024,0.7600934052502342,0.628435415772594,0.47172173887722196,1.100157154649816,-1.1920357404561064,0.20184565052571135,-0.990190089930395,0.2599155365988411,-0.730274553331554,-0.36175467415780105,0.731637275476063,0.3698826013181389,-0.09259826169687023,-0.3276324115711309,-0.4202306732680011,0.4697240911074536,0.04949341783945249,-0.23419640288313243,0.14417898995154543,-0.090017412931587,0.2599155365988411,0.1698981236672541,-0.5102480861995882,0.7296396277062946,0.2193915415067076
1972-12-31,-0.0029930892710097468,0.8214999469722909,0.8185068577012812,0.47172173887722196,1.2902285965785032,-0.7335174676934009,0.25215099409543945,-0.4813664735979614,0.2599155365988411,-0.22145093699912033,0.33714038410331976,0.731637275476063,1.0687776595792622,-0.07847081544488123,-0.33459395265942377,-0.413064768104305,0.4697240911074536,0.05665932300314863,-0.09727887597103733,0.14388560535815548,0.04660672938711814,0.2599155365988411,0.3065222659859592,-0.36645803871718685,0.7296396277062946,0.3631815889891104
1973-03-31,0.037860563202988015,0.874886991562607,0.912747554765595,0.47172173887722196,1.384469293642817,-0.40947351831934176,0.29438802623030624,-0.11508549208903551,0.2599155365988411,0.14483004450980558,0.7976620626765595,0.731637275476063,1.5292993381525073,-0.29739499032947936,-0.2727840065898607,-0.57017899691934,0.4697240911074536,-0.10045490581188643,-0.6385252822564591,0.15519696188547133,-0.4833283203709878,0.2599155365988411,-0.22341278377214668,-1.0535073172903278,0.7296396277062946,-0.3238676895840342
