horizon,q16,q25,q50,q75,q84
1,-0.09391456223399738,0.20426948061448197,0.6836549747954929,1.1717355096063704,1.3907346317250007
2,0.07158135556053416,0.3665974352969775,0.8617219689684334,1.3324589339263466,1.5275351914560074
3,0.6656172339373805,0.9355816674001289,1.4630514386609383,1.9651999563849318,2.1835230675088146
4,0.8125225892251272,0.9912979371537128,1.5539910192964217,2.0956003353084682,2.338538319272986
5,0.8171333811135116,1.0898405922718983,1.6476626686400029,2.258173799262342,2.52356198614364
6,0.7392132514093374,0.9816176063528514,1.5105117517664288,2.080803638950452,2.338576877196113
7,0.714074544609916,0.9349912494201232,1.4430455015826595,1.9345467419041733,2.158959320424545
8,0.5709787157583175,0.856823024730426,1.3835419677926728,1.876016098265098,2.160207601706834
9,0.39387337334255274,0.6546184879771453,1.1873214281306392,1.729773760292297,1.9972741352470302
10,0.35124959245673015,0.6012276387598852,1.1230711173944599,1.570091076810508,1.8551045216577882
11,0.22361580776832465,0.5004599566423615,1.023873897282074,1.5376713046832728,1.7654715923371267
12,0.2114024271086763,0.4820729180844042,0.9801156385116898,1.4172584028381148,1.7125555692066146
13,0.1358179038282664,0.39114325540936035,0.8485032344769786,1.3462612361219344,1.6163998350672266
14,0.06269882593252928,0.2949822583865796,0.7678583962183202,1.30455483190498,1.5190205368596517
15,-0.03358008041173202,0.2200947517433447,0.727156891457637,1.2139957098383172,1.4628137383076765
16,-0.10389373925989313,0.15086947275069174,0.6549899814433683,1.1991264941437747,1.4083685678863789
17,-0.11316186923945394,0.14873753939396417,0.6500078730480147,1.1153376467867566,1.3645632342202396
18,-0.15693098972234595,0.11305898122352459,0.6553229870892678,1.1534721814781146,1.3994805646390325
19,-0.25316688249451924,-0.04132927713513937,0.4772647508123513,0.9981165279470454,1.2478605453657738
20,-0.2712410041554901,-0.0634112446995182,0.455899886952156,0.9998443109482091,1.2308899108835913
21,-0.26368783484489833,-0.029454830458657433,0.5108912251702176,0.9974412813448569,1.2099591795991815
22,-0.3138565410898764,-0.08128838673483063,0.40312490267216683,0.9226699721285714,1.182693237238603
23,-0.39429090771197856,-0.17816778142648398,0.3239361956769997,0.9293458880993231,1.197323656210444
24,-0.3336246721582838,-0.1392244024297702,0.3857200519130781,0.8997818549409726,1.090666555240994
25,-0.4983191226682262,-0.2623780387762924,0.31181292089854684,0.8179258293200019,1.0355088523508558
26,-0.39689639389578085,-0.16738687164266014,0.33406580982015854,0.8183655941242777,1.0839575639525518
27,-0.3927333628752418,-0.20441942432353152,0.27972443370762773,0.7799863870351875,1.0202812642358854
28,-0.5013419648613053,-0.2705337101995051,0.28502537166633524,0.8057908565646392,1.0655305925058913
