horizon,q16,q25,q50,q75,q84
1,0.3859304136265393,0.4592375034590553,0.6395229465497021,0.7889720237527789,0.8600996434436746
2,0.2290398620079109,0.3153523747605895,0.5072324178439488,0.6908520732395012,0.7888038296940252
3,0.08780203956965511,0.17344538449074468,0.39866391727623224,0.6280359150658346,0.7309125377355015
4,-0.01233333746813239,0.1036353808260641,0.3435376665936454,0.5713740137134355,0.6784371686100492
5,-0.04907994065680037,0.08317891080569641,0.3322799627240071,0.5826810874266803,0.707263817857789
6,-0.05764588952272523,0.06910173787345261,0.3066568344335919,0.5730531113475239,0.7053813294587631
7,-0.0372910522143677,0.04458801349311826,0.3099795305779721,0.5597109852373139,0.6779610394472454
8,-0.0505546630373656,0.06866274036534187,0.3303496192526774,0.5567416022329396,0.6622117876302718
9,-0.02004246112673862,0.08380424613155965,0.31894355713731337,0.5673125705330182,0.7092892909192468
10,-0.04838250175240785,0.0774113535425951,0.3261784307231444,0.5882939500126165,0.6931315210397002
11,-0.0862152379277696,0.04027351503880963,0.3136349853867098,0.5921336183062187,0.7103886166254755
12,-0.07935333342987336,0.07086065285609999,0.3009159952107442,0.5670204240689674,0.7022609697080139
13,-0.05289823765396984,0.0566131891518693,0.3181642308146404,0.5845388003075318,0.7266147646470273
14,-0.043337412052150984,0.0834083151902001,0.31953985903815485,0.5752604714486385,0.6902722205280315
15,-0.03256581466936207,0.07656115134283836,0.3379325601329516,0.5971221021723427,0.7409705128015012
16,-0.06075437791050213,0.08086144889781627,0.3479127063779704,0.5854041789416641,0.723785400579876
17,-0.06395967957397485,0.0478096037893385,0.347767560127498,0.6307586289219114,0.7391563721700654
18,-0.07025198039898406,0.05336605309795449,0.35118143474854485,0.6294340505210392,0.7530938017837941
19,-0.10801519077876183,0.05773477018501907,0.34477919263559864,0.633616444924254,0.7512060967600288
20,-0.068096624389366,0.06713552754559796,0.35646136172903353,0.6357182225062783,0.7501641395932304
21,-0.08506376614497493,0.06004938260850871,0.3306366154003589,0.650467298510234,0.8133106438138877
22,-0.06793095360996199,0.05670990941409076,0.38139072003422886,0.6436845395458229,0.7765034566256633
23,-0.05126265505704486,0.0816417360927549,0.37015686174737217,0.6609463963579632,0.8155099415922018
24,-0.05662510260616054,0.06954429714725391,0.3842527935683486,0.6547674264280229,0.8241788157924638
25,-0.08494319108710904,0.0685232141254773,0.36385188584262634,0.6912288948052325,0.8021021562408893
26,-0.0838843335016841,0.0630240085314189,0.39136978736157335,0.6801219738906675,0.8123556354148224
27,-0.10582393253039434,0.0783792895653496,0.40256423328511426,0.6976860387601657,0.8251632670835172
28,-0.07211303368755538,0.09287831644186242,0.4191712879913524,0.6851807001836905,0.8067603980258261
29,-0.07722303747642721,0.062061705526473165,0.38244408520528284,0.6926089757239687,0.8331510636795326
30,-0.07528984889700747,0.07917888360526902,0.3765240728977697,0.6896745569119646,0.855334617708571
31,-0.06689297543193387,0.07021494912990496,0.38116990895905045,0.7031541127455219,0.8480935300046962
32,-0.048599249640471194,0.08826227302949663,0.3914101598844756,0.7073823226643785,0.8737998914150916
33,-0.06622797585847824,0.10091369495714024,0.41791771112489084,0.7216726888723956,0.858455086771187
34,-0.07779481720724425,0.09771493090493633,0.4247274280525168,0.7493844428951048,0.8803268750337414
35,-0.04876156742779111,0.10138452974108296,0.41859697822749065,0.703912155672868,0.8568831890602554
36,-0.054145918641301034,0.08225757142717345,0.4251352411093811,0.7446231469421832,0.9074745805412553
37,-0.062876340629105,0.1066582760622151,0.42989366773948023,0.7365324529791362,0.9105264012882751
38,-0.047071348001924654,0.10085018999999937,0.4571843325595226,0.7490884607882715,0.9066010454259358
39,-0.035948612391060994,0.12336376467776539,0.4374599032345404,0.7464445110974586,0.9402253649222719
40,-0.03792229759599781,0.10414452664962863,0.4136987022428529,0.788146716959731,0.9455844271552573
41,-0.0684225529561368,0.08590014805498537,0.4213331500785581,0.7758282821318443,0.9711773056869029
42,-0.026745820188535708,0.11534318963413186,0.43467478701881695,0.7649815251472554,0.9636219814252707
43,-0.03880343271711837,0.09893740987273578,0.4300177592976012,0.778575055793657,0.9235914160313526
44,-0.00573987079588751,0.139417780872103,0.46249475357993697,0.7828262102244751,0.9253380603900105
45,-0.027706669638790545,0.1423087713434647,0.44723402968351733,0.7882985649048889,0.9711520162110405
46,-0.009285028307765456,0.12116144709572234,0.46081326323508454,0.7946446838526734,0.9748158193139298
47,-0.06067166849524754,0.1132957660600525,0.46095930514865624,0.8259787560633749,0.9617410480969288
48,-0.03255805716650124,0.11221044071372212,0.4608849912142192,0.8261500374482681,0.9763709823719944
49,-0.06981706398547116,0.0871854363146577,0.42512364874966135,0.8308285772001063,0.9859882684144531
50,-0.07365038972866564,0.08808390894040061,0.43380600199484565,0.7743341938591153,0.9506337190420682
51,-0.04175419421899342,0.12091144839387347,0.43032231206021376,0.775830596416107,0.9492861315445567
52,-0.06465018203465388,0.11595560050644033,0.4497867637244719,0.7997415416555587,0.9723104592043771
53,-0.06275500564862353,0.10932175622154439,0.4678636608099047,0.7893689551177084,0.934293757367137
54,-0.09309209593460854,0.1051871140246084,0.424658462363781,0.7796749849677804,0.9410119173836301
55,-0.08714735326981796,0.08447596460861223,0.4573442479394586,0.7791351914230372,0.9557323007138218
56,-0.07784539248531078,0.10475077779632178,0.44716324825387604,0.8034267695215798,0.9814792024285868
57,-0.059971568141236,0.10891943714030743,0.4412858261351482,0.7829029101936256,0.9553284732034427
