horizon,q16,q25,q50,q75,q84
1,0.44195111537302106,0.4787014548621497,0.5700296894555119,0.6561153396047515,0.694685009949717
2,0.3603156738189342,0.41317710856112144,0.5403608919789209,0.6457866804234176,0.7061039885240146
3,0.38504913596780516,0.45227706914666305,0.593831429602869,0.7269730329197429,0.7870085710862466
4,0.3511515227878881,0.426314120654416,0.5766701133525743,0.7373669733248395,0.8007133573326143
5,0.2783398808722709,0.3703010990097655,0.5333871939713619,0.697819780986658,0.7837861068694985
6,0.23119625069558267,0.31565172049148627,0.4954379245261662,0.6857632466721083,0.778596963280345
7,0.31167796343380655,0.38860885690937863,0.5836486070510776,0.7984155076643955,0.8782665807911147
8,0.37588320332098474,0.45965953785720726,0.665161519682059,0.8877691340648124,0.9885168582139762
9,0.4137212298049158,0.5078807027343951,0.7277691139158573,0.9272678260307653,1.0268965686084905
10,0.3774092390849974,0.47380911741619847,0.6888769318117763,0.8823609127964739,0.9809036324783824
11,0.35089383293946497,0.4441493716921434,0.635512606492476,0.8419186770528809,0.9390935736086571
12,0.33918531141898356,0.41700269468887075,0.6126284591243675,0.8034539988538406,0.8841940288261331
13,0.310823290143313,0.3991851603783515,0.5745018214007651,0.7763722022281773,0.8593693431592154
14,0.2964659533442354,0.38304785189292245,0.5620045702309079,0.746811138232687,0.8320944579901854
15,0.28890735813710966,0.3568816009774444,0.5433394265031602,0.731063243002728,0.8161406272514202
16,0.26562439756430684,0.3529920150539294,0.5362182183827843,0.709902908857361,0.8013615141641448
17,0.25626647468411845,0.3276401985694759,0.5201488985109339,0.7008443484371301,0.8077017276861157
18,0.24334484506697607,0.3351618035471039,0.5144205890099602,0.7001722208563672,0.7938407974225051
19,0.24309288056660197,0.3158706517992323,0.5016715375474696,0.6825655025496269,0.7781730406658413
20,0.24369277161364433,0.30809482368338253,0.4922135923514247,0.6751346675027412,0.757618750871543
21,0.2320656270853407,0.3096678388778655,0.4757539006168777,0.6703488225956901,0.7688572270639114
22,0.21970950389696992,0.3100727692212927,0.4774319079601277,0.66270662351402,0.7497352528068774
23,0.2110857241476436,0.3050987293357559,0.481294464853137,0.6516960613592795,0.7483072084088157
24,0.2222643442300348,0.3055143974502353,0.4722300746490169,0.6638697331986051,0.743535523396473
25,0.21102911394228357,0.30365217811997447,0.4742356240120328,0.6570180523412683,0.7449100825853908
26,0.2066407383202971,0.29856889674192455,0.4744839684870727,0.6576683494084397,0.7421823375420308
27,0.2037452011392785,0.2947058479981147,0.4754074735375992,0.6655751229610416,0.7575254103600871
28,0.20029940525783194,0.29566468942646196,0.4846458539489451,0.6650370768393074,0.7569150388938327
29,0.20291096421309954,0.2882182955145526,0.4810870402438366,0.6592182109678741,0.7523535723792425
30,0.19445653140855762,0.29036859580462765,0.46803865028869523,0.6682320371610819,0.750250692553077
31,0.19894805670563298,0.2837161090757872,0.4752085687547618,0.6731175110800344,0.7458704062983169
32,0.19391283606208876,0.2831724063333628,0.48706893487571057,0.679536358314545,0.7477091780659567
33,0.1934288736923935,0.2696603025481238,0.4853457327011079,0.6750015552483725,0.7422678981594661
34,0.18696242966129803,0.27246062301959306,0.48415265692608467,0.6587488857592099,0.7473268189717012
35,0.19093425860427396,0.27142231917433257,0.4725806482208304,0.6533046080045919,0.7500056951202712
36,0.19768390890740814,0.2826972564019443,0.4681156441229233,0.6615786139157909,0.7459580756058986
37,0.19231935900552807,0.2880941134488105,0.4717623846774108,0.6548468957942736,0.7438097258489429
38,0.18214537163102804,0.28058758886949836,0.4695582744341481,0.6554472496981918,0.733604040629537
39,0.1798726946500716,0.2770981085465029,0.47410188727101005,0.6500916146258454,0.7412866942289212
40,0.17681808530857704,0.2736752347140405,0.4689460419062894,0.6503573545194888,0.7346629964994705
41,0.17349146173502722,0.27163019901199387,0.464847026693279,0.66496223211266,0.7463415952881146
42,0.18643399821056775,0.2758368864409849,0.46608044308868224,0.6505972937635042,0.7392664860630912
43,0.16930608343029266,0.27642224624094136,0.47062333744285223,0.6468246936534375,0.73772116645977
44,0.17749587707042125,0.2723595462644117,0.4774613528486822,0.6435572883492896,0.7376364094757227
45,0.16733386552607954,0.27388203191441385,0.4696261885521713,0.6540192974431334,0.7304842472323665
46,0.17268938500536238,0.26970133400182034,0.4720767696836412,0.6557181089382149,0.7574160411441145
47,0.1694232235208977,0.2631351607896424,0.47871973826175446,0.6447602051426793,0.7339204012993605
48,0.18414111356872914,0.2656519530068622,0.4702396389133841,0.647636390059288,0.7564070407531581
49,0.18152536571796585,0.2705882042715972,0.4679808946709195,0.6486042566114583,0.749670230334213
50,0.18167996554357216,0.2708414693968633,0.4593563628178353,0.6563750416277669,0.7560504868327323
51,0.18216885690083137,0.27755469865310456,0.45391595995297107,0.6556516650950396,0.7659723332796513
52,0.18237664273534754,0.2844145007877386,0.46469039005675195,0.6639685744113075,0.7720720027992645
53,0.18952706774541317,0.26582071551895303,0.46888522998118437,0.6618306874676182,0.7498942963168302
54,0.18062036224401593,0.2725427829739352,0.46803754750049564,0.654982370618943,0.7567094191528114
55,0.1849769712866431,0.27219752198241,0.4753287720052435,0.6512261619479098,0.7422852287333761
56,0.18152690901427163,0.27740429085619533,0.46176098498423096,0.6485819014291495,0.7447454641743169
57,0.17720515337517578,0.27684668621050884,0.46669901877283443,0.6505423441040842,0.7544480139755482
58,0.17059979285852692,0.2824698018016414,0.4587242840125746,0.6554953965720745,0.7540772130675056
59,0.17714284977321723,0.2678341251152664,0.46551713991577315,0.657687186000972,0.7581698513232009
60,0.16539166967114702,0.2645312941905678,0.4680140422676421,0.6633152107142575,0.7601461577735995
