date,vint_21Q1,vint_21Q2,vint_21Q3,vint_21Q4,vint_22Q1,vint_22Q2,vint_22Q3,vint_22Q4,vint_23Q1,vint_23Q2,vint_23Q3,vint_23Q4,vint_24Q1,vint_24Q2,vint_24Q3,vint_24Q4,vint_25Q1,vint_25Q2
1959-09-30,,,,,,,,,,,,,,,,,,
1959-12-31,,,,,,,,,,,,,,,,,,
1960-03-31,0.49349728915535496,0.49098382274235675,0.4899366713776718,0.4891953803066404,0.48861563047674456,0.48690296444569237,0.4867509543145968,0.4859571685486915,0.4869346196497726,0.4871154022997144,0.48715407321339255,0.487308692705426,0.48700975043387656,0.48611835860329866,0.4857795683889224,0.48474585971228923,0.48576130537799833,0.48537971332935925
1960-06-30,0.561120426350995,0.5585786360054659,0.5575114802702005,0.5567804792656705,0.5563775796804387,0.5547080895877559,0.5546315094910135,0.5538775658633908,0.5548959164751717,0.5551851376520552,0.5552328035314975,0.5553806122784324,0.5551444543187587,0.5542837139050037,0.5539510425764554,0.5529416334667936,0.5539876567066923,0.5535876391556713
1960-09-30,0.531965785523827,0.5293960798730686,0.5283106521502454,0.5275893202301104,0.5273517810592764,0.5257217413557753,0.5257164553416034,0.5249996593484867,0.5260552046746456,0.5264470699350637,0.5265036177632103,0.5266452732505027,0.5264688917744804,0.5256369757020425,0.5253096566865896,0.5243236726482569,0.5253977065845417,0.5249806619346947
1960-12-31,0.5471343381676586,0.5445372932446481,0.5434354476047455,0.5427234080768157,0.5426412384231782,0.5410475196963306,0.5411100948113049,0.5404282060996208,0.5415172392100134,0.5420068882167963,0.5420723105491052,0.5422084175743294,0.5420894773154675,0.5412849993520743,0.5409623454356979,0.5399993994839591,0.541098839011187,0.5406661221208917
1961-03-31,0.5686659373102652,0.5660422750321638,0.5649259634865487,0.5642230375747889,0.5642874500573012,0.5627274065668072,0.5628549712005325,0.5622061158808929,0.5633249317669744,0.563908249465865,0.5639826213032795,0.5641137427011444,0.5640504461074629,0.5632723744342982,0.5629537649748204,0.5620138600769469,0.5631360703232161,0.5626890002831169
1961-06-30,0.5722234571561541,0.5695740325058256,0.5684453043628088,0.5677514895804715,0.5679547277204381,0.5664261305555065,0.5666163007994579,0.5659989231698693,0.567143800269436,0.5678173187780747,0.5679007894421999,0.5680274544479483,0.5680184773362578,0.567266091438164,0.5669509624156834,0.566034449992417,0.5671767563311052,0.566716626489623
1961-09-30,0.5879957801761065,0.5853215742345529,0.5841825874035291,0.5834980498087177,0.5838332869260227,0.5823342842864097,0.5825851286247472,0.5819979656486596,0.5831651368249124,0.5839259883672536,0.5840187813589284,0.5841414922962551,0.5841859586590766,0.5834588306507316,0.5831466668189633,0.5822542360279752,0.583413905085916,0.5829419937428091
1961-12-31,0.627523339106429,0.6248254559557782,0.6236784947733527,0.6230035692576189,0.6234648496801712,0.6219939434699991,0.6223039696449109,0.6217460388177241,0.6229316570850794,0.6237775563993568,0.6238799736700316,0.6239992115389918,0.6240966907763416,0.6233946808924066,0.6230850093604512,0.6222176938899447,0.6233919098858609,0.6229094911364845
1962-03-31,0.6649219669057604,0.662201633381257,0.661049130288909,0.660384325758487,0.6609665318014992,0.6595225644433874,0.6598907195822319,0.6593613149785007,0.6605614163674914,0.661490660666529,0.66160308941776,0.661719318763681,0.6618698362533114,0.6611930969105645,0.6608854817206303,0.6600446770298627,0.6612305154531524,0.6607388700545282
1962-06-30,0.6630206408722997,0.6602792085780707,0.6591237682728947,0.6584697759763354,0.6591686111428308,0.6577507590889988,0.658176438058502,0.6576751315899059,0.6588855962765117,0.6598970760224028,0.6600199970095562,0.660133670317304,0.6603377262505552,0.6596867115454489,0.6593807489662211,0.6585682360859021,0.6597626356927999,0.6592630619447766
