Date,CYRateDomainScale_EA,LiquidityTransitory_EA_RateDomain_APR,LiquidityPermanent_EA_RateDomain_APR,LiquidityStateTotal_EA_RateDomain_APR,LiquidityTrend_EA_RateDomain_APR,LiquidityConvenienceYield_EA_RateDomain_APR,SafetyTransitory_EA_RateDomain_APR,SafetyPermanent_EA_RateDomain_APR,SafetyStateTotal_EA_RateDomain_APR,SafetyTrend_EA_RateDomain_APR,SafetyConvenienceYield_EA_RateDomain_APR,ConvenienceYieldStateTotal_EA_RateDomain_APR,ConvenienceYieldTrend_EA_RateDomain_APR,ConvenienceYield_EA_RateDomain_APR,CYRateDomainScale_US,LiquidityTransitory_US_RateDomain_APR,LiquidityPermanent_US_RateDomain_APR,LiquidityStateTotal_US_RateDomain_APR,LiquidityTrend_US_RateDomain_APR,LiquidityConvenienceYield_US_RateDomain_APR,SafetyTransitory_US_RateDomain_APR,SafetyPermanent_US_RateDomain_APR,SafetyStateTotal_US_RateDomain_APR,SafetyTrend_US_RateDomain_APR,SafetyConvenienceYield_US_RateDomain_APR,ConvenienceYieldStateTotal_US_RateDomain_APR,ConvenienceYieldTrend_US_RateDomain_APR,ConvenienceYield_US_RateDomain_APR
1970-12-31,-2.893137720568763,0.15397534399603408,-2.157904591959726,-2.0039292479636917,-1.3647559563579792,-3.368685204321671,0.4088396507548035,-0.6853055091547601,-0.2764658583999566,-0.7519714430959781,-1.0284373014959347,-2.2803951063636485,-2.1167273994539575,-4.3971225058172365,,,,,,,,,,,,,,
1971-03-31,-2.893137720568763,-0.1585459653871866,-2.226283463880857,-2.384829429268043,-1.3647559563579792,-3.7495853856260224,0.1164737475877538,-0.7322503824228684,-0.6157766348351146,-0.7519714430959781,-1.3677480779310927,-3.0006060641031578,-2.1167273994539575,-5.117333463556736,,,,,,,,,,,,,,
1971-06-30,-2.893137720568763,0.32494547012312913,-2.0461112835930333,-1.721165813469904,-1.3647559563579792,-3.085921769827883,2.183201474473748,-0.5444861214061179,1.6387153530676297,-0.7519714430959781,0.8867439099716516,-0.0824504604022743,-2.1167273994539575,-2.199177859855858,,,,,,,,,,,,,,
1971-09-30,-2.893137720568763,0.10328123512035363,-2.117321213426619,-2.0140399783062657,-1.3647559563579792,-3.3787959346642444,1.7462528623240026,-0.5983285631637324,1.1479242991602703,-0.7519714430959781,0.3959528560642922,-0.8661156791459952,-2.1167273994539575,-2.9828430785996085,-3.5395348494458267,-0.23302119170439978,1.092518657516301,0.8594974658119013,-1.6626047900990986,-0.8031073242871973,-0.6076070948783956,-0.5434388257518251,-1.1510459206302206,-0.9199800997040103,-2.071026020334231,-0.29154845481831937,-2.5825848898031087,-2.8741333446214563
1971-12-31,-2.893137720568763,-0.05758725645404248,-2.2220424275869406,-2.2796296840409833,-1.3647559563579792,-3.644385640398963,1.4837551642257516,-0.6720512159574938,0.8117039482682578,-0.7519714430959781,0.05973250517227971,-1.4679257357727258,-2.1167273994539575,-3.5846531352263167,-3.5395348494458267,0.9379723887779677,1.153631032027142,2.09160342080511,-1.6626047900990986,0.4289986307060113,2.302396740579577,-0.49388460142305396,1.8085121391565233,-0.9199800997040103,0.888532039452513,3.900115559961633,-2.5825848898031087,1.317530670158499
1972-03-31,-2.893137720568763,-0.021752670925034412,-2.2238954258161736,-2.245648096741208,-1.3647559563579792,-3.6104040530991877,1.8545579932537122,-0.6567456399252445,1.1978123533284675,-0.7519714430959781,0.4458409102324895,-1.0478357434127406,-2.1167273994539575,-3.164563142866321,-3.5395348494458267,0.6286509464267579,0.9774884950458631,1.6061394414726209,-1.6626047900990986,-0.05646534862647778,2.7271984834935807,-0.5194613838423543,2.207737099651226,-0.9199800997040103,1.287756999947216,3.813876541123847,-2.5825848898031087,1.2312916513207148
1972-06-30,-2.893137720568763,0.31799389487992635,-2.1957661515623013,-1.8777722566823747,-1.3647559563579792,-3.2425282130403543,3.221509357400335,-0.5979943724974327,2.623514984902902,-0.7519714430959781,1.8715435418069237,0.7457427282205272,-2.1167273994539575,-1.3709846712330427,-3.5395348494458267,0.5462018318407582,1.0695618429560079,1.615763674796766,-1.6626047900990986,-0.0468411153023325,1.6865852841401856,-0.5275065419875781,1.1590787421526074,-0.9199800997040103,0.23909864244859722,2.7748424169493733,-2.5825848898031087,0.19225752714624073
1972-09-30,-2.893137720568763,0.3809046955720063,-2.199054901885012,-1.8181502063130055,-1.3647559563579792,-3.1829061626709847,3.4487235649796775,-0.5839672652686757,2.8647562997110017,-0.7519714430959781,2.112784856615024,1.0466060933979962,-2.1167273994539575,-1.070121306055605,-3.5395348494458267,0.3277547742741768,1.1596663385639958,1.4874211128381727,-1.6626047900990986,-0.17518367726092587,0.8289463296197023,-0.5103265594913947,0.3186197701283076,-0.9199800997040103,-0.6013603295757027,1.8060408829664805,-2.5825848898031087,-0.776544006836632
1972-12-31,-2.893137720568763,0.00865941947098796,-2.3767124840307736,-2.3680530645597857,-1.3647559563579792,-3.732809020917765,2.122167054479857,-0.7295075522964274,1.3926595021834298,-0.7519714430959781,0.6406880590874517,-0.9753935623763558,-2.1167273994539575,-3.092120961829964,-3.5395348494458267,0.27775018593158896,1.1843069558518575,1.4620571417834465,-1.6626047900990986,-0.20054764831565217,0.34432197161440486,-0.5092881144988005,-0.1649661428843956,-0.9199800997040103,-1.0849462425884058,1.2970909988990509,-2.5825848898031087,-1.285493890904067
1973-03-31,-2.893137720568763,-0.10953582352454233,-2.5311685565247033,-2.640704380049246,-1.3647559563579792,-4.005460336407225,1.1846632814236921,-0.8517051031706855,0.3329581782530066,-0.7519714430959781,-0.4190132648429714,-2.307746201796239,-2.1167273994539575,-4.424473601249863,-3.5395348494458267,1.0526399323217968,0.9655284976962719,2.018168430018069,-1.6626047900990986,0.35556363991897016,2.26008248879897,-0.5493250551217415,1.7107574336772284,-0.9199800997040103,0.7907773339732183,3.728925863695297,-2.5825848898031087,1.1463409738921924
