Date,InflationYoY,Output
2020-12-31,0.0,0.0
2021-03-31,0.004802342226296927,0.20339911853300527
2021-06-30,-0.005037168985233948,-0.18172837466706532
2021-09-30,-0.004862734693475782,-0.23729930351916342
2021-12-31,-0.003773371964521765,-0.2032993074208198
2022-03-31,-0.004526935080229205,-0.2207803941062034
2022-06-30,-0.012166309037462906,-0.5354991074625952
2022-09-30,-0.015205336592314192,-0.7032419840540505
2022-12-31,-0.015065742687642896,-0.7096697871833779
2023-03-31,-0.020656576211631805,-0.9227129803742385
2023-06-30,-0.027458781323651413,-1.2149836126004614
2023-09-30,-0.03612011716767844,-1.5975646388849392
2023-12-31,-0.04290840824009232,-1.9075043939013163
2024-03-31,-0.04201130938326127,-1.8692521234766757
2024-06-30,-0.04789894332254289,-2.0519220512065877
