Date,TargetedPath,PolicyRate,Inflation,Output,ExAnteRealRate_Annualized,obs_gdp
2020-12-31,-0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,0.02077953075,0.02043554382720998,-0.00122076501813698,-0.046657641269854506,0.02077953075,-0.1866305650794181
2021-06-30,0.02557039075,0.02510918246892804,-0.0018722786313898803,-0.08547952570524565,0.02557039075,-0.15528753774156465
2021-09-30,0.0201245135,0.0196944655022281,-0.0018974747288652526,-0.10117269515885459,0.020124513499999996,-0.0627726778144358
2021-12-31,-0.010814766,-0.010769525818242925,-0.00022562759088104586,-0.04604933787051724,-0.010814766000000003,0.2204934291533494
2022-03-31,0.11887949425,0.11681464842904267,-0.007396129599687742,-0.3070245078702153,0.11887949424999998,-1.0439006799987929
2022-06-30,0.1929383405,0.18947213282617742,-0.013740385413097609,-0.625906884754504,0.19293834049999997,-1.2755295075371555
2022-09-30,0.26054922675,0.2555580442296147,-0.020428717890610255,-0.9942877478098573,0.26054922675,-1.4735234522214142
2022-12-31,0.267374389,0.2617777971082317,-0.02394280374128597,-1.2683071107298765,0.267374389,-1.0960774516800775
2023-03-31,0.3422115395,0.33494148727560674,-0.03064697818537096,-1.6471654877492186,0.3422115395,-1.5154335080773702
2023-06-30,0.40860668425,0.39978888693542025,-0.03749689410142495,-2.0640839192279756,0.40860668425,-1.6676737259150318
2023-09-30,0.5205768155,0.5093848702497734,-0.047318652455894554,-2.6158429115354673,0.5205768155,-2.2070359692299704
2023-12-31,0.50673865575,0.4951302703945412,-0.05076662667455122,-2.972221575316155,0.50673865575,-1.4255146551227558
2024-03-31,0.54073207925,0.5280039275683924,-0.055498892235861776,-3.333241616553512,0.54073207925,-1.4440801649494333
2024-06-30,0.5384988445,0.5253662613226276,-0.0578876685217903,-3.600140533137897,0.5384988445,-1.0675956663375477
2024-09-30,0.47657663175,0.46411722055589805,-0.05597656483069624,-3.6733593194413485,0.47657663175,-0.29287514521381475
2024-12-31,0.579673712,0.5653637981780419,-0.062151327078187574,-3.9896944123368154,0.579673712,-1.2653403715818783
2025-03-31,0.5176184195,0.5040987242019837,-0.060449253409576506,-4.058730342380411,0.5176184195,-0.27614372017439237
2025-06-30,0.498561741,0.48516111556177594,-0.05963566773011535,-4.092389816579194,0.498561741,-0.13463789679514804
