Date,InflationYoY,Output
2020-12-31,0.0,0.0
2021-03-31,-0.00122076501813698,-0.046657641269854506
2021-06-30,-0.0018722786313898803,-0.08547952570524565
2021-09-30,-0.0018974747288652526,-0.10117269515885459
2021-12-31,-0.00022562759088104586,-0.04604933787051724
2022-03-31,-0.007396129599687742,-0.3070245078702153
2022-06-30,-0.013740385413097609,-0.625906884754504
2022-09-30,-0.020428717890610255,-0.9942877478098573
2022-12-31,-0.02394280374128597,-1.2683071107298765
2023-03-31,-0.03064697818537096,-1.6471654877492186
2023-06-30,-0.03749689410142495,-2.0640839192279756
2023-09-30,-0.047318652455894554,-2.6158429115354673
2023-12-31,-0.05076662667455122,-2.972221575316155
2024-03-31,-0.055498892235861776,-3.333241616553512
2024-06-30,-0.0578876685217903,-3.600140533137897
2024-09-30,-0.05597656483069624,-3.6733593194413485
2024-12-31,-0.062151327078187574,-3.9896944123368154
2025-03-31,-0.060449253409576506,-4.058730342380411
2025-06-30,-0.05963566773011535,-4.092389816579194
