date;CNP16OV
31/03/17;114917.004031198
30/06/17;115318.027973572
30/09/17;115723.26583013
31/12/17;116132.508165781
1960-03-31;116545.511004291
1960-06-30;116961.972551822
1960-09-30;117381.766945159
1960-12-31;117804.896463241
1961-03-31;118231.450405668
1961-06-30;118661.640636748
1961-09-30;119095.758114288
1961-12-31;119534.159645694
1962-03-31;119977.209064555
1962-06-30;120425.070104677
1962-09-30;120877.593244202
1962-12-31;121334.327667459
1963-03-31;121794.682187995
1963-06-30;122258.004164569
1963-09-30;122723.65927957
1963-12-31;123191.071962784
1964-03-31;123659.727481949
1964-06-30;124129.216684826
1964-09-30;124599.253714499
1964-12-31;125069.713203623
1965-03-31;125540.670251283
1965-06-30;126012.448885813
1965-09-30;126485.650841636
1965-12-31;126961.181947625
1966-03-31;127440.210750876
1966-06-30;127924.113809767
1966-09-30;128414.383800957
1966-12-31;128912.550204975
1967-03-31;129420.107887472
1967-06-30;129938.437620224
1967-09-30;130468.776357575
1967-12-31;131012.225780357
1968-03-31;131569.839584179
1968-06-30;132142.623823537
1968-09-30;132731.485903185
1968-12-31;133337.164087991
1969-03-31;133960.218214131
1969-06-30;134601.072390226
1969-09-30;135259.949963514
1969-12-31;135936.831735988
1970-03-31;136631.394790916
1970-06-30;137343.036316729
1970-09-30;138070.870755115
1970-12-31;138813.753150062
1971-03-31;139570.317376338
1971-06-30;140339.019337991
1971-09-30;141118.13661571
1971-12-31;141905.791153097
1972-03-31;142699.94918337
1972-06-30;143498.427070274
1972-09-30;144299.393084317
1972-12-31;145101.349604088
1973-03-31;145903.087512497
1973-06-30;146703.613098951
1973-09-30;147502.136973164
1973-12-31;148298.043111661
1974-03-31;149090.858530361
1974-06-30;149880.223343235
1974-09-30;150665.861502675
1974-12-31;151447.579321484
1975-03-31;152225.237574023
1975-06-30;152998.72604758
1975-09-30;153767.929380957
1975-12-31;154532.718009179
1976-03-31;155293.012411404
1976-06-30;156048.768243038
1976-09-30;156799.949276727
1976-12-31;157546.505679968
1977-03-31;158288.374526956
1977-06-30;159025.425075841
1977-09-30;159757.428225691
1977-12-31;160484.0946099
1978-03-31;161205.082719223
1978-06-30;161919.984110285
1978-09-30;162628.285913009
1978-12-31;163329.397142251
1979-03-31;164022.64788417
1979-06-30;164707.332351711
1979-09-30;165382.747477893
1979-12-31;166048.198738013
1980-03-31;166703.021765197
1980-06-30;167346.709568356
1980-09-30;167978.930767801
1980-12-31;168599.539165362
1981-03-31;169208.587356137
1981-06-30;169806.305098247
1981-09-30;170393.074907717
1981-12-31;170969.426609884
1982-03-31;171536.014983266
1982-06-30;172093.617664754
1982-09-30;172643.094156872
1982-12-31;173185.364201102
1983-03-31;173721.376855082
1983-06-30;174252.089698821
1983-09-30;174778.419451795
1983-12-31;175301.203402418
1984-03-31;175821.168576947
1984-06-30;176338.929374511
1984-09-30;176855.10196388
1984-12-31;177370.268182965
1985-03-31;177884.952305948
1985-06-30;178399.638439398
1985-09-30;178914.674469693
1985-12-31;179430.218509184
1986-03-31;179946.214498682
1986-06-30;180462.407492427
1986-09-30;180978.566785599
1986-12-31;181494.487043694
1987-03-31;182009.974452969
1987-06-30;182524.868020276
1987-09-30;183039.112393437
1987-12-31;183552.763552758
1988-03-31;184065.953658302
1988-06-30;184578.85689291
1988-09-30;185091.675593387
1988-12-31;185604.601560979
1989-03-31;186117.745549688
1989-06-30;186631.091687539
1989-09-30;187144.486136587
1989-12-31;187657.586251587
1990-03-31;188169.787833453
1990-06-30;188680.178816695
1990-09-30;189188.134768428
1990-12-31;189693.267394003
1991-03-31;190195.400814544
1991-06-30;190694.561484053
1991-09-30;191190.891856021
1991-12-31;191684.600283013
1992-03-31;192175.964560184
1992-06-30;192665.333357513
1992-09-30;193153.072867127
1992-12-31;193639.547822805
1993-03-31;194125.170412786
1993-06-30;194610.443107916
1993-09-30;195095.945147536
1993-12-31;195582.323619043
1994-03-31;196070.327519119
1994-06-30;196560.83814218
1994-09-30;197054.825952947
1994-12-31;197553.344017299
1995-03-31;198057.566134896
1995-06-30;198568.798390387
1995-09-30;199088.315264587
1995-12-31;199617.318864316
1996-03-31;200156.959224354
1996-06-30;200708.31805519
1996-09-30;201272.329592801
1996-12-31;201849.772249375
1997-03-31;202441.292356108
1997-06-30;203047.402636538
1997-09-30;203668.660631481
1997-12-31;204305.594255105
1998-03-31;204958.669758684
1998-06-30;205628.223647082
1998-09-30;206314.335131563
1998-12-31;207016.743908613
1999-03-31;207734.80509026
1999-06-30;208467.407073589
1999-09-30;209213.001502505
1999-12-31;209969.517891489
2000-03-31;210734.293254087
2000-06-30;211503.953655159
2000-09-30;212275.773726282
2000-12-31;213047.629378002
2001-03-31;213817.951037281
2001-06-30;214585.599362723
2001-09-30;215349.739418533
2001-12-31;216109.764019313
2002-03-31;216865.263017531
2002-06-30;217615.954538141
2002-09-30;218361.53029171
2002-12-31;219101.551392222
2003-03-31;219835.419872226
2003-06-30;220562.312419652
2003-09-30;221281.706710008
2003-12-31;221993.362723543
2004-03-31;222697.35124881
2004-06-30;223394.06534766
2004-09-30;224083.805987414
2004-12-31;224766.75034455
2005-03-31;225442.986341805
2005-06-30;226112.52268295
2005-09-30;226775.238705292
2005-12-31;227430.887794462
2006-03-31;228079.171936898
2006-06-30;228719.789439171
2006-09-30;229352.373500386
2006-12-31;229976.526826253
2007-03-31;230591.894389041
2007-06-30;231198.203331755
2007-09-30;231795.457113405
2007-12-31;232383.98094092
2008-03-31;232964.515985531
2008-06-30;233538.285930383
2008-09-30;234106.533511129
2008-12-31;234670.556909717
2009-03-31;235231.812724649
2009-06-30;235791.985331358
2009-09-30;236352.667972326
2009-12-31;236915.368274202
2010-03-31;237481.574696152
2010-06-30;238052.78109217
2010-09-30;238630.279707066
2010-12-31;239215.136047467
2011-03-31;239808.222945184
2011-06-30;240410.209396997
2011-09-30;241021.259260345
2011-12-31;241640.960636795
2012-03-31;242268.307715876
2012-06-30;242901.634086719
2012-09-30;243539.483146132
2012-12-31;244180.556644619
2013-03-31;244823.701655718
2013-06-30;245467.871155063
2013-09-30;246112.125179755
2013-12-31;246755.576347421
2014-03-31;247397.372197454
2014-06-30;248036.653659025
2014-09-30;248672.474553686
2014-12-31;249303.749544451
2015-03-31;249929.251747736
2015-06-30;250547.581311494
2015-09-30;251157.432601334
2015-12-31;251757.572119548
2016-03-31;252346.871098049
2016-06-30;252924.312286176
2016-09-30;253489.141638834
2016-12-31;254040.900540746
2017-03-31;254579.506538113
2017-06-30;255105.315364297
2017-09-30;255618.579311074
2017-12-31;256119.457973117
