date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_BBBspread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_AAAspread,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6
1970-06-30,1.87,NaN,2.62,1.81,NaN,1.99,0.58,5.67,NaN,NaN,2.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-09-30,1.02,NaN,2.03,1.78,NaN,1.9,0.99,0.7,NaN,NaN,2.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-12-31,1.04,NaN,2.26,1.17,NaN,1.81,1.75,-0.04,NaN,NaN,2.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-03-31,-0.38,NaN,0.97,2.3,NaN,1.63,-0.11,-0.82,NaN,NaN,1.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-06-30,0.98,NaN,0.84,1.13,NaN,1.48,1.18,2.83,NaN,NaN,1.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-09-30,1.84,NaN,1.95,1.67,NaN,1.56,1.15,0.17,NaN,NaN,2.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-12-31,0.66,NaN,1.64,1.1,NaN,1.5,1.01,1.6,NaN,NaN,1.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972-03-31,1.25,NaN,1.97,2.16,NaN,1.26,0.92,0.36,NaN,NaN,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972-06-30,0.61,NaN,0.44,1.59,NaN,1.19,0.37,1.28,NaN,NaN,1.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-30,1.12,NaN,0.92,1.57,NaN,1.21,2.07,0.57,NaN,NaN,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-31,1.16,NaN,1.45,1.54,NaN,1.6,0.71,2.02,NaN,NaN,1.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973-03-31,1.65,NaN,1.47,3.51,NaN,1.7,0.32,1.26,NaN,NaN,1.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973-06-30,0.5,NaN,0.77,2.43,NaN,2.12,0.82,0.29,NaN,NaN,2.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973-09-30,1.19,NaN,1.51,2.38,NaN,2.55,0.35,1.21,NaN,NaN,2.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973-12-31,0.84,NaN,1.68,2.32,NaN,2.77,1.67,0.85,NaN,NaN,2.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1974-03-31,0.87,NaN,0.97,3.16,NaN,2.81,0.42,1.1,NaN,NaN,2.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1974-06-30,0.25,NaN,1.69,3.49,NaN,2.87,1.4,-1.62,NaN,NaN,2.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1974-09-30,0.63,NaN,0.52,3.38,NaN,2.88,0.14,0.97,NaN,NaN,2.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1974-12-31,-1.79,NaN,1.26,3.27,NaN,2.67,-0.78,-3.05,NaN,NaN,2.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1975-03-31,-0.88,NaN,0.39,2.77,NaN,2.2,0.29,-1.95,NaN,NaN,2.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1975-06-30,0.81,NaN,1.68,2.32,NaN,1.76,1.68,-1.61,NaN,NaN,2.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1975-09-30,1,NaN,1.16,2.26,NaN,1.6,1.3,-0.36,NaN,NaN,2.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1975-12-31,0.81,NaN,1.28,1.85,NaN,1.65,1.45,1.6,NaN,NaN,2.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1976-03-31,1.53,NaN,0.82,2.17,NaN,1.75,1.53,0.12,NaN,NaN,2.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-30,1,NaN,0.67,3.87,NaN,2.14,-0.31,0.43,NaN,NaN,2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-30,0.62,NaN,1.13,3.06,NaN,2.34,0.2,-0.36,NaN,NaN,2.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1976-12-31,1.48,NaN,1.26,2.31,NaN,2.3,1.32,2.72,NaN,NaN,2.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1977-03-31,0.27,NaN,0.13,2.58,NaN,2.55,0.07,0.87,NaN,NaN,2.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1977-06-30,-0.04,NaN,1.25,2.83,NaN,2.34,0.79,-2.07,NaN,NaN,2.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1977-09-30,0.19,NaN,0.56,2.14,NaN,2.25,1.2,0.78,NaN,NaN,2.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1977-12-31,1.1,NaN,0.4,2.4,NaN,2.28,0.6,1.53,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1978-03-31,0.49,NaN,0.8,2.34,NaN,2.01,-0.43,0,NaN,NaN,2.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1978-06-30,0.93,NaN,0.21,2.29,NaN,1.98,0.61,0.45,NaN,NaN,2.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1978-09-30,0.23,NaN,0.67,2.23,NaN,2.29,0.52,0.27,NaN,NaN,2.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1978-12-31,0.95,NaN,0.82,1.92,NaN,2.28,0.9,1.53,NaN,NaN,2.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979-03-31,0.29,NaN,0.94,2.14,NaN,1.92,0.75,-1.62,NaN,NaN,2.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979-06-30,1.12,NaN,0.13,2.36,NaN,2.34,1.43,3.69,NaN,NaN,2.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979-09-30,0,NaN,0.69,3.06,NaN,2.76,-0.87,0.35,NaN,NaN,2.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979-12-31,0.75,NaN,0.77,2.48,NaN,3.17,1.31,2.05,NaN,NaN,2.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-31,0.81,NaN,0.66,2.9,NaN,3.18,1.01,2.18,NaN,NaN,3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980-06-30,-0.82,NaN,-0.52,2.82,NaN,3.31,-1.21,-1.7,NaN,NaN,3.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980-09-30,-0.35,NaN,0.3,2.29,NaN,3.06,0.87,-0.31,NaN,NaN,3.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980-12-31,-0.1,NaN,0.64,2.02,NaN,3.17,0.44,-0.85,NaN,NaN,3.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981-03-31,-0.07,NaN,-0.25,2.41,NaN,3.36,-0.05,-0.65,NaN,NaN,3.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981-06-30,0.05,NaN,1.03,2.77,NaN,3.88,0.01,-0.13,NaN,NaN,3.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981-09-30,0.08,NaN,0.45,2.9,NaN,4.03,0.08,-1.42,NaN,NaN,3.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981-12-31,-0.04,NaN,0.18,2.82,NaN,3.86,0.57,-3.04,NaN,NaN,3.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982-03-31,0.25,NaN,-0.12,2.36,NaN,3.58,-0.18,-0.01,NaN,NaN,3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982-06-30,0.15,NaN,-0.27,2.68,NaN,3.6,-0.33,-0.53,NaN,NaN,3.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982-09-30,-0.59,NaN,0.2,2.06,NaN,3.34,-0.28,-1.25,NaN,NaN,3.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982-12-31,-0.15,NaN,0.02,2.2,NaN,3.15,0.63,-1.49,NaN,NaN,3.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983-03-31,0.59,NaN,-0.35,2.15,NaN,2.97,0.1,0.05,NaN,NaN,3.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983-06-30,0.64,NaN,0.61,1.76,NaN,2.96,0.3,0.22,NaN,NaN,3.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983-09-30,0.19,NaN,0.52,2.24,NaN,3.05,-0.3,0.17,NaN,NaN,3.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983-12-31,0.92,NaN,-0.27,2.02,NaN,3.04,0.96,-1.34,NaN,NaN,3.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-03-31,0.73,NaN,0.61,1.66,NaN,2.86,0.73,-0.06,NaN,NaN,3.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-06-30,-0.52,NaN,-1.1,1.47,NaN,2.71,-0.25,-2.55,NaN,NaN,3.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-09-30,0.81,NaN,0.37,1.61,NaN,2.6,-0.06,1,NaN,NaN,3.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-12-31,0.42,NaN,0.69,1.11,NaN,2.53,0.51,1.23,NaN,NaN,2.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985-03-31,0.16,5.6,0.43,1.56,NaN,2.47,0.91,-1.64,NaN,NaN,2.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985-06-30,0.81,5.52,0.06,1.39,NaN,2.49,0.34,1.35,NaN,NaN,2.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985-09-30,0.63,5.38,0.49,1.52,NaN,2.34,0.38,1.3,NaN,NaN,2.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-31,0.3,5.18,-0.02,1.49,NaN,2.16,0.12,0.92,NaN,NaN,2.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986-03-31,-0.63,4.95,-0.39,1.76,NaN,2.19,-0.84,-2.48,NaN,NaN,2.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986-06-30,1.55,4.78,0.22,1.3,NaN,2.01,0.8,1.99,NaN,NaN,2.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986-09-30,0.18,4.7,0.12,1.14,NaN,1.94,-0.17,0.36,NaN,NaN,2.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986-12-31,-0.16,4.67,0.14,0.85,NaN,1.97,0.5,0.57,NaN,NaN,2.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-03-31,-0.73,4.73,0.11,0.84,NaN,2.03,-0.22,-1.82,NaN,NaN,2.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-06-30,1.36,4.76,0.96,0.84,NaN,2.11,1.55,2.92,NaN,NaN,2.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-09-30,0.82,4.73,0.61,0.69,NaN,2.12,0.75,2.01,NaN,NaN,2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987-12-31,1.09,4.68,0.23,1.23,NaN,2.11,0.53,1.51,NaN,NaN,2.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1988-03-31,0.18,4.58,0.4,0.95,0.57,1.86,-0.58,1.05,NaN,NaN,2.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1988-06-30,0.62,4.49,0.23,1.07,0.61,1.82,0.39,1.64,NaN,NaN,2.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
