date;obs_gdp;obs_hours;obs_wages;obs_gdpdeflator;obs_corepce;obs_nominalrate;obs_consumption;obs_investment;obs_BBBspread;obs_longinflation;obs_longrate;obs_tfp;obs_gdi;obs_AAAspread;obs_nominalrate1;obs_nominalrate2;obs_nominalrate3;obs_nominalrate4;obs_nominalrate5;obs_nominalrate6
1959-09-30;-0.2871987792;NaN;0.1882126321;0.3861893198;0.675;0.8941666667;0.897862314;0.6228079724;0.23;NaN;NaN;-1.0497517717;-1.182633166;0.0675;NaN;NaN;NaN;NaN;NaN;NaN
1959-12-31;-0.0328184506;NaN;0.5639646609;0.3912112964;0.575;0.9975;-0.0507070016;-1.6963807861;0.2575;NaN;NaN;-0.396843324;0.3631255519;0.0825;NaN;NaN;NaN;NaN;NaN;NaN
1960-03-31;1.5447995436;NaN;1.7126858791;0.3961687273;0.3;0.9833333333;0.0099408096;2.3508200238;0.2575;NaN;NaN;2.8888304232;1.5222396815;0.0675;NaN;NaN;NaN;NaN;NaN;NaN
1960-06-30;-0.8213159824;NaN;0.3910058039;0.252468171;0.375;0.9241666667;1.2408230804;-2.1940952936;0.2725;NaN;NaN;-3.1094028607;-0.2976990026;0.0725;NaN;NaN;NaN;NaN;NaN;NaN
1960-09-30;0.169402607;NaN;0.2528064821;0.3420792699;0.4;0.7341666667;-0.686098023;-2.8491815863;0.3075;NaN;NaN;-0.5762362522;-0.3150913393;0.11;NaN;NaN;NaN;NaN;NaN;NaN
1960-12-31;-1.6428558741;NaN;0.1183709789;0.2959533782;0.325;0.5741666667;-0.0775317007;-0.9916303005;0.2925;NaN;NaN;-1.849021126;-0.8953979096;0.0975;NaN;NaN;NaN;NaN;NaN;NaN
1961-03-31;0.3084641673;NaN;0.6639126497;0.2181865718;0.175;0.5008333333;-0.4340901428;-1.6261139827;0.3025;NaN;NaN;0.2123873664;-0.1609044204;0.105;NaN;NaN;NaN;NaN;NaN;NaN
1961-06-30;1.3613712689;NaN;1.1648681099;0.2305033675;0.325;0.4333333333;0.9117378566;1.1502999354;0.3025;NaN;NaN;3.2533295666;1.3520461348;0.1175;NaN;NaN;NaN;NaN;NaN;NaN
1961-09-30;1.595248136;NaN;0.4922813107;0.2554932407;0.45;0.4208333333;0.2815590141;1.7729579104;0.2775;NaN;NaN;1.1599501881;1.2930113319;0.11;NaN;NaN;NaN;NaN;NaN;NaN
1961-12-31;1.7839802038;NaN;0.4159104194;0.3120922249;0.25;0.6;1.6280705536;2.6533699724;0.27;NaN;NaN;1.2135174521;2.1837169606;0.095;NaN;NaN;NaN;NaN;NaN;NaN
1962-03-31;1.6094973818;NaN;1.066610076;0.5137812196;0.375;0.6141666667;0.8124370358;1.2993524086;0.2425;NaN;NaN;0.2487770789;1.0464298765;0.08;NaN;NaN;NaN;NaN;NaN;NaN
1962-06-30;0.5322321215;NaN;0.505379443;0.1643593517;0.375;0.6516666667;1.0431057411;2.3529856982;0.2675;NaN;NaN;-0.1415578519;0.7376334321;0.09;NaN;NaN;NaN;NaN;NaN;NaN
1962-09-30;0.7652024839;NaN;0.4984950488;0.2082216735;0.325;0.7116666667;0.4041958698;0.109881142;0.2575;NaN;NaN;1.2171333947;0.5509138895;0.08;NaN;NaN;NaN;NaN;NaN;NaN
1962-12-31;-0.2325562722;NaN;0.6994337057;0.2077890116;0.2;0.7308333333;0.9411539802;-1.1701302212;0.2575;NaN;NaN;0.836896288;0.6040205607;0.0825;NaN;NaN;NaN;NaN;NaN;NaN
1963-03-31;0.5963723877;NaN;0.547322289;0.4330777207;0.325;0.7416666667;0.0611558055;0.3969213294;0.2325;NaN;NaN;-0.0050533566;0.3726754932;0.06;NaN;NaN;NaN;NaN;NaN;NaN
1963-06-30;0.684125019;NaN;0.3383759411;0.1752081044;0.375;0.7408333333;0.4901545109;3.6046253736;0.2075;NaN;NaN;0.528957912;1.0134215844;0.05;NaN;NaN;NaN;NaN;NaN;NaN
1963-09-30;1.7641180213;NaN;0.8881172133;0.1312049171;0.4;0.8325;1.2859073615;1.5856258757;0.195;NaN;NaN;2.0529403109;0.9306256237;0.0575;NaN;NaN;NaN;NaN;NaN;NaN
1963-12-31;0.2315680702;NaN;0.3194446058;0.80841184;0.475;0.8633333333;-0.0299883564;1.9822692061;0.17;NaN;NaN;-0.2473474491;0.4427431158;0.0425;NaN;NaN;NaN;NaN;NaN;NaN
1964-03-31;1.6660984798;-44.65;-0.6325368037;0.3153698931;0.425;0.8658333333;1.6783532532;2.3729993762;0.16;NaN;NaN;0.8848357683;1.2318823415;0.0475;NaN;NaN;NaN;NaN;NaN;NaN
