date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_spread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6
1976-06-30,0.2449231127413687,-48.479470327344515,0.855568245139704,1.0022894440482322,1.1914852956253164,1.3,0.2613028773467141,1.8715667681714565,0.5325000000000002,,,,0.14013194791416828,,,,,,
1976-09-30,0.06442531461287038,-48.317577521960665,0.7913780172110085,1.2847410795070235,1.5541173330596347,1.32,0.7945564234777214,0.7514949041783292,0.4724999999999997,,,,0.27617194756548447,,,,,,
1976-12-31,0.24456247396482667,-48.8942094334432,0.33008382979213824,1.776687940560251,1.5543280592789976,1.2175,0.6051180072904172,3.9353504059698396,0.5050000000000001,,,,-0.1648280137237612,,,,,,
1977-03-31,0.7062179030840499,-48.767467142847906,0.28168471124432326,1.594792932120459,1.6688296208930975,1.165,0.8920313555984771,3.3941547959668306,0.43999999999999995,,,,0.6354902184636413,,,,,,
1977-06-30,1.4585588023856344,-47.24588743879262,0.6237430718928128,1.401587481248523,1.5153579037464393,1.29,0.3704898100464815,5.048845647466971,0.4075,,,,1.8513926603046738,,,,,,
1977-09-30,1.3271377111126026,-47.172242088782355,0.7120197383669313,1.2096791978571275,1.6496101971127608,1.455,0.759807435898785,1.7851506727479316,0.36749999999999994,,,,1.361748284483577,,,,,,
1977-12-31,-0.45554582477232985,-46.30557390696819,-0.42460988642831765,2.1387129209842204,1.4427457696704504,1.6275,0.3082244872629314,1.226849165135424,0.33499999999999996,,,,0.11738634934422842,,,,,,
1978-03-31,-0.12927425733734177,-46.623498453917314,1.1791741453411775,1.4419591650586927,1.5490815840617067,1.69,0.2880929881266425,0.8738371304147785,0.2974999999999999,,,,0.1484495264636343,,,,,,
1978-06-30,3.346446735322617,-45.16099405861337,-0.19812163156106566,1.894864309957578,1.709443335929972,1.82,1.8125651521778696,6.310004997749644,0.2875000000000001,,,,2.5231703190067623,,,,,,
1978-09-30,0.5609132550088103,-45.01487406219633,0.20433371132254075,1.6841428930372881,1.702155610726841,2.0225,0.036025887184076844,2.490610681762204,0.25249999999999995,,,,0.28442564546667937,,,,,,
1978-12-31,0.9052835349999011,-44.69192024694533,0.431300404525059,2.024497839360162,1.7790390272317325,2.395,0.21809896371292048,1.7059404917724175,0.24249999999999972,,,,0.5338718582909352,,,,,,
1979-03-31,-0.2477207617752164,-44.246942233506786,0.7295761260339373,1.8068514045814776,1.3568648099400615,2.5175,0.15524071268187,0.7369996629697145,0.2625000000000002,,,,0.364672524777232,,,,,,
1979-06-30,-0.3131187342995445,-45.106835742820614,-0.15511379014305215,2.4200549887182454,2.172913398162324,2.545,-0.20463737697937745,-0.8792724437081539,0.3200000000000003,,,,-0.9232819764901978,,,,,,
1979-09-30,0.32743148825692403,-44.558715264876284,0.03370869187697689,2.1632932135639216,1.830530319065904,2.735,0.8514902970160776,1.5574131759880068,0.32250000000000023,,,,-0.2916155411779253,,,,,,
1979-12-31,-0.15362910740147617,-44.36316667956183,0.6499972796668807,1.838446573338448,2.0633838164423324,3.395,0.401916692870663,-1.1554332727917975,0.34250000000000025,,,,-0.007217545428528371,,,,,,
1980-03-31,-0.08319258936557716,-45.097519503713265,0.6823762067368733,2.079309159209064,2.4178700488017846,3.7675,0.336039439802982,-1.49058480036294,0.37250000000000005,,,,-0.47484095087350076,,,,,,
1980-06-30,-2.4706013946102723,-47.25141317516665,0.3117998001918032,2.3510301899288155,2.211524866458614,3.1675,-2.598544162997962,-9.012795755194873,0.7199999999999998,,,,-2.0206519243144427,,,,,,
1980-09-30,-0.4973930131811244,-47.9714230425031,0.2926360083212509,2.2090655418415928,2.2028194010057067,2.455,0.8189607765317852,0.7525000387359954,0.5550000000000002,,,,0.3600906637997059,,,,,,
1980-12-31,1.4763561502940559,-46.88487643095364,0.05276623483393417,2.5713716930404917,2.4052820357779225,3.9625,0.8451487363888344,2.8707754650798805,0.5625,,,,1.9265958057263055,,,,,,
1981-03-31,1.5757764704846355,-46.50744826013971,-0.11909940719181389,2.600061818805832,2.194401983947758,4.15,-0.06906519562583924,0.548095421001471,0.5724999999999998,,,,0.3615498700009434,,,,,,
1981-06-30,-1.0984483060744843,-46.30384465968907,-0.24576517876121473,1.9622378997809609,1.873735651084374,4.4475,-0.6401985348395423,0.6522333165828731,0.5049999999999999,,,,-0.3081053118158428,,,,,,
1981-09-30,0.8416345977384831,-47.53671407588536,0.3326550348007107,1.8647477738931606,1.8248637362262343,4.3975,-0.12244580017732876,-0.5202114213467723,0.4075000000000002,,,,1.0818576033462257,,,,,,
