date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_BBBspread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_AAAspread,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6,,
12/31/2009,0.40,-1.12,0.40,0.21,0.22,0.11,0.34,-0.73,2.06,0.48,0.96,0.00,0.28,0.11,0.11,0.12,0.15,0.19,0.22,0.25,,
3/31/2010,0.81,-0.79,0.25,0.11,0.21,0.11,0.90,-0.37,1.74,0.48,1.02,0.02,0.44,0.04,0.09,0.11,0.13,0.16,0.19,0.22,,
6/30/2010,0.82,-0.65,0.52,0.25,0.24,0.11,0.49,2.99,1.79,0.48,0.96,-0.01,0.89,0.04,0.10,0.12,0.13,0.14,0.16,0.17,,
9/30/2010,0.37,-0.74,0.02,0.34,0.33,0.15,0.32,-0.90,1.67,0.50,0.88,-0.03,0.35,0.05,0.13,0.15,0.16,0.17,0.18,0.19,,
12/31/2010,0.57,-0.74,0.27,0.15,0.35,0.20,0.76,0.33,1.44,0.48,0.93,0.01,0.88,0.06,0.18,0.20,0.21,0.22,0.23,0.25,,
3/31/2011,0.99,-0.11,0.45,0.39,0.45,0.22,0.28,1.84,1.30,0.50,1.08,0.01,0.71,0.05,0.21,0.24,0.26,0.29,0.32,0.34,,
6/30/2011,-0.05,-0.49,0.30,0.21,0.47,0.31,0.15,0.05,1.28,0.50,1.12,-0.01,0.14,-0.01,0.30,0.33,0.36,0.38,0.40,0.42,,
9/30/2011,-0.04,-0.70,-0.06,0.32,0.48,0.35,-0.17,-0.91,1.92,0.50,1.07,0.00,-0.49,-0.08,0.25,0.25,0.24,0.24,0.25,0.25,,
12/31/2011,-0.37,-1.11,0.25,0.23,0.49,0.31,-0.18,-0.53,2.32,0.50,1.05,-0.01,-0.31,-0.06,0.15,0.14,0.14,0.14,0.14,0.14,,
3/31/2012,-0.35,-1.51,0.03,0.42,0.47,0.16,-0.06,-0.34,2.07,0.50,0.91,0.03,0.24,-0.04,0.09,0.09,0.09,0.09,0.09,0.09,,
6/30/2012,-0.41,-2.17,0.10,0.28,0.40,0.10,-0.45,-1.84,2.03,0.50,0.86,-0.01,-0.39,-0.14,0.07,0.07,0.07,0.07,0.07,0.07,,
9/30/2012,-0.25,-2.60,-0.11,0.41,0.33,0.04,-0.45,-1.74,1.89,0.50,0.72,0.01,-0.66,-0.11,0.02,0.02,0.02,0.02,0.02,0.02,,
12/31/2012,-0.46,-3.26,0.03,0.19,0.40,0.03,-0.20,-1.11,1.54,0.50,0.55,0.00,-0.24,0.00,0.02,0.02,0.01,0.01,0.02,0.02,,
3/31/2013,-0.43,-3.87,-0.03,0.58,0.32,0.03,-0.73,-2.73,1.30,0.50,0.69,0.01,-0.43,-0.14,0.02,0.03,0.03,0.03,0.04,0.04,,
6/30/2013,0.54,-3.73,0.22,0.22,0.25,0.03,0.02,0.72,1.24,0.50,0.72,0.02,1.08,-0.09,0.02,0.02,0.02,0.02,0.03,0.03,,
9/30/2013,0.26,-3.70,0.30,0.13,0.24,0.03,0.31,1.23,1.25,0.50,0.80,-0.03,0.08,-0.02,0.03,0.03,0.03,0.04,0.05,0.05,,
12/31/2013,0.20,-3.43,0.16,0.03,0.22,0.04,0.15,0.50,1.05,0.48,0.80,0.00,0.45,-0.02,0.03,0.03,0.03,0.04,0.04,0.04,,
3/31/2014,-0.13,-3.86,-0.06,0.51,0.30,0.06,-0.81,0.07,0.85,0.48,0.77,0.01,-0.67,-0.04,0.04,0.04,0.04,0.04,0.04,0.04,,
6/30/2014,0.12,-3.95,0.01,0.20,0.12,0.06,0.07,-2.25,0.77,0.45,0.62,-0.01,-0.08,0.03,0.03,0.03,0.02,0.02,0.02,0.03,,
9/30/2014,0.41,-3.79,0.19,0.14,0.15,0.02,0.33,2.07,0.89,0.48,0.50,0.01,1.35,0.05,0.01,0.01,0.00,0.00,0.00,0.00,,
12/31/2014,0.28,-3.53,0.18,0.27,0.15,0.00,0.22,-0.49,0.99,0.45,0.40,0.01,0.07,0.06,0.00,-0.01,-0.01,-0.01,-0.01,-0.01,,
3/31/2015,0.59,-3.98,-0.14,0.53,0.44,0.00,-0.38,0.21,0.98,0.45,0.29,0.01,-0.17,0.03,-0.01,-0.02,-0.02,-0.03,-0.03,-0.03,,
6/30/2015,0.38,-3.55,0.08,0.40,0.20,-0.01,0.70,5.91,0.98,0.45,0.32,-0.02,0.80,0.11,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,,
9/30/2015,0.37,-3.26,-0.19,0.37,0.20,-0.02,0.02,-3.87,1.14,0.48,0.37,0.01,0.65,0.12,-0.03,-0.03,-0.04,-0.04,-0.04,-0.03,,
12/31/2015,0.36,-3.14,0.29,0.10,0.27,-0.04,0.16,3.35,1.25,0.48,0.30,0.00,0.35,0.16,-0.05,-0.06,-0.06,-0.06,-0.06,-0.06,,
3/31/2016,0.40,-2.44,0.06,0.28,0.22,-0.07,0.06,0.21,1.44,0.45,0.26,0.01,0.03,0.11,-0.08,-0.09,-0.09,-0.10,-0.10,-0.10,,
6/30/2016,0.17,-2.30,-0.01,0.12,0.07,-0.09,0.35,-0.47,1.19,0.45,0.23,0.00,1.70,0.07,-0.09,-0.09,-0.09,-0.10,-0.10,-0.10,,
9/30/2016,0.37,-2.30,0.15,0.29,0.20,-0.09,0.27,2.22,1.04,0.45,0.16,0.01,-0.88,0.04,-0.09,-0.09,-0.10,-0.10,-0.10,-0.11,,
12/31/2016,0.66,-2.13,0.39,0.11,0.32,-0.09,0.94,0.37,0.98,0.45,0.27,0.00,0.76,0.02,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,,
3/31/2017,0.78,-1.63,0.18,0.32,0.26,-0.09,0.60,1.45,0.88,0.45,0.35,0.03,1.28,-0.01,-0.09,-0.09,-0.09,-0.09,-0.08,-0.08,,
6/30/2017,0.68,-1.25,-0.04,0.45,0.33,-0.09,0.34,4.03,0.79,0.45,0.29,0.00,0.05,0.03,-0.09,-0.09,-0.09,-0.09,-0.08,-0.08,,
9/30/2017,0.56,-1.05,0.11,0.22,0.34,-0.09,0.15,-2.57,0.68,0.45,0.28,0.00,0.87,0.04,-0.09,-0.09,-0.09,-0.09,-0.08,-0.08,,
12/31/2017,0.88,-0.50,0.30,0.42,0.18,-0.09,0.50,-1.66,0.66,0.48,0.25,0.01,0.18,0.05,-0.09,-0.09,-0.09,-0.09,-0.08,-0.08,,
3/31/2018,0.03,-0.44,-0.11,0.43,0.37,-0.09,0.51,3.49,0.69,0.48,0.29,0.00,0.93,0.04,-0.09,-0.09,-0.09,-0.09,-0.08,-0.08,,
6/30/2018,0.51,0.45,0.42,0.21,0.34,-0.09,0.53,-0.21,0.82,0.48,0.30,-0.01,0.65,0.03,-0.09,-0.09,-0.09,-0.09,-0.09,-0.08,,
9/30/2018,-0.10,0.58,0.25,0.52,0.29,-0.09,-0.12,2.79,0.89,0.48,0.32,-0.01,-0.62,-0.01,-0.09,-0.09,-0.09,-0.09,-0.09,-0.08,,
12/31/2018,0.63,0.84,0.03,0.51,0.20,-0.09,0.37,1.23,1.09,0.48,0.35,0.01,0.17,-0.02,-0.09,-0.09,-0.09,-0.09,-0.08,-0.08,,
3/31/2019,0.59,1.45,0.01,0.38,0.20,-0.09,-0.13,1.07,1.09,0.45,0.28,0.01,1.22,0.04,-0.09,-0.09,-0.09,-0.09,-0.09,-0.08,,
6/30/2019,0.35,1.07,0.39,0.30,0.45,-0.09,0.55,5.26,0.96,0.45,0.20,0.02,0.43,0.04,-0.09,-0.10,-0.10,-0.10,-0.10,-0.10,,
9/30/2019,0.00,1.29,0.12,0.50,0.34,-0.11,0.04,-3.34,0.91,0.43,0.04,-0.01,0.16,0.07,-0.11,-0.13,-0.13,-0.14,-0.14,-0.15,,
12/31/2019,-0.14,1.03,-0.32,0.52,0.34,-0.11,-0.18,5.16,0.88,0.43,0.07,0.00,-1.32,0.08,-0.11,-0.12,-0.12,-0.12,-0.12,-0.12,,
3/31/2020,-3.58,-3.46,-1.44,0.60,0.12,-0.12,-5.58,-0.94,1.08,0.43,0.07,-0.04,-3.06,0.08,-0.12,-0.12,-0.13,-0.13,-0.13,-0.13,,
6/30/2020,-11.88,-18.13,-5.35,1.10,0.30,-0.12,-14.11,-23.62,1.50,0.43,0.12,0.06,-11.67,0.08,-0.12,-0.12,-0.12,-0.12,-0.13,-0.13,,
9/30/2020,11.06,-4.83,6.54,-1.00,-0.07,-0.13,13.79,15.58,1.17,0.40,0.04,0.04,10.52,0.02,-0.12,-0.12,-0.12,-0.13,-0.13,-0.13,,
12/31/2020,0.32,-5.41,-0.03,0.70,0.06,-0.14,-3.18,1.00,1.01,0.43,-0.01,-0.06,-0.04,0.03,-0.12,-0.12,-0.13,-0.13,-0.13,-0.13,,
3/31/2021,0.62,-5.26,-0.42,0.64,0.74,-0.14,-1.13,0.43,0.82,0.43,0.01,0.01,1.17,0.06,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,,
6/30/2021,2.18,-2.13,0.58,0.31,0.14,-0.14,3.96,2.64,0.75,0.43,0.07,-0.02,3.47,0.06,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,,
9/30/2021,1.77,-0.77,0.67,1.22,0.69,-0.14,3.62,0.87,0.75,0.45,0.04,-0.01,1.03,0.05,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,,
12/31/2021,0.68,-0.15,-0.23,1.15,0.84,-0.15,0.39,0.57,0.83,0.48,0.08,0.00,0.00,0.07,-0.12,-0.12,-0.12,-0.12,NaN,NaN,,
3/31/2022,0.32,0.67,-0.53,1.41,1.10,-0.14,0.93,1.77,0.98,0.50,0.21,0.00,0.97,0.08,-0.12,NaN,NaN,NaN,NaN,NaN,,
6/30/2022,0.60,0.88,-0.46,1.23,1.55,-0.14,1.47,1.53,1.19,0.53,0.49,0.00,0.26,0.06,NaN,NaN,NaN,NaN,NaN,NaN,,
9/30/2022,0.41,0.98,0.23,1.27,1.84,0.02,1.42,0.94,1.44,0.55,0.58,-0.01,-0.17,0.05,NaN,NaN,NaN,NaN,NaN,NaN,,
12/31/2022,-0.28,1.18,-0.32,1.86,1.96,0.34,-0.44,-2.85,1.37,0.55,0.76,0.00,-0.73,0.04,NaN,NaN,NaN,NaN,NaN,NaN,,
3/31/2023,-0.25,1.79,-0.48,1.97,1.77,0.59,-0.50,2.36,1.12,0.53,0.79,-0.03,0.65,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
6/30/2023,-0.03,1.70,-0.19,1.10,1.20,0.79,0.27,-0.72,1.16,0.53,0.80,0.00,-0.04,0.02,NaN,NaN,NaN,NaN,NaN,NaN,,
9/30/2023,-0.17,1.90,0.49,0.73,0.84,0.91,0.18,-1.15,1.09,0.53,0.84,0.00,-0.37,-0.01,NaN,NaN,NaN,NaN,NaN,NaN,,
12/31/2023,-0.15,1.82,0.31,1.10,0.46,0.96,-0.71,-0.45,1.11,0.53,0.83,0.04,-0.56,-0.01,NaN,NaN,NaN,NaN,NaN,NaN,,
3/31/2024,0.24,1.91,0.60,0.56,0.75,0.97,0.42,-1.99,0.91,0.50,0.74,-0.01,0.82,0.01,NaN,NaN,NaN,NaN,NaN,NaN,,
6/30/2024,-0.12,1.75,0.36,0.50,0.72,0.94,-0.38,-1.28,0.86,0.50,0.78,0.00,0.12,0.04,NaN,NaN,NaN,NaN,NaN,NaN,,
9/30/2024,0.25,1.64,0.31,0.54,0.74,0.89,0.26,0.83,0.88,0.50,0.74,0.01,NaN,0.07,NaN,NaN,NaN,NaN,NaN,NaN,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
