date,mean
1990-03-31,-6.239476139484716
1990-06-30,-6.258859722306585
1990-09-30,-6.2782231599461555
1990-12-31,-6.297558231821133
1991-03-31,-6.316857063509544
1991-06-30,-6.336112115071904
1991-09-30,-6.355316170287103
1991-12-31,-6.374462326647844
1992-03-31,-6.393543985982929
1992-06-30,-6.412554845592772
1992-09-30,-6.431488889802188
1992-12-31,-6.450340381850213
1993-03-31,-6.4691038560507375
1993-06-30,-6.487774110170256
1993-09-30,-6.506346197979769
1993-12-31,-6.524815421947519
1994-03-31,-6.543177326047208
1994-06-30,-6.561427688663343
1994-09-30,-6.579562515581216
1994-12-31,-6.5975780330537726
1995-03-31,-6.615470680941598
1995-06-30,-6.6332371059254704
1995-09-30,-6.650874154793228
1995-12-31,-6.668378867804851
1996-03-31,-6.685748472140654
1996-06-30,-6.702980375438737
1996-09-30,-6.720072159428145
1996-12-31,-6.7370215736645145
1997-03-31,-6.753826529374973
1997-06-30,-6.7704850934187855
1997-09-30,-6.78699548236988
1997-12-31,-6.803356056726892
1998-03-31,-6.819565315255785
1998-06-30,-6.835621889469388
1998-09-30,-6.851524538247584
1998-12-31,-6.867272142601162
1999-03-31,-6.8828637005815825
1999-06-30,-6.898298322338409
1999-09-30,-6.913575225325195
1999-12-31,-6.928693729654349
2000-03-31,-6.943653253600625
2000-06-30,-6.958453309252542
2000-09-30,-6.97309349831046
2000-12-31,-6.987573508029598
2001-03-31,-7.0018931073059205
2001-06-30,-7.016052142902502
2001-09-30,-7.030050535813571
2001-12-31,-7.043888277763299
2002-03-31,-7.057565427836188
2002-06-30,-7.071082109235608
2002-09-30,-7.084438506167057
2002-12-31,-7.09763486084257
2003-03-31,-7.110671470602583
2003-06-30,-7.123548685151523
2003-09-30,-7.136266903903542
2003-12-31,-7.148826573434512
2004-03-31,-7.161228185036747
2004-06-30,-7.173472272372704
2004-09-30,-7.185559409224161
2004-12-31,-7.19749020733328
2005-03-31,-7.209265314332159
2005-06-30,-7.220885411757531
2005-09-30,-7.232351213147249
2005-12-31,-7.24366346221553
2006-03-31,-7.254822931103784
2006-06-30,-7.265830418704057
2006-09-30,-7.276686749052296
