date,50.0% LB,50.0% UB,mean
1972-06-30,0.5647617896829079,0.5647617896829079,0.5647617896829079
1972-09-30,2.7472111929362932,2.7472111929362932,2.7472111929362932
1972-12-31,3.9341548954054266,3.9341548954054266,3.9341548954054266
1973-03-31,3.2481281869786387,3.2481281869786387,3.2481281869786387
1973-06-30,5.360808602725173,5.360808602725173,5.360808602725173
1973-09-30,6.434487706907694,6.434487706907694,6.434487706907694
1973-12-31,7.594840360741221,7.594840360741221,7.594840360741221
1974-03-31,5.780783848955978,5.780783848955978,5.780783848955978
1974-06-30,6.196511382204915,6.196511382204915,6.196511382204915
1974-09-30,4.9415395626161915,4.9415395626161915,4.9415395626161915
1974-12-31,0.919896169774761,0.919896169774761,0.919896169774761
1975-03-31,-0.9191621795251601,-0.9191621795251601,-0.9191621795251601
1975-06-30,-0.20277086887379747,-0.20277086887379747,-0.20277086887379747
1975-09-30,0.23665097095949528,0.23665097095949528,0.23665097095949528
1975-12-31,1.4748064128898164,1.4748064128898164,1.4748064128898164
1976-03-31,3.048887986731632,3.048887986731632,3.048887986731632
1976-06-30,3.106164095861664,3.106164095861664,3.106164095861664
1976-09-30,3.7172024590501516,3.7172024590501516,3.7172024590501516
1976-12-31,4.691270943946914,4.691270943946914,4.691270943946914
1977-03-31,4.744309433513716,4.744309433513716,4.744309433513716
1977-06-30,3.1010730779382527,3.1010730779382527,3.1010730779382527
1977-09-30,3.4930771903839406,3.4930771903839406,3.4930771903839406
1977-12-31,4.3428910517626615,4.3428910517626615,4.3428910517626615
1978-03-31,2.05300436973953,2.05300436973953,2.05300436973953
1978-06-30,3.821940312339546,3.821940312339546,3.821940312339546
1978-09-30,5.354899649531791,5.354899649531791,5.354899649531791
1978-12-31,5.54279283435941,5.54279283435941,5.54279283435941
1979-03-31,3.3513849448722035,3.3513849448722035,3.3513849448722035
1979-06-30,7.704978275834721,7.704978275834721,7.704978275834721
1979-09-30,6.712568583320997,6.712568583320997,6.712568583320997
1979-12-31,10.487510300630488,10.487510300630488,10.487510300630488
1980-03-31,9.835380684291172,9.835380684291172,9.835380684291172
1980-06-30,8.050379569983331,8.050379569983331,8.050379569983331
1980-09-30,8.234341203401677,8.234341203401677,8.234341203401677
1980-12-31,9.23547883589504,9.23547883589504,9.23547883589504
1981-03-31,9.658061976453684,9.658061976453684,9.658061976453684
1981-06-30,11.900966705951161,11.900966705951161,11.900966705951161
1981-09-30,11.507068598054556,11.507068598054556,11.507068598054556
1981-12-31,10.715312917597958,10.715312917597958,10.715312917597958
1982-03-31,9.169018857071066,9.169018857071066,9.169018857071066
1982-06-30,9.840575247509532,9.840575247509532,9.840575247509532
1982-09-30,7.806657660913055,7.806657660913055,7.806657660913055
1982-12-31,8.063179968177412,8.063179968177412,8.063179968177412
1983-03-31,7.691709500474279,7.691709500474279,7.691709500474279
1983-06-30,8.603836260296877,8.603836260296877,8.603836260296877
1983-09-30,8.142543150177044,8.142543150177044,8.142543150177044
1983-12-31,9.726424057406836,9.726424057406836,9.726424057406836
1984-03-31,9.046004049309012,9.046004049309012,9.046004049309012
1984-06-30,7.360684039732795,7.360684039732795,7.360684039732795
1984-09-30,7.7655710593133795,7.7655710593133795,7.7655710593133795
1984-12-31,8.337302796263856,8.337302796263856,8.337302796263856
1985-03-31,8.511788934034433,8.511788934034433,8.511788934034433
1985-06-30,7.835706132781095,7.835706132781095,7.835706132781095
1985-09-30,6.823227939295917,6.823227939295917,6.823227939295917
1985-12-31,5.822202746242787,5.822202746242787,5.822202746242787
1986-03-31,6.579242417633472,6.579242417633472,6.579242417633472
1986-06-30,6.0594221501384435,6.0594221501384435,6.0594221501384435
1986-09-30,5.0658814110673696,5.0658814110673696,5.0658814110673696
1986-12-31,6.192596330770477,6.192596330770477,6.192596330770477
1987-03-31,7.378015257921778,7.378015257921778,7.378015257921778
1987-06-30,8.493282689436287,8.493282689436287,8.493282689436287
1987-09-30,7.455511100522985,7.455511100522985,7.455511100522985
1987-12-31,6.934654055643799,6.934654055643799,6.934654055643799
1988-03-31,5.1706913738452815,5.1706913738452815,5.1706913738452815
1988-06-30,6.248724388921413,6.248724388921413,6.248724388921413
1988-09-30,7.648977382611511,7.648977382611511,7.648977382611511
1988-12-31,7.236259933424589,7.236259933424589,7.236259933424589
1989-03-31,8.205769705485162,8.205769705485162,8.205769705485162
1989-06-30,8.17502409507049,8.17502409507049,8.17502409507049
1989-09-30,8.848642355020466,8.848642355020466,8.848642355020466
1989-12-31,8.50176265570042,8.50176265570042,8.50176265570042
1990-03-31,6.723586607309389,6.723586607309389,6.723586607309389
1990-06-30,6.038743283967944,6.038743283967944,6.038743283967944
1990-09-30,6.288548869223259,6.288548869223259,6.288548869223259
1990-12-31,7.158812029686036,7.158812029686036,7.158812029686036
1991-03-31,7.4734337643475,7.4734337643475,7.4734337643475
1991-06-30,7.525730560337137,7.525730560337137,7.525730560337137
1991-09-30,7.8821643368705985,7.8821643368705985,7.8821643368705985
1991-12-31,8.968124793673958,8.968124793673958,8.968124793673958
1992-03-31,7.0647716967461225,7.0647716967461225,7.0647716967461225
1992-06-30,7.148991540883489,7.148991540883489,7.148991540883489
1992-09-30,7.795293263188053,7.795293263188053,7.795293263188053
1992-12-31,8.026480552442631,8.026480552442631,8.026480552442631
1993-03-31,5.734711844012484,5.734711844012484,5.734711844012484
1993-06-30,5.56088664869431,5.56088664869431,5.56088664869431
1993-09-30,5.8012488917365355,5.8012488917365355,5.8012488917365355
1993-12-31,6.179351010842934,6.179351010842934,6.179351010842934
1994-03-31,5.7629650413413085,5.7629650413413085,5.7629650413413085
1994-06-30,4.68485739628035,4.68485739628035,4.68485739628035
1994-09-30,4.622887810702398,4.622887810702398,4.622887810702398
1994-12-31,3.602784317735323,3.602784317735323,3.602784317735323
1995-03-31,4.797544670643995,4.797544670643995,4.797544670643995
1995-06-30,5.006911617110734,5.006911617110734,5.006911617110734
