obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_BBBspread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_AAAspread,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6,obs_rstar,obs_b_safet,obs_b_safep
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018786503765757783,0.0005602203774180899,-0.017151807975332087,0.0,1.0,2.236758260840196e-16,-0.19189371516984216,-0.10761466785377671,-0.0650129903387492,-0.04232080354870541,-0.029547051556624956,-0.021985500043256768,0.0003937947210819501,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.7262594203960027e-5,8.59123955422364e-5,0.004497613735260305,0.0,0.0,-6.703079740352288e-17,0.11085216216992168,0.04555261221339147,0.017644305660617997,0.006012189152161557,0.0013946262597907347,-0.00025590712144023687,5.934781317251665e-5,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0006126706682910959,1.2149034966223987e-6,0.0014446955562596184,0.0,0.0,2.193523929141237e-16,0.033417715709909965,0.019417903830239062,0.011776772785795229,0.0072736331286394895,0.004421557091385695,0.002510499576735689,4.003243149610132e-5,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013585411846308447,0.005169589799979764,-0.0027566205677748757,0.0,0.0,-3.7084497887441936e-16,0.001250950142074797,-0.0020474860875164644,-0.006194789522890432,-0.009749952214003103,-0.012294599253865243,-0.01382980166814928,0.005587048131058917,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1255278254649894e-18,8.099690401527825e-18,9.292242430040022e-18,0.0,0.0,1.1668927818838666e-31,2.3780177003125722e-17,1.9816333348979562e-17,1.7384771531645452e-17,1.660298460116684e-17,1.662274659082167e-17,1.6776654997150557e-17,4.147781551528782e-18,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007518012984346664,0.00023392696350805727,-0.010463525608676985,0.0,0.0,-5.67254280413373e-16,-0.014860265805848472,-0.014817269946410586,-0.018340618552443975,-0.022098021551896458,-0.024955138191916124,-0.02666951837533653,0.0008843075601501861,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7720309288134867e-19,2.1788776942311964e-18,-3.949821194538007e-18,0.21829741049081347,0.0,-1.9157048883685146e-31,-1.1799090299243287e-16,-6.33561213765001e-17,-3.6277031188646885e-17,-2.233126994960308e-17,-1.4968788451970062e-17,-1.0864091597822647e-17,2.9731531260157594e-18,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.63434457947081e-18,6.865031362491564e-18,1.1295459875831162e-17,0.0,0.0,3.1157293841207766e-32,2.7953962579803226e-17,1.980340030362992e-17,1.798096094256196e-17,1.7950468314027287e-17,1.8311739707640608e-17,1.857340890950064e-17,6.703718535279742e-18,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.808236095230736e-35,-3.430091500425119e-35,-5.412854935672284e-35,0.0,0.0,-6.629785089642365e-49,-8.996475319912618e-35,-8.087702910434628e-35,-8.625751797408977e-35,-9.1913162025786e-35,-9.59867502757805e-35,-9.798472129306472e-35,-2.9729149265948914e-35,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01136456969439555,-0.004324503683653109,0.002305988726575892,0.0,0.0,4.0224704573343487e-16,-0.0010464541108251707,0.0017127782803441727,0.005182111375897001,0.00815610249483707,0.010284769550301288,0.011569008484645829,-0.004673719029623302,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.613808974690918e-18,1.4857961528184125e-17,9.209380567939779e-18,0.0,0.0,-1.1121638129782331e-32,-7.70664425786426e-17,-3.6447875994176765e-17,-1.2335359670539533e-17,1.849136689999632e-18,1.0194301062302107e-17,1.5098424302987182e-17,1.6920767516392924e-17,0.0,0.0
0.0,0.0,0.0,1.0404443554500915,1.0,0.0,0.0,0.0,-0.0028591759534139227,0.06438617134700358,0.037700934073989584,0.0,0.0,-7.154099261387681e-16,0.06004413001277141,0.06181146086391039,0.057913923081157725,0.055365839441149534,0.05398396569786462,0.05306952737504989,0.03217947683739353,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.839916736682518e-18,1.058533318641897e-17,1.5828921041903957e-17,0.0,0.0,1.2573374315144145e-31,-3.118305615186976e-17,-2.8913002980575227e-18,1.4486945395986682e-17,2.3914191407146914e-17,2.88338117834133e-17,3.1214359311744816e-17,1.2815061151590086e-17,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0023813798366601573,0.04184316685780587,0.04216773286623113,0.0,0.0,-6.852271264936287e-16,0.03131161210974864,0.04155814392566628,0.04907664467753028,0.05406337330004635,0.057126621242240806,0.05878529031628405,0.04096637757945806,0.0,0.0
