date,68.0% LB,95.0% LB,95.0% UB,68.0% UB,mean
1960-03-31,-1.4132601271261507,-2.5657444475318965,1.7785052619067112,0.8231120888723671,-0.2972708390583177
1960-06-30,-1.184692277422037,-2.315385755092813,1.9603077076790352,1.0237050354619668,-0.08056038557764444
1960-09-30,-1.2076644197168376,-2.333136123449253,1.909897200570062,0.9686374802514617,-0.12308108658235396
1960-12-31,-1.0921349830529734,-2.2123802789301514,1.9894591196349254,1.0829077653493122,-0.010575361630593734
1961-03-31,-0.9860245550310034,-2.1156191635187693,2.067599682576912,1.1705112057107252,0.08949968408055181
1961-06-30,-0.9665688750430519,-2.0628974093585493,2.1032566670738984,1.1967105540318246,0.11696863130363304
1961-09-30,-0.8798405870501518,-1.994492065965833,2.1773790639149,1.2917854877112889,0.2091036345883049
1961-12-31,-0.6938052443787064,-1.8105782205914176,2.38024378826737,1.4665236375948574,0.3883260185215745
1962-03-31,-0.5587153440368378,-1.6675451955161464,2.514328142221705,1.614983745364993,0.5320564081665954
1962-06-30,-0.5540588034373646,-1.6807286334655558,2.523377368218816,1.622467072343329,0.538116826213366
1962-09-30,-0.4223163458025838,-1.5524258114866076,2.651479148944513,1.768382353360891,0.6698578026291059
1962-12-31,-0.31931243444927215,-1.444782043599922,2.784709456337996,1.8838756899623337,0.7802107964126682
1963-03-31,-0.2893352983452391,-1.4224335627036644,2.8099584636200188,1.9068616316595455,0.8115099479953304
1963-06-30,-0.2891057682675573,-1.4177121437408786,2.8387158259606546,1.9416576717440508,0.8292324588547147
1963-09-30,-0.20995504261963815,-1.3484489626551883,2.9323675007668197,2.0413034026132797,0.9181024464309098
1963-12-31,-0.1749066201346423,-1.3352802583742762,2.964986367045167,2.076782152890511,0.9464655972705079
1964-03-31,-0.06441042563357402,-1.2291020982923007,3.0892054751657705,2.2143462584292957,1.0697228235174323
1964-06-30,0.06606857120039589,-1.1180389539813707,3.2418209654127326,2.3571379757706685,1.2075428283925993
1964-09-30,0.04539914212380425,-1.1313177413681617,3.2402207945718775,2.3646068449649964,1.2034841783273347
1964-12-31,-0.020047235668517294,-1.208642838017659,3.1981907066453035,2.32603479756881,1.1450116382297992
1965-03-31,-0.05347602057401657,-1.2340304714771269,3.215332015355986,2.3262681541304286,1.1366500395079955
1965-06-30,-0.07422073627890846,-1.2711643020404857,3.2100139399350436,2.3231194308815715,1.1232013013177273
1965-09-30,-0.14789575124429266,-1.34839526268052,3.1769308506488225,2.2810793891561567,1.0636323497391293
1965-12-31,-0.15890404423364113,-1.3700656854762818,3.2300632751992677,2.3049054717449913,1.0800158401764222
1966-03-31,-0.27949017898619566,-1.5139349958883903,3.1338389892258887,2.2089541397820938,0.9638218990218839
1966-06-30,-0.5470458642897444,-1.7946768884392066,2.8947456519095653,1.9793906661724168,0.7104624631696376
1966-09-30,-0.653137513719944,-1.950686334690113,2.8295232914322126,1.9047379272519729,0.6205214115884758
1966-12-31,-0.8336859377557273,-2.1265483194835095,2.6944932387904714,1.7395461260711285,0.4527786511749797
1967-03-31,-0.9061916506074215,-2.2318642604984085,2.630895148601963,1.6912993299750132,0.38190820800130176
