date,g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,mu_sh,z_sh,lambda_f_sh,lambda_w_sh,rm_sh,sigma_omega_sh,mu_e_sh,gamma_sh,pi_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6,dettrend,detrendedMean
2007-03-31,-0.04811674106366928,-6.206556319358735e-16,-0.08480249423866407,7.071308685198394e-13,0.1376654330498596,-0.03360040153693896,0.006103822213487832,-9.105090556672048e-16,1.1091818678523818e-14,4.972106536574748e-15,-0.016900037779112812,0.0,0.0,8.89652361325883e-14,0.0,-0.05258224428831134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154873097768876,-0.0767453538656504
2007-06-30,-0.04354965572376613,-6.968610686037625e-16,-0.09843040907758277,7.753897152495556e-13,0.15490403673337594,-0.03476240303126467,0.004269460461752949,-8.446379642312595e-16,1.4441209934286024e-14,4.557610715740915e-15,-0.01723824801233276,0.0,0.0,9.171453765655816e-14,0.0,-0.1603950849135231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015302770156370958,-0.17989953340608467
2007-09-30,-0.04592133075773545,-7.724523565335262e-16,-0.1961687701405457,9.075539621432028e-13,0.14702528992537045,-0.03086430418557711,0.005399984182328832,-8.885923173043586e-16,1.635559218996863e-14,4.826005515030163e-15,-0.014036414587546809,0.0,0.0,9.395996493805214e-14,0.0,-0.19511622434571338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01512056109219062,-0.3145612088162073
2007-12-31,-0.04469554543596938,-9.073762049357359e-16,-0.27691608031592185,9.380979839657303e-13,0.12019973167436357,-0.027397950728449597,0.005155408531351121,-9.808313428408624e-16,1.563807990898971e-14,5.531656134668872e-15,-0.010431529441559288,0.0,0.0,9.332843785957731e-14,0.0,-0.18747516369265754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014940651153157423,-0.4066204782546343
2008-03-31,-0.045728647658348574,-8.363604916142458e-16,-0.3728620686614447,4.621769426928961e-13,0.07630298442614555,-0.02752451494806114,0.0055950255316652075,-8.871147748841324e-16,1.5324734545859073e-14,6.106962232797041e-15,-0.008273098190791025,0.0,0.0,9.26416747637239e-14,0.0,-0.28639680626153163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014763009350222185,-0.6441241164115694
2008-06-30,-0.04739459660166355,-9.08093346898314e-16,-0.3645690561694443,3.1734773604587683e-13,0.07778765925305436,-0.026146055684336027,0.004697481574852907,-8.323066299235835e-16,1.7434754473980906e-14,6.699570566083774e-15,-0.006945233534990406,0.0,0.0,9.192733558760152e-14,0.0,-0.3302852477079853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01458760513041614,-0.6782674437396641
2008-09-30,-0.040506209733991834,-8.095141160739236e-16,-0.4404316483577549,-9.715012501042697e-14,0.04454689093354121,-0.026490054630692938,0.004120717022436743,-9.321854934882689e-16,1.7766669693335157e-14,5.947662433854793e-15,-0.005750474852315109,0.0,0.0,8.683380388832933e-14,0.0,-0.38273643002061153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014414408370859624,-0.8328328012685167
2008-12-31,-0.02466411613410223,-3.467031139985146e-16,-0.785092654552986,-9.46136943570856e-13,-0.13567302473271792,-0.03710621155122037,0.008288324106582524,-3.9637480430656286e-16,1.6625025737953906e-14,5.199895753167826e-15,0.0027350294591494727,0.0,0.0,8.936615603663221e-14,0.0,-0.5484671050570095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.634463955743257e-16,-1.1233857091691773e-16,7.368663939987859e-17,-7.559028373054987e-17,-6.0639131550941465e-18,-2.4273746500727623e-17,0.014243389372839005,-1.5057363690903005
2009-03-31,-0.018092002103240152,-2.917474317088837e-16,-0.6677072224547816,-9.393535063374261e-13,-0.09809641981439435,-0.02183856693582169,0.006531353811802347,-3.3708411599674705e-16,2.5011287520025102e-14,3.675162012937578e-15,0.009071390989618632,0.0,0.0,9.450406987382782e-14,0.0,-0.5461088671398344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.194971840632108e-16,-2.2503815013598216e-16,-1.5112422964720654e-16,-2.1556490528883925e-16,-1.3028079222894914e-16,-8.710205658090642e-17,0.014074518855951262,-1.322165814791518
2009-06-30,-0.012850365737956608,-2.7520021740454746e-16,-0.5436546224926377,-7.526780961225751e-13,-0.05613834663070849,-0.019381646993113913,0.002694809232239082,-3.953159401586467e-16,1.899198618736526e-14,2.8811633132769446e-15,0.005235012511741395,0.0,0.0,8.622111300798848e-14,0.0,-0.4430316698378068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.785353521747547e-16,-4.1165062100674304e-16,-2.9422866163990737e-16,-3.9100170004475354e-16,-3.147925454183954e-16,-2.5288449439003417e-16,0.013907767952316526,-1.0532190619965738
