date,68.0% LB,95.0% LB,95.0% UB,68.0% UB,mean
1960-03-31,-7.025654349637428,-8.797441611366523,-1.3976659900506299,-3.330975598510788,-5.175562548777014
1960-06-30,-4.007672994576676,-5.720667022271174,1.8717859542635713,-0.22737490312566067,-2.102969403232262
1960-09-30,-8.127639165308029,-9.897938813670784,-2.69009061420718,-4.504258848943161,-6.317753158700431
1960-12-31,-7.894335806225996,-9.603143869428532,-2.5210442117128524,-4.329345763941047,-6.098099080633482
1961-03-31,-8.413176621261208,-10.230845658676172,-2.9984836495801535,-4.809251843968227,-6.613986815444957
1961-06-30,-9.078115828137802,-10.797833951139287,-3.7548800959280957,-5.525146286392348,-7.300770902927818
1961-09-30,-9.100965012333315,-10.919478033919267,-3.6699892405378893,-5.491573522473073,-7.306202158385078
1961-12-31,-5.005240346404095,-6.777407539216762,0.8971579094908644,-1.1634693673023246,-3.0818788715409253
1962-03-31,-6.312521241519866,-8.066877257229804,-0.6825587378667928,-2.6276778730675385,-4.469862168617591
1962-06-30,-5.359912464062871,-7.060478481109865,0.35814101529784104,-1.6501637071348814,-3.493911021769866
1962-09-30,-6.5829022635459165,-8.377400666659177,-1.0203175728149456,-2.8867078900783207,-4.740278940738986
1962-12-31,-6.250325060101724,-8.013313997354551,-0.4069329593694535,-2.407837170711616,-4.32777234781235
1963-03-31,-6.8453511554841135,-8.652325321463621,-0.9638322500372283,-3.0203736117441853,-4.925336174870725
1963-06-30,-6.198218506308901,-7.985006263766957,-0.18661975502857153,-2.3126269192853908,-4.2495182125824975
1963-09-30,-6.030026221368393,-7.823456142334296,0.3321698604210841,-1.9563005133894311,-3.9836896746055763
1963-12-31,-7.103829296536386,-8.998426483588274,-0.754176738273677,-2.967766499394946,-5.032913216424195
1964-03-31,-5.184533721011514,-7.129599298625065,1.648201093998491,-0.8018830901006453,-2.9921586454271636
1964-06-30,-4.180237687012516,-5.791132082212057,1.4060467894190372,-0.596796561743802,-2.386474540041
1964-09-30,-5.983300742216166,-7.48397992073701,-0.8298107224055431,-2.6719593403832125,-4.31940730514251
1964-12-31,-7.06460784027551,-8.663851099437865,-2.074375342333555,-3.8151867803558215,-5.440989532162576
1965-03-31,-4.766101649957836,-6.293423744967448,0.37910800010606227,-1.4782684388595912,-3.122457845562284
1965-06-30,-5.7476395946080405,-7.279652221697704,-0.8140697058209767,-2.5382100869804347,-4.1424056886878855
1965-09-30,-7.675462126352738,-9.179061261529688,-2.756831547810883,-4.459548559519271,-6.067090690616003
1965-12-31,-6.324171020522488,-7.8379763996624074,-1.202390415642764,-3.0413459527008584,-4.673565424857839
1966-03-31,-8.436025411105753,-9.92586887272102,-3.386064600157236,-5.223712774612601,-6.812189118245461
1966-06-30,-8.819037859791456,-10.366965789208201,-3.4923425113178723,-5.465704160337113,-7.116123299009027
1966-09-30,-8.18914623502145,-9.706122380455506,-2.6754710911999044,-4.762375916681862,-6.451587993308213
1966-12-31,-8.214208372389814,-9.797449046762207,-2.499377767145581,-4.6350614934989665,-6.4104307211312905
1967-03-31,-12.280068049338126,-13.870297427303356,-6.666926863583928,-8.78199355045012,-10.52277671673875
1967-06-30,-12.071887726501316,-13.658308307076686,-6.347023356563312,-8.586472299159169,-10.316321041774392
1967-09-30,-13.637782962070661,-15.263405758585762,-7.506089171181705,-9.87874933674151,-11.723615409488112
1967-12-31,-13.809499961169259,-15.556212488938488,-7.381676045127419,-9.936539881095802,-11.85195606657797
1968-03-31,-14.783496912742454,-16.503033512722617,-8.315125129732841,-10.884535430583172,-12.803501313757256
1968-06-30,-11.899756847071076,-13.63243111944124,-5.167913278939194,-7.8342736487869065,-9.846290964651727
1968-09-30,-13.612753971552813,-15.375657634836035,-6.816963822942359,-9.554406356462218,-11.561614163857914
1968-12-31,-15.630236093598029,-17.413549994129433,-8.725609006019715,-11.582447579325466,-13.581398752969855
1969-03-31,-12.097546509395901,-13.86413574498594,-5.154402679188785,-8.04430499565349,-10.038063557541445
1969-06-30,-9.443574218751001,-11.27771465483876,-2.3550945256115163,-5.221822990548492,-7.315327823228244
1969-09-30,-9.908237848673675,-11.783845387183968,-2.8607556926225106,-5.704094609189731,-7.772445974503342
1969-12-31,-9.09145719991341,-10.991597432065593,-1.887930419219833,-4.7624806553784325,-6.897563417682338
1970-03-31,-11.512545088646732,-13.359639108276443,-4.3822080824472796,-7.254997556384216,-9.353782495486739
1970-06-30,-16.944744844314172,-18.868824271945908,-9.788064249911777,-12.717243933288758,-14.817306906532735
1970-09-30,-17.046233982033726,-18.961938016988714,-9.64097875093782,-12.675536789235453,-14.827554105378335
1970-12-31,-20.3360999591127,-22.35502782706738,-12.735516811951669,-15.79465320997998,-18.04108368242239
1971-03-31,-23.13035088552843,-25.020394935206756,-15.700222202773087,-18.712074325013095,-20.890764268968276
1971-06-30,-20.725972035902473,-22.594889666977313,-13.474905187486357,-16.414632224619798,-18.54798265604225
1971-09-30,-16.160079994112532,-18.15670232634316,-8.875959631994247,-11.736815237123038,-13.929939632161334
1971-12-31,-14.13469476129784,-16.214114862369755,-6.604982710571939,-9.480747138394271,-11.799522068111244
1972-03-31,-19.025204935706135,-21.04341314152218,-11.9759183631372,-14.647459856348714,-16.84424387814818
1972-06-30,-15.879657600224423,-17.995762234926335,-8.44952214385521,-11.257184949808831,-13.567824826966657
1972-09-30,-17.036392846372042,-19.204266791102985,-9.487296454032103,-12.320156399613033,-14.677575035769221
1972-12-31,-15.830122346960433,-18.08471645700095,-7.924724951230974,-10.864505120501914,-13.360680712411625
1973-03-31,-14.382606063312501,-16.64055121368657,-6.18142693814616,-9.315292161376135,-11.84745009997799
1973-06-30,-16.153632316787853,-18.391435795451258,-7.789484479766806,-11.051872286512733,-13.579081882933039
1973-09-30,-13.236206437277472,-15.661259714306414,-4.360595545106435,-7.851959667575063,-10.540919153181926
1973-12-31,-15.629027724960721,-18.1329965129329,-6.137745940432314,-9.897002875704368,-12.719238443050255
1974-03-31,-19.06780134156035,-21.774770728863174,-8.888735087735132,-12.986687195754484,-16.003845153906965
1974-06-30,-20.015923075077733,-23.044297676347856,-9.012108229714366,-13.298695103958664,-16.639880601276086
1974-09-30,-21.5359462258138,-24.709156039819586,-10.016790982050491,-14.39059135832157,-17.9343499257348
1974-12-31,-30.59104960113173,-33.788713075895956,-19.02789472773083,-23.41354628255231,-27.007266331141246
1975-03-31,-32.37549961149537,-35.38608810796205,-21.58218520787071,-25.7946077831701,-29.05919171838376
1975-06-30,-28.708229278720918,-31.5184798209235,-18.64925865441327,-22.663383862474564,-25.655701675084174
1975-09-30,-24.035693361766732,-26.7931234855952,-14.137595079476782,-18.118172727903097,-21.058433175143158
1975-12-31,-25.781864282643973,-28.587944647579167,-16.13485541891709,-19.94003532140971,-22.85408540503425
1976-03-31,-22.697740964073784,-25.365266257537986,-13.334757452742357,-16.950465602687483,-19.80026921058339
1976-06-30,-23.573872122721106,-26.24455866861327,-14.206548682862094,-17.77305320259232,-20.667301218508026
1976-09-30,-23.107883112507057,-25.810334687314995,-13.96267390941708,-17.468432538938682,-20.284310595688442
1976-12-31,-24.841137281733953,-27.427347709058665,-15.753620622087631,-19.27802366677179,-22.050945207932017
1977-03-31,-23.88494314233055,-26.3995151174505,-15.045834891266221,-18.486066550078736,-21.174799351738557
1977-06-30,-21.115284121580142,-23.55283327318242,-12.436513642371349,-15.86309831232225,-18.462830172094968
1977-09-30,-20.920966509738783,-23.222556009217115,-12.61643299360891,-15.826204173881976,-18.342717989670525
1977-12-31,-16.38061346288267,-18.604367212853106,-8.254936939133577,-11.367217111565493,-13.845664311605134
1978-03-31,-18.915298700378877,-21.15045652876333,-11.067155628363208,-14.128990747990995,-16.486176448864796
1978-06-30,-14.314867709973651,-16.433406825558215,-6.780094064818858,-9.623384286139823,-11.958813251945475
1978-09-30,-16.052197729550976,-18.19424341140618,-8.816189953528312,-11.571244266590076,-13.806976821922152
1978-12-31,-12.205037200339788,-14.326268173219319,-5.2209886774149386,-7.830575453761387,-10.00820684530644
1979-03-31,-9.020399654987754,-11.342384524417831,-1.9633033823765103,-4.504973079823166,-6.7799433258582225
1979-06-30,-12.4555365165489,-14.551004815667794,-5.48641146972189,-7.939364051545374,-10.201707546073138
1979-09-30,-6.705143914764427,-9.018741937021655,1.0449284544203126,-1.6688216005402174,-4.204754765695308
1979-12-31,-2.455881368937937,-5.137884016406875,6.596484829035636,3.384632436591682,0.4852546376176032
1980-03-31,-5.70635078096078,-8.132425615659967,2.750490319778245,-0.16419148267012762,-2.9366282098127146
1980-06-30,-13.003675420569136,-15.660253822270015,-4.855210043566678,-7.489811859455049,-10.269940096247462
1980-09-30,-13.473756505189057,-15.855546181730745,-5.695374903650707,-8.309243207207194,-10.892131212410796
1980-12-31,-1.7456149314470801,-4.313634935337658,7.11625825458837,4.0645971596864445,1.1708196820322985
1981-03-31,-1.741985951967933,-4.157519609483188,6.722181670429808,3.7327325186177003,1.024077863175043
1981-06-30,-0.925277759528063,-3.4500852587286186,7.273405489243656,4.546761419741348,1.817800034426008
1981-09-30,-2.902980142402277,-5.538149592789128,5.143951260165589,2.386587901880345,-0.2610402772497116
1981-12-31,-9.404875741980966,-11.920310215125212,-2.13747163540096,-4.491556232652888,-6.970504706717968
1982-03-31,-3.7643531851161107,-6.42204994527474,3.9095930490250472,1.456188045792711,-1.1521584298054361
1982-06-30,-1.847522948309389,-4.694244793723655,6.250382303632744,3.7272776220545683,0.9323670562239831
1982-09-30,-7.49756386491636,-9.839657009913703,-0.565205742255702,-2.7476382028738655,-5.111248521948572
1982-12-31,-9.42049815855114,-11.79227831274844,-2.4580042220677205,-4.659760944619492,-7.029788745857329
1983-03-31,-9.721776681727949,-12.219357368995924,-2.864133474126219,-5.012251822695259,-7.366980560017001
1983-06-30,-3.5405891308963167,-6.146929076049403,3.562751502910756,1.3653074937120535,-1.0881086284898627
1983-09-30,-4.454855023547992,-6.668053658197426,1.980063058698153,-0.03171058187578302,-2.249657660039736
1983-12-31,-2.9378254713985044,-5.322208912460434,3.575596782097186,1.5748813214506754,-0.6881332573279492
