Date,ConvenienceYield_Baseline_APR,ConvenienceYield_USExcludingMatchedPrivilege_APR,ConvenienceYield_Counterfactual_APR,LongRate_Baseline_APR,LongRate_USExcludingMatchedPrivilege_APR,LongRate_Counterfactual_APR,PolicyRate_Baseline_APR,PolicyRate_USExcludingMatchedPrivilege_APR,PolicyRate_Counterfactual_APR,CorePCEInflation_Baseline_YY,CorePCEInflation_USExcludingMatchedPrivilege_YY,CorePCEInflation_Counterfactual_YY,OutputGap_Baseline,OutputGap_USExcludingMatchedPrivilege,OutputGap_Counterfactual,Forward5YearRealNaturalRate_Baseline_APR,Forward5YearRealNaturalRate_USExcludingMatchedPrivilege_APR,Forward5YearRealNaturalRate_Counterfactual_APR
2000-06-30,0.7680510492497352,0.3112633830813143,0.8974220427216492,6.1737,6.422205540352864,6.338028945809343,6.27,5.913051826418625,6.471878190325422,1.706834852,1.8241177347526008,1.7444134832999425,4.233874011283266,3.844025345602533,4.352664272234631,2.5327571566244105,2.7962577696847766,2.6391229844846196
2000-09-30,0.7353891057538063,0.28077839703914126,1.2039112478267995,5.99,6.297710708101674,6.144235690162905,6.52,6.058160309554154,7.077327813121919,1.821960379,1.945763285222599,1.8721244740966732,4.150447939156903,3.656573277410237,4.560216124646207,2.408734583074466,2.7285158125445146,2.463116315073082
2000-12-31,0.8264182558079576,0.2567202346749986,1.118532856494328,5.3428,5.6017325989481686,5.312636294476028,6.47,5.852865141994234,6.998663066704518,1.8453251060000002,1.9636020030130203,1.8743457631628977,4.326676401102373,3.688807799377451,4.731165316544998,2.544810756013381,2.8365772476204754,2.457727729597855
2001-03-31,1.5282731277597046,0.23759697948542646,1.1322200885860259,5.2693,5.732183842499302,5.177928268926292,5.6,4.382885617528637,5.520896121922972,1.9715688299999998,2.109606215164252,1.9812918461091429,5.84527586852665,4.687684174027571,5.772694291533478,2.376345650217351,2.9295384840915655,2.3268851387998
2001-06-30,1.3263961106576283,0.2222837652890377,1.066088619607633,5.691,6.482874679895342,5.839586802645327,4.33,3.0701371580930594,4.121321127698211,2.001551365,2.186945445360859,2.0121736770039,5.368889626191434,4.11684308065993,5.181738715115202,1.9112487372041413,2.7313070727986,2.066467709861888
2001-09-30,1.380915368022164,0.20992510526625163,0.8817377999115095,5.0456,5.915862843352861,5.24249156896446,3.5,2.1925813831689043,3.0388743197775296,1.7762690939999999,2.015989887941987,1.8016692100786535,4.997039999129998,3.643979539773042,4.587646006272337,1.8606236906301077,2.7501756964277,2.0893243730502844
2001-12-31,1.3723552585872136,0.199865819932747,0.4816749729398344,5.5106,6.472435458077945,5.57521824173819,2.13,0.8494074628609498,1.178283876023091,1.765002944,2.067917155870642,1.814636584404317,4.618297942108967,3.224164191074592,3.7926304227590806,1.6758004003179932,2.632304991152025,1.8454737090646043
2002-03-31,0.8294229714107034,0.19160133414581726,-0.07071157438868736,5.8248,6.896355883641876,5.75356033177454,1.73,0.9525669039839975,0.47092397821560317,1.4230647189999999,1.7725928483640996,1.488837398862777,4.764088751307687,3.7188700327433724,3.6688472309467657,1.7265288221488257,2.6991403301567223,1.7943524339258075
2002-06-30,0.06898023094434946,0.18474134723580904,-0.26306014876747974,5.2423,6.288776006388442,5.677954167088647,1.75,1.825906960932656,0.9783712064090762,1.593555483,1.956817745519329,1.6850965812721255,3.719518591593282,3.3281565646759343,2.9753651947245157,1.7208697108681341,2.564549439178509,2.144003247750205
2002-09-30,-0.20101608349795178,0.17898291219056153,-0.20063396127102004,4.1101,5.321793174256089,4.882067442110846,1.74,2.495831551249669,1.5881041680212127,1.868680009,2.2400283019687444,1.9990796697978328,2.9893216956210247,3.1268836428648408,2.699951490451204,1.4561086982569025,2.3864699750056997,2.105708968054751
2002-12-31,-0.3977319844095121,0.17409025356925112,-0.20626072351995878,4.2487,5.435671571849438,4.38281448199853,1.44,2.6877542021508876,1.5313883730520566,1.7420715999999998,2.1102017734238627,1.8751196910279602,2.1670185831886974,2.698481189003874,2.0725098385009506,1.5644011508771194,2.4320386888652576,1.6425220338436637
2003-03-31,-0.8707259038586499,0.16987949036878192,-0.05875528503131322,4.2158,5.096086021126498,3.7846119285534563,1.25,3.07615156807266,1.8331603064749245,1.743159861,2.078319727155346,1.835048553521728,1.6454473461822923,2.6699532949820632,1.9897056719338362,1.8168625929071507,2.3448671586177467,1.3258440811999637
2003-06-30,-0.34418082277799456,0.1662069803349152,0.014496447284056191,3.8383,4.726860969408911,3.1628680153369637,1.25,2.933155768157922,1.6156279077347557,1.573644991,1.8836356323385401,1.5767779625063811,1.8023120102097823,2.7444472170406673,2.0326196403897985,1.7739934692516413,2.3629701181795824,1.1276600636096072
2003-09-30,-0.30374632651486827,0.16296037091587773,-0.2723920952907316,4.2798,5.369984941284445,3.741348737303274,1.02,2.669848631710682,1.0475018238856821,1.498303419,1.791095042297689,1.3980874070034854,1.8246447548624434,2.7571692010995994,1.8271782352517179,1.5359545750688977,2.3056694155647235,1.0553766225222567
2003-12-31,-0.6528708108594843,0.1600516938890445,-0.2770794494341783,4.5544,5.722620213415234,4.528770519383307,1.0,2.9333586686075614,1.3095495994851514,1.590096877,1.873788066951081,1.455597063428292,1.0567540926322465,2.230083786483665,1.2991341286503078,1.4166329803448527,2.21659151282757,1.3328864289828162
2004-03-31,-0.49384034724034853,0.15741201602789845,-0.14431778246383642,4.135,5.037935651089743,4.342247665589374,1.0,2.851051298232823,1.5031843706277948,1.831154633,2.117710754534716,1.7339816535795178,1.0459762184996648,2.1788546781207336,1.4449842475616579,1.5593086692564448,2.153756893205573,1.6659738758559461
2004-06-30,-0.41494512670047384,0.15498728252674282,-0.19499759624907326,4.8834,5.477443074843449,4.8738246141404025,1.01,2.689773209484942,1.4588131716797323,2.022610153,2.2904242511758155,1.975892771501337,0.5688767096745496,1.601774952466604,0.9341040637601039,1.7913014490326988,2.1314551541542,1.7187188363424737
2004-09-30,-0.33006108314226223,0.15273507961435673,-0.2028090899688102,4.3677,4.705389166250273,4.372361962341311,1.43,2.8747602655607336,1.7855258231544255,1.922895116,2.1392577942559536,1.9191595823877754,0.03937366706679557,0.9282103001740468,0.3371006427567884,1.975588349150342,2.1176502761611875,1.9254168734245232
2004-12-31,-0.6555338397687704,0.1506221085143441,-0.2646875695828762,4.407,4.681980613158893,4.286258469457126,1.95,3.5129383127176013,2.4241300769763834,2.016944273,2.1667651830701606,2.0153506084010804,0.550853463774685,1.5801351052313763,0.9573891337964165,2.0619492227415726,2.123453782927876,1.8800611405783754
2005-03-31,-0.5727820275178813,0.14862221171051127,0.031872649718591384,4.6031,4.820051490723577,4.181598226666065,2.47,3.981889296605741,3.0661468280410005,2.176585679,2.2694867314268854,2.1334621927767135,0.31930921350008856,1.3531347386298331,0.8554425748630017,2.0523234799692447,2.0813885568448525,1.5948449305004846
