Date,RStar5Y_LB68,RStar5Y_LB95,RStar5Y_UB95,RStar5Y_UB68,RStar5Y_Mean,RStar10Y_Mean,Country
1960-03-31,1.2311677695889134,0.6630723988722411,2.9296077625072208,2.38305688927233,1.8085143998790256,1.9977008237232143,US
1960-06-30,1.5523011928417478,0.994772246029952,3.176341928841053,2.6771452324556906,2.1084070063727403,2.275634062575447,US
1960-09-30,1.4101549824451824,0.8645581464481753,2.9951932080097157,2.4974998443999588,1.9492057669137397,2.1576954300720166,US
1960-12-31,1.4655884447021548,0.9504514760767293,3.0355893225921315,2.5242801285376597,1.996943652462063,2.190237415813793,US
1961-03-31,1.5715775427770913,1.06609981303538,3.1022401269648427,2.604700119187645,2.0884352190136974,2.2652707674505352,US
1961-06-30,1.6108401982382639,1.1242702948853331,3.144040238891195,2.6420102108347607,2.1263226062442,2.271836788356171,US
1961-09-30,1.6841109616326295,1.190260889163576,3.1772673217645595,2.6996520177873156,2.1934802088149636,2.3114570942692065,US
1961-12-31,1.872107051720399,1.3598411978532285,3.375441319142189,2.8906928524733004,2.3815260078162157,2.459128254096536,US
1962-03-31,2.037772934976576,1.5617232904067342,3.5273817234227733,3.03889909928363,2.544112926191893,2.584106785697055,US
1962-06-30,2.025853547253482,1.534616640921673,3.498638482962746,3.024741844754181,2.5292729030284145,2.5793760349785435,US
1962-09-30,2.171144885903339,1.675404726193757,3.6247205893953467,3.1625704149894394,2.669224839995275,2.7025851795200984,US
1962-12-31,2.3321756592688305,1.8355550099490618,3.7763330568063784,3.3183798511047122,2.8239613483562955,2.8325776203231263,US
1963-03-31,2.346975141696868,1.8531725670443757,3.7990724315705213,3.3330144647882394,2.840996185677711,2.8286078995017196,US
1963-06-30,2.3429864860564202,1.8569348910056047,3.773802706713959,3.3207458526441567,2.8281639456787198,2.7984138551713844,US
1963-09-30,2.53945232653149,2.0865467951714636,3.9707025498179513,3.4989677332082425,3.020783663816744,2.9556209753677725,US
