g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,μ_sh,z_sh,λ_f_sh,λ_w_sh,rm_sh,σ_ω_sh,μ_e_sh,γ_sh,π_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6
-1.6044998172276924e-5,-2.4932574750371737e-5,0.0002316312486512964,1.455725037253081e-11,-0.0004082507585414864,2.425456962105259e-6,-4.203259861912136e-5,-7.543205605091342e-18,3.674623340757287e-18,3.568093974760076e-18,-0.00029053177525646434,0.0,0.0,3.2002771712807302e-18,0.0,0.000703491792424548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4570572696501502e-18,-2.30763257997846e-18,2.304854195606349e-18,5.571413574747131e-18,-4.7211724528608735e-18,-3.65435160653484e-19
-6.087604700253056e-6,-4.6868196518949225e-5,0.00014443358578537994,-4.072194919865378e-12,-0.0008069872047630617,1.5975334368548637e-6,-2.519638181448052e-5,-1.2533207037882312e-17,8.053039071678203e-18,3.2510887956781992e-18,-0.0002757705440351417,0.0,0.0,-2.3904701785301384e-18,0.0,0.0008709337463474805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1121987832121439e-19,-6.0693198050833094e-18,-4.8007769292883716e-18,7.989217732910001e-18,-9.28093868888182e-18,-7.351940204561334e-18
-9.301259348082127e-5,-4.55760057165906e-5,-0.0008438347028881378,-7.720120719004196e-12,-0.00033619375073017446,5.25935341077676e-6,-7.147095288852762e-6,-1.3138025830701919e-17,2.0680569208999026e-17,3.588878246936325e-18,-0.00014851157096468272,0.0,0.0,-3.776937599873858e-18,0.0,0.0010422272450523926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4878949239583146e-18,-6.6693234844922285e-18,-2.8614381292377936e-18,5.686213922802683e-18,-4.772528026583305e-18,-1.1908994323189375e-17
-0.00011172070377804154,-7.299391410406132e-5,-0.0012047466212875796,-1.964987900300774e-11,-0.00010118508151989277,7.5222272932947755e-6,9.137302517991328e-5,-1.837611250151308e-17,2.2620673714038315e-17,3.8027671974469606e-18,-0.00014369114665922474,0.0,0.0,-2.323523655513295e-18,0.0,0.0013922324319847938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.493392825482019e-18,-6.720255035971059e-19,1.2436999147361044e-18,-1.5975265998039409e-18,-3.1531845627982116e-18,-5.688743558830227e-18
-0.00016790980471824982,-5.9645940886545964e-5,-0.0009471823622318389,-1.5304009725920256e-11,-0.00025584049761177765,2.085183277868265e-6,0.00012648639480385092,-2.4668353470060575e-17,1.9027229276957428e-17,-5.136898840424632e-19,-7.14187251664187e-5,0.0,0.0,-8.698215035691308e-18,0.0,0.0020256403211035504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.594411428667369e-18,-3.2775852872500605e-18,5.315342122126136e-18,7.582324368607868e-18,-5.588718549727336e-18,-9.53989325920601e-18
-0.00011761569130946415,-4.51643251304467e-5,-0.00034362193026474117,5.111497959626774e-13,-0.00046159562003461206,7.203280958025747e-6,0.00016448267466831018,-2.104252954621262e-17,2.711098570109125e-17,-4.933611565581825e-19,3.5843596751249336e-5,0.0,0.0,-7.47453633497257e-19,0.0,0.002535695863376774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88938725592639e-18,-9.26910074614594e-18,2.9642452118238367e-18,2.295883787842686e-17,-4.089729498902285e-18,-1.1977452780544501e-17
-0.00018378143772571667,-1.1425311872959542e-5,-0.000123183136977218,1.1796475112238105e-11,-0.0002659551887940341,3.6375227062691743e-6,0.0002831752735565856,-1.2655069108016837e-17,2.5600022268292744e-17,-1.1125595664455656e-18,0.00015727852417965254,0.0,0.0,5.3021214292064375e-18,0.0,0.0026265080735630693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.627644277789551e-18,-1.1039294188038576e-17,5.010159190037984e-19,1.5134608751501388e-17,-3.201522767900926e-18,-1.5536989680562358e-17
-0.00019352811581825746,2.707845963703424e-5,-0.0005388622816331386,6.956686698330701e-12,4.4942376186174867e-5,5.312218033478739e-6,0.00028799237046083946,-1.8988776493332367e-17,2.776928997481167e-17,3.9108158209432554e-18,0.0004753807851158554,0.0,0.0,2.844016454352907e-18,0.0,0.002560291802182779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5331532103126475e-17,-1.0460369234956068e-17,8.530258366619877e-18,1.7492197933789044e-17,-7.197819853084745e-18,-1.475767203796267e-17
-0.00021390754029166907,-1.2820027609955525e-5,-0.0012189338415213287,-1.3704141289760599e-12,-0.00017260684876798667,4.517374260387965e-6,0.0003180791132430263,-2.381613804160781e-17,3.1899795614636085e-17,-2.9281697063570967e-18,0.0005870060743102175,0.0,0.0,6.048480434021569e-18,0.0,0.003155725520500993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9844264798043214e-18,-1.719233461159698e-17,1.1167954290287922e-17,1.990615290653471e-17,-7.12338241448723e-18,-6.78517803482478e-18
-0.00023141475296623102,-1.941365716777854e-5,-0.0011662648061931556,6.9199975282746665e-12,-0.0002380637986758583,-2.6999439082480115e-6,0.0002810945148130445,-1.6302248364645808e-17,2.527857645090676e-17,-3.4101284567509794e-19,0.00046027086603853926,0.0,0.0,9.143205698086283e-18,0.0,0.0038159283559856655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8429201487882324e-18,-1.8943216847146655e-17,1.2271271556025738e-17,2.147432758426755e-17,-1.0276192389432564e-17,-7.823502904280787e-18
-0.00017191217067476035,1.6268730163237402e-5,-0.0005252892374482468,1.2692891704029624e-11,5.283699312115987e-5,-4.365521234976269e-6,0.00036958026404509015,-1.96967184553018e-17,2.4681285168929513e-17,2.6591086039878064e-18,0.0006512506615273626,0.0,0.0,9.040006981375565e-18,0.0,0.003939558719609188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.299634273751319e-18,-2.3661497593412438e-17,1.3741120050327469e-17,2.3443852101949266e-17,-1.6823327327474422e-17,-8.120075125714876e-18
-0.00019318110583631514,-2.0149559450485493e-5,-2.05384584943979e-5,-2.0857338169993334e-12,0.0003760944715942869,-3.1396190719010684e-6,0.0004187846619067818,-1.981253093732843e-17,1.9793110987082035e-17,2.9055517075205773e-18,0.0006655000072856687,0.0,0.0,1.440713151596579e-17,0.0,0.003937361258953934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9061201499045484e-18,-2.3309961329187556e-17,1.2821077825213344e-17,1.8989734525767654e-17,-1.4801124418493405e-17,-5.482267718235272e-18
-0.00018083494244191923,8.867010157870904e-5,-0.0002210163948319515,5.550975032935212e-12,0.0005618514276424715,-2.4930304557019757e-6,0.00045733844332260476,-1.683558424309515e-17,8.26976506301383e-18,-5.494568832274106e-19,0.00035603676035964634,0.0,0.0,1.8118709695160666e-17,0.0,0.004320903513301418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.072905822808207e-18,-2.332171252238261e-17,1.1392390373549116e-17,1.506445163053246e-17,-1.6484858481593447e-17,-1.3573473706809201e-17
-0.00017429788861925334,0.0001547717013621591,-0.0001687080377520694,8.02487279312932e-12,0.0002385978003942589,-5.765426462663936e-6,0.00048101467762634657,-2.0193280342639925e-17,6.0858989035712844e-18,-8.891483629585607e-18,0.00041926500374215203,0.0,0.0,2.1744055324012858e-17,0.0,0.004162404947903344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0707949700107322e-17,-2.4369779055215475e-17,1.1718135054267537e-17,2.4527713840329452e-17,-1.3485764173478143e-17,-1.2900960557010878e-17
