date,BBB_sh,AAA_sh,detrendedMean,g,b_liq,b_safe,FF,z,p-mkp,w-mkp,pol,fg1,fg2,fg3,fg4,fg5,fg6,pi-LR,mu,me,zp,dt
2007-03-31,0.0,0.0,1.0118494208519815,-0.07648775293196598,-3.5584653382472085,4.102564456472008,0.044748748186738574,-0.0029725628237976523,-0.21869168878495876,-0.0027220045185761196,0.029628834479900903,0.0,0.0,0.0,0.0,0.0,0.0,0.044738319566274345,-0.20709565577875338,0.0,-0.03969827884914925,0.896302344078573
2007-06-30,0.0,0.0,1.2718494208519813,-0.07611858055458372,-3.7611289129105785,4.802734513912643,0.011308053375400603,-0.007585443043645989,-0.23081310224212118,-0.006859458203787559,-0.13343570783529057,0.0,0.0,0.0,0.0,0.0,0.0,0.04970117153866005,-0.1963934996055345,0.0,-0.06640402359672722,0.8868444100163764
2007-09-30,0.0,0.0,1.5918494208519816,-0.07803515742551381,-4.071508095727388,5.275498794275092,-0.022796586315814077,-0.005134176207937333,-0.1511640939699936,-0.01297164050841344,-0.04902398478626768,0.0,0.0,0.0,0.0,0.0,0.0,0.05847508601169498,-0.11243534208238316,0.0,-0.1165454177546301,0.8774900353423667
2007-12-31,0.0,0.0,1.701849420851981,-0.07706714603935293,-4.148340665495574,5.589644813947192,-0.027717229083867707,-0.0012603794759381132,-0.2152945022119666,-0.017173354354922885,-0.15636118500000112,0.0,0.0,0.0,0.0,0.0,0.0,0.05887608300554208,-0.02386345291350076,0.0,-0.14783149388405734,0.8682379323589715
2008-03-31,0.0,0.0,1.5418494208519817,-0.07802721427935447,-4.280084766758446,5.619693103170012,-0.10499126193509169,-0.013969475248449369,-0.15136243268700172,-0.022714738792180795,-0.2871530254911452,0.0,0.0,0.0,0.0,0.0,0.0,0.06543696024944078,0.11527469094982892,0.0,-0.17933925226781622,0.8590868339423613
2008-06-30,0.0,0.0,1.7218494208519814,-0.07792729745661497,-4.412126752119052,5.852117405699078,-0.11698438640432972,-0.01471824783312077,-0.21465885920700134,-0.0225462944854593,-0.07967130671920064,0.0,0.0,0.0,0.0,0.0,0.0,0.06600752646718906,0.14855656845586157,0.0,-0.25623442864154167,0.85003549309335
2008-09-30,0.0,0.0,1.8518494208519813,-0.07496868550892899,-4.570620142719436,5.996902645212513,-0.14390110487661673,-0.007330057363491796,-0.16061066912148314,-0.02819230258052384,-0.05506458537973802,0.0,0.0,0.0,0.0,0.0,0.0,0.0740022599716202,0.2854419306783365,0.0,-0.3048925499599535,0.8410826825006672
2008-12-31,0.0,0.0,1.2018494208519814,-0.07975164721287965,-5.351745612590418,5.1722269445907285,-0.2469409954426274,0.02044789904809864,-0.10347974409109176,-0.027416455093876944,0.011592544991359949,0.47460499776278176,0.00521033235239572,-0.012868962227829748,-0.0198118623143799,-0.018529595744626214,-0.02231161672861466,0.07943813363749795,0.8068067572454714,0.0,-0.3178488914493091,0.8322271941162244
2009-03-31,0.0,0.0,-1.0081505791480188,-0.08269115031433895,-5.6496074425907725,4.363847181563752,-0.28010486887092534,0.033305226289959675,-0.15204081303137157,-0.02394733709513027,-0.04967512078695875,-0.5182108999955791,-0.0492963461282296,-0.05823112659233558,-0.0617876875999399,-0.0561138275657558,-0.0665194031649347,0.07789534561489729,0.9559103211042554,0.0,-0.21435046874049404,0.8234678387420337
2009-06-30,0.0,0.0,-1.7581505791480185,-0.08401422761908414,-5.54333888281566,3.7818413516569214,-0.2040882524425506,0.007122812012040715,-0.175565459457903,-0.022845962394953342,-0.3526656650034531,-0.2877089864401976,-0.13061837394909603,-0.10707338683225406,-0.10726390659641868,-0.09825292759349954,-0.1137354587102067,0.07693965688048877,0.863474972306356,0.0,-0.07516132778502169,0.8148034456284255
