date;CNP16OV
1960-03-31;270148970
1960-06-30;270723130.011765
1960-09-30;271297290.023529
1960-12-31;271871450.035294
1961-03-31;272445610.047059
1961-06-30;273024064.176471
1961-09-30;273602733.011765
1961-12-31;274181401.847059
1962-03-31;274760070.682353
1962-06-30;275349454.4
1962-09-30;275939966
1962-12-31;276530477.6
1963-03-31;277120989.2
1963-06-30;277716909.694118
1963-09-30;278313731.670588
1963-12-31;278910553.647059
1964-03-31;279507375.623529
1964-06-30;280102514.2
1964-09-30;280697256.682353
1964-12-31;281291999.164706
1965-03-31;281886741.647059
1965-06-30;282455801.117647
1965-09-30;283016834.647059
1965-12-31;283577868.176471
1966-03-31;284138901.705882
1966-06-30;284652016.235294
1966-09-30;285145963.164706
1966-12-31;285639910.094118
1967-03-31;286133857.023529
1967-06-30;286612709.647059
1967-09-30;287084015.117647
1967-12-31;287555320.588235
1968-03-31;288026626.058824
1968-06-30;288507955.6
1968-09-30;288995453.8
1968-12-31;289482952
1969-03-31;289970450.2
1969-06-30;290413021.952941
1969-09-30;290821898.870588
1969-12-31;291230775.788235
1970-03-31;291639652.705882
1970-06-30;292051993.070588
1970-09-30;292467482.023529
1970-12-31;292882970.976471
1971-03-31;293298459.929412
1971-06-30;293752725.823529
1971-09-30;294249646.352941
1971-12-31;294746566.882353
1972-03-31;295243487.411765
1972-06-30;295727158.352941
1972-09-30;296193163.176471
1972-12-31;296659168
1973-03-31;297125172.823529
1973-06-30;297569086.635294
1973-09-30;297977102.552941
1973-12-31;298385118.470588
1974-03-31;298793134.388235
1974-06-30;299184686.964706
1974-09-30;299543312.858824
1974-12-31;299901938.752941
1975-03-31;300260564.647059
1975-06-30;300607615.270588
1975-09-30;300925727.717647
1975-12-31;301243840.164706
1976-03-31;301561952.611765
1976-06-30;301875937.705882
1976-09-30;302176715.270588
1976-12-31;302477492.835294
1977-03-31;302778270.4
1977-06-30;303080737.188235
1977-09-30;303390383.176471
1977-12-31;303700029.164706
1978-03-31;304009675.152941
1978-06-30;304319784.552941
1978-09-30;304632674.423529
1978-12-31;304945564.294118
1979-03-31;305258454.164706
1979-06-30;305573375.470588
1979-09-30;305907595.411765
1979-12-31;306241815.352941
1980-03-31;306576035.294118
1980-06-30;306908846.835294
1980-09-30;307213490.376471
1980-12-31;307518133.917647
1981-03-31;307822777.458823
1981-06-30;308127421
1981-09-30;308318571.4
1981-12-31;308509721.8
1982-03-31;308700872.2
1982-06-30;308892022.6
1982-09-30;309052261.470588
1982-12-31;309210954.764706
1983-03-31;309369648.058824
1983-06-30;309528341.352941
1983-09-30;309655890.964706
1983-12-31;309780162.294118
1984-03-31;309904433.623529
1984-06-30;310028704.952941
1984-09-30;310167418.211765
1984-12-31;310308538.458824
1985-03-31;310449658.705882
1985-06-30;310590778.952941
1985-09-30;310768672.8
1985-12-31;310955219.258823
1986-03-31;311141765.717647
1986-06-30;311328312.176471
