date,GDP,CNP16OV,GDPDEF,AWHNONAG,CE16OV,COMPNFB,PCEPILFE,DFF,PCE,FPI,BAA,BAMLC8A0C15PYEY,GS10,GDI
1959-03-31,510.33,114714.0,15.224,,63940.0,6.366,15.515,2.58,309.5,79.29,4.87,,3.99,510.145
1959-06-30,522.653,115139.0,15.248,,64772.0,6.42,15.598,3.08,315.5,82.093,4.95,,4.26,524.882
1959-09-30,525.034,115551.0,15.307,,64875.0,6.457,15.702,3.57,320.7,83.222,5.12,,4.5,522.572
1959-12-31,528.6,115918.0,15.367,,64927.0,6.519,15.792,3.99,322.9,82.404,5.27,,4.58,528.21
1960-03-31,542.648,116708.0,15.428,,65213.0,6.658,15.842,3.93,326.4,85.276,5.31,,4.49,542.125
1960-06-30,541.08,117037.0,15.467,,66061.0,6.702,15.902,3.7,332.2,83.872,5.25,,4.26,543.396
1960-09-30,545.604,117411.0,15.52,,66024.0,6.741,15.965,2.94,332.1,82.057,5.1,,3.83,545.291
1960-12-31,540.197,117824.0,15.566,,65840.0,6.769,16.017,2.3,334.0,81.775,5.1,,3.89,543.938
1961-03-31,545.018,118254.0,15.6,,65738.0,6.829,16.044,1.99,334.5,80.926,5.06,,3.79,546.222
1961-06-30,555.545,118636.0,15.636,,65605.0,6.925,16.097,1.73,339.5,82.316,5.02,,3.79,556.721
1961-09-30,567.664,119001.0,15.676,,65667.0,6.977,16.167,1.68,342.4,84.261,5.11,,3.98,567.148
1961-12-31,580.612,119190.0,15.725,,65967.0,7.028,16.206,2.4,349.6,86.935,5.11,,3.97,582.407
1962-03-31,594.013,119379.0,15.806,,66380.0,7.14,16.266,2.46,354.9,88.666,5.06,,4.02,592.505
1962-06-30,600.366,119819.0,15.832,,66577.0,7.188,16.328,2.61,360.5,91.262,5.01,,3.87,600.073
1962-09-30,609.027,120368.0,15.865,,66881.0,7.239,16.382,2.85,364.4,91.972,5.05,,3.99,607.427
1962-12-31,612.28,121046.0,15.898,,66969.0,7.304,16.413,2.92,370.6,91.604,4.96,,3.9,615.802
1963-03-31,621.672,121640.0,15.967,,67149.0,7.377,16.467,2.97,374.3,92.821,4.89,,3.89,623.85
1963-06-30,629.752,122167.0,15.995,,67635.0,7.414,16.529,2.96,378.4,96.814,4.85,,3.96,634.043
1963-09-30,644.444,122670.0,16.016,,67996.0,7.49,16.593,3.33,385.4,98.896,4.84,,4.03,643.45
1963-12-31,653.938,123189.0,16.146,,68258.0,7.576,16.673,3.45,390.0,102.125,4.84,,4.12,654.309
1964-03-31,669.822,123708.0,16.197,38.4,68614.0,7.552,16.744,3.46,399.6,105.35,4.83,,4.18,667.299
1964-06-30,678.674,124203.0,16.234,38.6,69402.0,7.636,16.793,3.49,407.5,106.062,4.85,,4.2,678.727
1964-09-30,692.031,124739.0,16.299,38.5,69480.0,7.737,16.84,3.46,416.4,107.939,4.82,,4.19,691.1
1964-12-31,697.319,125289.0,16.373,38.6,69710.0,7.793,16.883,3.58,419.0,109.968,4.81,,4.17,700.907
1965-03-31,717.79,125814.0,16.455,38.7,70188.0,7.826,16.947,3.98,429.7,114.998,4.79,,4.2,720.152
1965-06-30,730.191,126325.0,16.531,38.7,70897.0,7.878,16.999,4.08,436.6,118.484,4.82,,4.21,732.681
1965-09-30,749.323,126745.0,16.595,38.6,71369.0,7.962,17.052,4.08,445.8,121.945,4.89,,4.25,745.903
1965-12-31,771.857,127169.0,16.709,38.6,71827.0,8.08,17.109,4.17,459.8,126.168,4.97,,4.47,767.46
1966-03-31,795.734,127511.0,16.816,38.7,72173.0,8.221,17.194,4.56,470.1,130.328,5.17,,4.77,789.329
1966-06-30,804.981,127869.0,16.954,38.6,72594.0,8.352,17.334,4.91,475.2,131.185,5.49,,4.78,801.086
1966-09-30,819.638,128234.0,17.118,38.4,73088.0,8.472,17.477,5.41,484.3,131.342,5.87,,5.14,814.396
1966-12-31,833.302,128617.0,17.261,38.3,73657.0,8.585,17.628,5.56,490.1,129.351,6.14,,5.0,828.503
1967-03-31,844.17,129044.0,17.333,38.0,73572.0,8.701,17.725,4.82,494.3,127.388,5.88,,4.58,836.797
1967-06-30,848.983,129527.0,17.421,37.8,74001.0,8.841,17.844,3.99,503.4,131.154,5.98,,4.82,845.681
1967-09-30,865.233,130166.0,17.588,37.8,74714.0,8.961,18.006,3.89,510.7,133.571,6.33,,5.25,862.763
1967-12-31,881.439,130757.0,17.784,37.8,75216.0,9.083,18.188,4.17,518.2,139.22,6.72,,5.64,881.145
1968-03-31,909.387,131267.0,17.981,37.7,75103.0,9.327,18.395,4.79,536.3,143.85,6.83,,5.61,904.129
1968-06-30,934.344,131712.0,18.171,37.7,75950.0,9.478,18.609,5.98,550.0,144.862,7.02,,5.74,927.463
1968-09-30,950.825,132250.0,18.349,37.7,76101.0,9.633,18.817,5.95,566.1,148.003,6.86,,5.46,949.276
1968-12-31,968.03,132880.0,18.608,37.6,76499.0,9.824,19.036,5.92,574.9,154.754,7.03,,5.77,969.185
1969-03-31,993.337,133476.0,18.8,37.6,77166.0,9.958,19.244,6.57,587.0,160.899,7.38,,6.18,988.736
1969-06-30,1009.02,134020.0,19.039,37.6,77605.0,10.119,19.474,8.33,598.4,163.499,7.59,,6.35,1007.398
1969-09-30,1029.956,134595.0,19.307,37.5,78153.0,10.299,19.699,8.98,608.6,167.37,7.92,,6.86,1028.459
1969-12-31,1038.147,135247.0,19.556,37.5,78575.0,10.497,19.93,8.94,620.6,165.787,8.37,,7.3,1039.539
1970-03-31,1051.2,135950.0,19.832,37.3,78780.0,10.686,20.147,8.56,631.7,166.289,8.76,,7.37,1047.063
