date,GDP,CNP16OV,GDPDEF,AWHNONAG,CE16OV,COMPNFB,PCEPILFE,DFF,PCE,FPI,BAA,GS20,GS10,GS30,GDI,AAA,LTGOVTBD
1959-03-31,511.1,114714.0,17.169,,63940.0,7.573,17.611,2.58,309.9,79.3,4.87,3.97,3.99,,511.0,4.13,3.91
1959-06-30,524.2,115139.0,17.194,,64772.0,7.635,17.7,3.08,315.9,82.1,4.95,4.11,4.26,,525.7,4.35,4.06
1959-09-30,525.2,115551.0,17.258,,64875.0,7.68,17.816,3.57,321.1,83.2,5.12,4.2,4.5,,523.4,4.47,4.16
1959-12-31,529.3,115918.0,17.326,,64927.0,7.754,17.918,3.99,323.2,82.4,5.27,4.24,4.58,,529.1,4.57,4.17
1960-03-31,543.3,116708.0,17.397,,65213.0,7.921,17.976,3.93,326.7,85.3,5.31,4.28,4.49,,543.1,4.55,4.22
1960-06-30,542.7,117037.0,17.443,,66061.0,7.972,18.045,3.7,332.6,83.9,5.25,4.16,4.26,,544.3,4.45,4.11
1960-09-30,546.0,117411.0,17.506,,66024.0,8.02,18.118,2.94,332.5,82.1,5.1,3.87,3.83,,546.2,4.31,3.82
1960-12-31,541.1,117824.0,17.56,,65840.0,8.055,18.178,2.3,334.4,81.8,5.1,3.93,3.89,,544.9,4.32,3.91
1961-03-31,545.9,118254.0,17.598,,65738.0,8.126,18.209,1.99,335.0,80.9,5.06,3.85,3.79,,547.3,4.27,3.83
1961-06-30,557.4,118636.0,17.641,,65605.0,8.239,18.269,1.73,339.9,82.3,5.02,3.81,3.79,,557.9,4.28,3.8
1961-09-30,568.2,119001.0,17.687,,65667.0,8.301,18.35,1.68,342.9,84.3,5.11,4.0,3.98,,568.3,4.44,3.97
1961-12-31,581.6,119190.0,17.745,,65967.0,8.361,18.396,2.4,350.1,86.9,5.11,4.03,3.97,,583.7,4.41,4.01
1962-03-31,595.2,119379.0,17.837,,66380.0,8.495,18.465,2.46,355.4,88.7,5.06,4.09,4.02,,593.7,4.41,4.06
1962-06-30,602.6,119819.0,17.866,,66577.0,8.551,18.536,2.61,361.0,91.3,5.01,3.94,3.87,,601.3,4.3,3.89
1962-09-30,609.6,120368.0,17.903,,66881.0,8.611,18.595,2.85,364.9,92.0,5.05,4.02,3.99,,608.7,4.34,3.98
1962-12-31,613.1,121046.0,17.938,,66969.0,8.691,18.627,2.92,371.1,91.6,4.96,3.93,3.9,,617.1,4.26,3.88
1963-03-31,622.7,121640.0,18.017,,67149.0,8.777,18.688,2.97,374.7,92.8,4.89,3.96,3.89,,625.0,4.2,3.91
1963-06-30,631.8,122167.0,18.047,,67635.0,8.821,18.755,2.96,378.8,96.8,4.85,4.02,3.96,,635.2,4.22,3.98
