date,ant1,ant2,ant3,ant4,ant5,ant6,ant7,ant8,ant9,ant10,ant11,ant12,ant13
31-12-08,0.05,0.1,0.15,0.2,0.25,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-09,0.05,0.075,0.125,0.15,0.2,0.275,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-09,0.05,0.1,0.175,0.275,0.35,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-09,0.05,0.1,0.175,0.25,0.35,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-09,0.05,0.1,0.2,0.3,0.4,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-10,0.05,0.1,0.15,0.225,0.3,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-10,0.05,0.075,0.1,0.125,0.15,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-10,0.05,0.05,0.05,0.075,0.1,0.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-10,0.05,0.05,0.075,0.1,0.15,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-11,0.025,0.05,0.1,0.175,0.225,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-11,0.025,0.05,0.075,0.1,0.125,0.175,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-11,0.025,0.025,0.025,0.025,0.05,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-11,0.025,0.025,0.025,0.025,0.05,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-12,0.025,0.025,0.05,0.05,0.075,0.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-12,0.05,0.05,0.05,0.05,0.05,0.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-12,0.025,0.025,0.025,0.025,0.025,0.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-12,0.025,0.025,0.025,0.025,0.025,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-13,0.025,0.025,0.025,0.025,0.05,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-13,0.025,0.05,0.05,0.075,0.1,0.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-13,0.025,0.025,0.025,0.05,0.05,0.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-13,0.025,0.025,0.025,0.05,0.075,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-14,0.025,0.025,0.025,0.05,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-14,0.025,0.025,0.05,0.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-14,0.025,0.025,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-14,0.025,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-15,0.0325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-12-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-3-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-6-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-9-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
