date,g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,mu_sh,z_sh,lambda_f_sh,lambda_w_sh,rm_sh,sigma_omega_sh,mu_e_sh,gamma_sh,pi_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,dettrend,detrendedMean
2007-03-31,-0.08919481950760011,0.05142080999795319,-0.1455987517142829,1.2521599773487373,-0.18161361658688244,-0.05756042376055451,0.3688952138442685,-0.18640995202347538,-0.0903949481341621,-0.9743374909507841,0.5671047060225003,0.0,0.0,-0.11614360918180261,0.0,0.3172248203999754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14436461979369136,0.8599165355475842
2007-06-30,-0.06794748029393168,0.03877076070847556,-0.14476384118290395,1.3660890671748473,-0.19157885764579216,-0.04637311426060829,0.12833254426530144,0.0042945345286452,-0.03412152588859885,-0.485429065151685,0.48252771022273483,0.0,0.0,-0.11981991904112052,0.0,0.04323790837565225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14289689083754256,1.1161156126485627
2007-09-30,-0.13661840531568006,0.03556385352425068,-0.2493099548957661,1.5949179056581075,-0.19973628156987788,-0.05132129703874393,0.19956946228703182,-0.031872486473577155,-0.0070300181548969,-0.6108019644117261,0.42777902961585995,0.0,0.0,-0.11901044733919558,0.0,-0.0625311992717816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1414462691628503,0.9310444657768566
2007-12-31,-0.1258259142670684,0.07056863706190708,-0.39929735099197516,1.7896426947341997,-0.22891182548709046,-0.0734023403456408,0.1625994854811862,-0.08120232444795539,-0.04347809198092034,-1.1016007630217624,0.3505530005598721,0.0,0.0,-0.11480323684185982,0.0,-0.05637923986506725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1400125061999278,0.2884752367877539
2008-03-31,-0.15847746521089945,0.0358495221229215,-0.5898488676623395,1.4024737360543644,-0.296034849734249,-0.09325790129675265,0.2232094654978553,0.11349268916610433,-0.06815510734229713,-1.471630823688151,0.2314204361793732,0.0,0.0,-0.11012277261118977,0.0,-0.250454675876502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13859535804469797,-0.892941256357064
2008-06-30,-0.17850540831719403,0.05884924991557021,-0.6966601123902381,1.101667821964705,-0.3411798850289973,-0.11258645087941656,0.1345613003113066,0.13870618671600352,-0.0360422116469975,-1.6943968035683443,0.0968773642310806,0.0,0.0,-0.10684722227496181,0.0,-0.3566847931728861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13719458535179813,-1.855046378788573
2008-09-30,-0.05519524457367665,0.01713812206722929,-0.8300220627879629,0.4120893125855591,-0.400635046204023,-0.12538917456217227,0.11281837346238338,0.02078288184004201,-0.040390348411385224,-0.7921390347468757,-0.03296999768202505,0.0,0.0,-0.10241650932016433,0.0,-0.4003003539384993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13580995323043116,-2.08081912904114
2008-12-31,0.1988057329646084,-0.09707265259199797,-1.2858960595893005,-0.8870200686837828,-0.6546381199184697,-0.07443953447910694,0.5292721010943808,0.7317852925332946,-0.0773238711977915,-0.26154158911876607,-0.11294410191716066,0.0,0.0,-0.1051938325434664,0.0,-0.6740307693144303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13444123114288362,-2.6357962416191034
2009-03-31,0.23764631258497915,-0.08452925246967931,-1.454429846443618,-1.543994950768484,-0.7642585146105422,-0.08717325358148768,0.348285825302522,0.412171416634761,0.08158010110584413,0.9394813487471594,-0.28440679745165015,0.0,0.0,-0.10461506606115858,0.0,-0.7086875539079603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13308819280564152,-2.879842038113679
2009-06-30,0.19939527395390994,-0.03304171363365964,-1.3852387722736808,-1.5721321799508117,-0.7445779752782467,-0.14285973105224187,-0.020535499049256112,0.20266194851032582,-0.07575466066199465,1.3366835786793034,-0.5598964628006621,0.0,0.0,-0.09649809749967578,0.0,-0.446298203604047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13175061609303365,-3.2063418785677076
