date,g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,mu_sh,z_sh,lambda_f_sh,lambda_w_sh,rm_sh,sigma_omega_sh,mu_e_sh,gamma_sh,pi_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,dettrend,detrendedMean
2007-03-31,-0.06506133500065664,3.228794337314224e-17,-0.04193761027231532,2.7189150308042317e-12,-0.06672222314358232,-0.007768926918824763,0.01141801100523319,-6.0932781030227965e-15,-7.866435190884859e-15,7.7121544449938095e-16,-0.012759095498934205,0.0,0.0,-1.8062120118746747e-14,0.0,0.04986151368707598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05153537422384669,-0.08143429191547025
2007-06-30,-0.06113972756363438,3.192085787723941e-17,-0.05408711140304271,3.0748324046207253e-12,-0.05755319139855466,-0.008083937861911033,0.00946719757881314,-6.289455833185958e-15,-3.999104230164363e-15,7.131646884194792e-16,-0.01291131714139018,0.0,0.0,-1.7652232521325436e-14,0.0,-0.03513420503754381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05105768112934153,-0.16838461169487506
2007-09-30,-0.062112528552672075,3.8489306604493974e-17,-0.1258184004098617,3.826656532326115e-12,-0.061752329163118055,-0.006449783990839303,0.011348475739228633,-6.18699442417395e-15,-2.0102891543502972e-15,7.464175380760189e-16,-0.010838540334165338,0.0,0.0,-1.7296402161356526e-14,0.0,-0.06204391281482186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050584558918750334,-0.2670824606036979
2007-12-31,-0.06000095699952871,6.788399982534234e-17,-0.18145966768530333,4.181702607738422e-12,-0.07919824498455068,-0.005172509133415896,0.011295281705326024,-6.0006653747632666e-15,-2.8609044780183037e-15,8.532888030025309e-16,-0.008517323967535859,0.0,0.0,-1.678268380291931e-14,0.0,-0.05942400504377123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05011596171176084,-0.3323614643928625
2008-03-31,-0.06053058276786362,5.413140530128322e-17,-0.2522894319883618,2.043434612838541e-12,-0.1137048352644882,-0.005455637859853856,0.012671157079905286,-6.323581231955745e-15,-3.0834546706743522e-15,9.663251587001465e-16,-0.007176954998198639,0.0,0.0,-1.611314235125818e-14,0.0,-0.12250683693339866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04965184412956332,-0.4993412786006779
2008-06-30,-0.06095082741007007,7.924383276688078e-17,-0.2462655107056722,1.577418468766545e-12,-0.11591451050460327,-0.00489867357560538,0.011790114316865243,-6.478586925336581e-15,-6.425691303243487e-16,1.0756885980392e-15,-0.006274513394267756,0.0,0.0,-1.5426607091240137e-14,0.0,-0.1593419200706425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04919216128847801,-0.5326636800539624
2008-09-30,-0.05437897802753992,5.981511263659405e-17,-0.30265940115316203,-7.799470859933114e-13,-0.14181218015825262,-0.004987786333550741,0.011663051445095475,-6.315079481182935e-15,-1.3609292878211835e-16,9.78637117260863e-16,-0.005623517241266439,0.0,0.0,-1.4274269273669306e-14,0.0,-0.18051107887479675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487368687936831,-0.6295730215505901
2008-12-31,-0.039216332872461526,-6.927151532052002e-18,-0.5677914550442168,-4.962657752438399e-12,-0.29661180035606327,-0.010453307776411482,0.01806535213493954,-7.948270662863582e-15,-1.1952696139541293e-15,9.011878348597166e-16,0.00043989848878423117,0.0,0.0,-1.3831806807998072e-14,0.0,-0.27623326443480356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04828592273304117,-1.123514987132177
2009-03-31,-0.031031011579821563,-4.7979265466308275e-18,-0.47610773437013376,-4.945295979472887e-12,-0.25612271513547064,-0.002929065733024233,0.016490050463054132,-8.01131429872324e-15,8.230616914477692e-15,6.512724747192561e-16,0.004829741885351796,0.0,0.0,-1.3617048426865662e-14,0.0,-0.29847109079063294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04783927967102221,-0.9955025455946136
2009-06-30,-0.025293025618085652,1.0145144489729804e-17,-0.3814019928804947,-3.546666323626189e-12,-0.20979700583151586,-0.0006931394529946728,0.011914358046823694,-7.91807918853684e-15,1.4220444146906093e-15,4.851811679006756e-16,0.002872256087774169,0.0,0.0,-1.2545800584460882e-14,0.0,-0.23004364983210768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04739689664272131,-0.785045302841445
