date,50.0% LB,60.0% LB,70.0% LB,80.0% LB,90.0% LB,90.0% UB,80.0% UB,70.0% UB,60.0% UB,50.0% UB,mean
2009-09-30,1.6801494185154922,1.5184608682520484,1.2520780128205409,0.9424766900792085,0.598193079555106,4.271407084872602,3.771327645897202,3.5199747569139035,3.2769723559865875,3.109032499201772,2.405394582761229
2009-12-31,-1.5673529926161904,-1.8255940865624174,-2.2286379316950358,-2.6889366731762396,-3.6436370888137075,4.380713597086897,3.5426693041605595,2.896125687670466,2.2834923268549256,1.846994176373598,0.26937545194660945
2010-03-31,-1.39858310935761,-1.8108908716692318,-2.3362017597480875,-2.823095468990199,-3.8870428916762174,4.876905223285692,3.758076330927382,3.1759742694550694,2.657870235059689,2.3106233728294443,0.4292279411948528
2010-06-30,-1.4057266476487058,-1.7686510922057894,-2.0767689825638533,-2.618209871993966,-3.4431169386000398,4.725444900765069,3.819361584174067,3.080097797650641,2.465086617324153,2.0245527043632636,0.40091057687272097
2010-09-30,-1.7898517351471808,-2.2939960618927646,-2.733053041599504,-3.5412144992149592,-4.333765022054059,4.38168615681864,3.5380108063618825,2.952244725664845,2.2971305908654793,1.802551677901751,0.029193086238685752
2010-12-31,-1.4573663531578156,-1.876593248913838,-2.386304042732283,-2.9980797606032596,-3.9966791948373244,4.430753959523471,3.501086261766725,2.872273420319786,2.4487481209759254,1.9819022532426718,0.2343241740580624
2011-03-31,-1.4744221185301158,-1.8985651288860117,-2.3604167133831457,-3.0280144817777197,-3.893101491550201,4.204614680251288,3.246518272658354,2.7034134993277528,2.2946706051179846,1.874114720954729,0.1559675984900775
2011-06-30,-1.5709080542100058,-1.9863109605286433,-2.5026711373631354,-3.1023235955206805,-4.047112314268484,4.415542367493541,3.6146178805303726,3.048626624809076,2.431388552749792,2.0766146020992284,0.21102706212676936
2011-09-30,-1.3715696566803226,-1.823646060439642,-2.3627921965364536,-3.050241023785817,-3.905686098695134,4.4004458009299725,3.5780804445615315,2.923939659602027,2.3608920483968117,1.8908470767867172,0.22609064366826895
2011-12-31,-1.3269606639298135,-1.7129913192272272,-2.112970239793226,-2.778150084127405,-3.6278296780054258,4.608544902499648,3.7225083279636433,3.1527273117055965,2.626702494225757,2.169362069332033,0.4376014979984134
2012-03-31,-1.488869602493944,-1.850129421817378,-2.324747989778912,-2.9032541189743757,-4.034851695026381,4.584343437647255,3.8274431623548484,3.1066829543522765,2.6503806195292046,2.2403514748723152,0.34950822865565534
2012-06-30,-1.3393756220884396,-1.926888607741038,-2.5519225985246012,-3.0454243045241314,-3.902531912867496,4.532855610505299,3.621910937396928,3.09253162507006,2.675957880774421,2.1630576895824634,0.3042282349935813
2012-09-30,-1.5047912280361446,-1.888608856561795,-2.3350705945869272,-2.8614810993044872,-3.777784913278988,4.529068968280872,3.5978535354233214,2.915060514785613,2.327853733378525,1.9960997609986635,0.29403247404400357
2012-12-31,-1.2221637164736276,-1.7331759324483165,-2.203076237798352,-2.6414521236521527,-3.4231767163002798,4.720568867172253,3.6489569468189345,3.004314150552081,2.5329155061108235,2.1258146120947115,0.40433517119841234
2013-03-31,-1.1413146742145903,-1.637903603248337,-2.2171839718428323,-2.7959728443196368,-3.8988046728037187,4.729533683744045,3.806058609664613,3.156892084516439,2.6179112363167456,2.1785372241249825,0.5140323484350545
2013-06-30,-1.4202173188045504,-1.8745003589502742,-2.2688499134269624,-3.023347707430578,-4.183665948160467,4.6339132062518456,3.6936124911206294,3.0121415084876126,2.4686488257865076,2.0494586096057854,0.28308110918424567
2013-09-30,-1.5047683577544215,-1.845357870872012,-2.3508336008343593,-3.1360532825894305,-3.790788698315449,4.227499956816661,3.375673900504312,2.7823369088215655,2.2687665884887958,1.9100876763143613,0.18509329008373082
2013-12-31,-1.4940099983248176,-1.9559699763995761,-2.615273480532549,-3.162402159841504,-3.980728409252169,4.592321887914253,3.4783334630698857,2.811048418707921,2.4412554119046113,2.109041222109251,0.2377534203096038
2014-03-31,-1.5450148634980112,-1.9982403144308882,-2.564369663565572,-3.1092510021198874,-4.1938671223556865,4.558590257683814,3.4558781310412128,2.666445563113419,2.2200751481707464,1.8665250224367844,0.12674140812827303
2014-06-30,-1.305462547626141,-1.735126465306477,-2.324031796657078,-2.9649938857480493,-3.5793366986446924,4.717291942322053,3.7749903116514822,3.024346310586312,2.5941336459183457,2.0482832365166046,0.3674852056929361
2014-09-30,-1.45494983992072,-1.887430584040612,-2.487937311715473,-3.202754212094184,-4.15256000919142,4.4915952206408205,3.5636384111712047,2.9375544896850094,2.3890704395689397,1.9173851577728018,0.2494188164490957
2014-12-31,-1.4692070017219714,-1.9164033632602337,-2.414985760158832,-3.169067293477589,-4.184376342046086,4.403276414317741,3.6717350012033076,2.8500296582521942,2.3749876855073797,1.9251607368409303,0.2108022034046953
2015-03-31,-1.4371644301976725,-1.9271929701511858,-2.4936016943545463,-3.1044541088399007,-3.9580987690540996,4.333711224982855,3.561754637676513,3.028107085256376,2.5025002422827844,2.106635175194531,0.3283796285747868
2015-06-30,-1.535524123643401,-1.96871251758678,-2.5167993367495756,-3.040251172608747,-4.160275003356471,4.785276955264638,3.616839206263455,2.9697767885081654,2.481111973120476,2.053426878417413,0.24489315580113177
2015-09-30,-1.4448444747033469,-2.0504113054249835,-2.5063509412680993,-3.240618893901627,-4.190945432376712,4.520196908669077,3.7769487187878714,3.171735466103103,2.4142345391657525,1.8517001226506298,0.2167769639194555
