date,50.0% LB,60.0% LB,70.0% LB,80.0% LB,90.0% LB,90.0% UB,80.0% UB,70.0% UB,60.0% UB,50.0% UB,mean
2015-03-31,-1.2158837216412643,-1.9039984960232403,-2.9248995343521655,-4.017986652028204,-6.000769731666944,10.375730588923027,8.064859865811114,6.677146097684972,5.536606355758611,4.870193334757644,1.8648242338828134
2015-06-30,-0.821225024438943,-1.7127592275334669,-2.7085530925568424,-3.5704984060091483,-5.056422537429361,10.166275561998606,8.555008952151532,7.193259114466177,6.084609379246353,5.395737237219866,2.341417080567808
2015-09-30,-0.5535098236174152,-1.1943906051415265,-2.0578019661851688,-2.8813320595357683,-4.459276731849737,10.132813525226458,8.400932614471412,7.37627102839149,6.254538796119458,5.427792951307886,2.5197693160849615
2015-12-31,-0.4492256418194729,-1.3965337489577179,-2.113011746742466,-3.2618497682420644,-5.286531248464465,9.898661320409307,8.200501201172838,7.334480118286013,6.151945151356131,5.397701963526957,2.5349670741002317
2016-03-31,-0.8641608676373314,-1.5937823806805973,-2.736863340528539,-3.6408556189431063,-5.190953103926921,10.730134605752362,8.469056429942846,7.222555385876328,6.552108506833831,5.5361171502390505,2.40999231707082
2016-06-30,-0.6226803049295238,-1.3829009860131358,-2.291205853343725,-3.4634744365512504,-4.850877765514072,10.52848272696625,8.774024385859969,7.164672780944814,6.178156828804782,5.512917800785955,2.434101072872475
2016-09-30,-0.9070570898631947,-1.7432407882592482,-2.74431806518598,-3.6728322329791285,-5.209603924763728,11.015327591589209,9.120065285023603,7.435313827830581,6.40203987289234,5.509688170538585,2.48305100609683
2016-12-31,-0.6623408989869906,-1.380440214599632,-2.2002961825128287,-3.3457124492358825,-5.026197266109289,10.451787757291875,8.49847270036892,7.17075524633779,6.493378719326048,5.731563882657831,2.528291893886127
2017-03-31,-0.480597302076613,-1.3137088509291739,-2.3317735464702727,-3.5160711487035923,-4.859955035417007,11.156166146383594,10.093222572326033,8.47851697632609,7.3021511312143295,6.512238447162555,2.9249853445452256
2017-06-30,-0.4750180581238439,-1.0898078189281346,-1.9957645005814095,-2.968389055637155,-4.343061208112664,10.746517694606638,8.65081647012449,7.318461108803631,6.441660762089496,5.445456943785421,2.6321020302083658
2017-09-30,-0.870625551330273,-1.578784352802598,-2.3252975175061197,-3.3199451891083753,-4.791753923687736,9.760725203914888,8.09897105140951,7.06059420860552,6.1623686335736005,5.4011583172409505,2.307464164946348
2017-12-31,-0.7725362401130198,-1.6961384878025232,-2.68110517404454,-3.9342936258068617,-5.703302343370831,10.296374824128506,8.454884419948305,7.029987117329717,6.098592182813989,5.325781340787961,2.1995236011950823
2018-03-31,-0.9626089748638544,-1.6072506692212496,-2.6089146552365605,-3.6844059637258453,-5.478197746858305,10.234709404053977,8.405605236537305,7.154291097517729,6.405874811992862,5.67313457044889,2.310746966896648
2018-06-30,-0.5482252807543442,-1.2478231877885548,-2.1222930097248405,-2.9829356773098947,-4.277210496565475,10.046022991931093,8.397611362331126,6.970623658458197,6.090074931351341,5.253251322641561,2.4823355058457355
2018-09-30,-0.6328294014663172,-1.2873107742064405,-2.000503225359984,-3.3821050252135776,-5.278599087548108,10.151277397923764,8.713978387532894,7.602507958627602,6.4471608504759415,5.8071316176622645,2.5896555096497225
2018-12-31,-1.0142833882473612,-1.7667343563471105,-2.699408683396942,-3.609972632032521,-4.949105684555855,10.324486324264992,8.298109927248,7.082023573972429,6.078110945791448,5.379934325837832,2.252311319130113
2019-03-31,-0.9681711575777907,-1.8062573089150047,-2.394515145928855,-3.3368035513638428,-5.0717677510186405,10.274669397294712,8.766478556029945,7.327524248934303,6.124186021727351,5.27867079715838,2.239876995295414
2019-06-30,-1.09317029758631,-1.9318341623005386,-2.772179925524676,-3.832601101047395,-5.4514426153679185,10.324387908257782,8.423419730449044,7.02660887593225,5.996796172221064,5.216015038084043,2.0774287840245473
2019-09-30,-1.038815783489766,-1.7707939281606078,-2.8124113238127024,-3.8631704130214994,-5.445072521371397,10.363596353647386,8.838528505940936,7.366936963546333,6.431894412734507,5.7188360425899365,2.280146449095829
2019-12-31,-0.9266502945514898,-1.7194006626845004,-2.7053803630419093,-3.8890421977969436,-5.141486011026119,10.248646481645697,8.296427218221837,7.139000744420798,6.271391605647225,5.288319831686006,2.2238698611823797
2020-03-31,-0.6471492631892617,-1.6561549686007093,-2.466171574140441,-3.3236234819785437,-4.73947966414916,9.648202079271396,7.8747445624862245,7.204809314888072,6.103316192170283,5.445129925532366,2.423444863112612
2020-06-30,-0.9763504127981992,-1.650617732416071,-2.3716119268800684,-3.4021990337415486,-5.238299088279252,9.823572843195594,8.163722647243986,7.144888840168839,6.2204846681622294,5.281555173202235,2.190209539178442
2020-09-30,-0.7571897840407793,-1.4158136201400606,-2.776709083984563,-3.9112666160723064,-5.612681490426075,9.898407621515082,8.304572744267835,7.156449101829154,6.301951962705488,5.6178785911725315,2.3660821374986405
2020-12-31,-0.7859984281537447,-1.6485040364395354,-2.81274421454355,-3.853643681402541,-5.288148408553528,10.037347922122052,8.507762890763226,7.0876386099252064,6.065733774393189,5.154332651298765,2.2660400296661423
2021-03-31,-1.2143893674313455,-2.0147978138344236,-2.9070694998798774,-3.8280633281747245,-5.473486637198233,9.246541622025251,8.126525888987569,6.837127101764562,5.923908641708642,5.1926441980200355,2.0478997405891177
2021-06-30,-0.7907990798759257,-1.5158256915860702,-2.2688492770297275,-3.6959058276285095,-4.758057805484017,9.740234884370924,8.22000256959372,6.9836006486617475,6.060452002971117,5.143452378274094,2.1724420257302977
