date,50.0% LB,60.0% LB,70.0% LB,80.0% LB,90.0% LB,90.0% UB,80.0% UB,70.0% UB,60.0% UB,50.0% UB,mean
2012-06-30,1.5263946099835835,1.407346700261125,1.2128324204863317,1.0163632470955308,0.5692153661569721,3.7818622432120197,3.4474910478883514,3.203600650651617,3.0547648949380113,2.8332590157968296,2.1702441638089334
2012-09-30,1.1018727230251102,0.914343579134691,0.6590326017922532,0.3418052078739908,-0.21035933421370556,4.3417831033128795,3.7882467391038066,3.488906667693059,3.231582769864616,2.979782772615902,2.039498564776474
2012-12-31,0.8578808733079812,0.604668845288403,0.2131986436942901,-0.10484268142965103,-0.4865034733723017,4.649717728632163,4.008338270968204,3.6530765821480626,3.3126933498527578,2.9873127586820036,1.966740938001029
2013-03-31,0.681200246691871,0.414148143831361,0.09540579002020877,-0.390171401730377,-1.0555900283849784,4.977181250048313,4.401646690396266,3.812906387269499,3.4903715219810616,3.1213389389047164,1.9225325641319844
2013-06-30,0.5346623560516184,0.16975771476164248,-0.23294633570225542,-0.7317541501282165,-1.2607329990083849,5.244174952401237,4.333326467410492,3.8700723219583066,3.5445413660621927,3.30021126177531,1.901890547806076
2013-09-30,0.41086261908027666,0.032622706468798945,-0.42275665453130884,-0.738024274707505,-1.4660997070581439,5.388670010654284,4.4042532853130645,4.043359948303471,3.607259789371575,3.2930497637922995,1.8568066920097959
2013-12-31,0.3893234737909035,0.05388191426558553,-0.4026419872806608,-0.8513826399255908,-1.642622735918664,5.443852018350648,4.653621971042243,4.241447409700827,3.8308770991799745,3.4049785988515158,1.8497301894853209
2014-03-31,0.26952063541534343,-0.0530871667828281,-0.32197923235832704,-1.0078873697370594,-2.041934768238951,5.311724423326614,4.6870398853350315,4.1512066906916445,3.7562556474620035,3.4006340695530657,1.80898485533157
2014-06-30,0.16950573904412902,-0.08612604028862547,-0.6792285109085694,-1.3503213283008964,-2.3487965354407336,5.6649751779158874,4.830789880914366,4.372439053156096,3.920179403287083,3.424406870820129,1.7632643439020352
2014-09-30,0.10720050868058273,-0.29655723439168113,-0.9081331472496346,-1.5602136491895902,-2.5297191755414783,5.802736721326718,4.8730288370783414,4.436086143693974,3.8613990057809966,3.422021206784387,1.7227177704091505
2014-12-31,-0.017525469306467478,-0.46794006506138963,-0.9962281009131213,-1.515413897601381,-2.6337617399232682,5.918709609501294,5.152912697619438,4.454468762601471,3.9724175544154416,3.6020172028693676,1.764420250377296
2015-03-31,-0.06429934632096179,-0.4480703212307757,-1.00707911320842,-1.5358696449768172,-2.5995764153639023,6.3186720337180535,5.362748373264181,4.637347251220492,4.1133989186216136,3.704044208315005,1.804992031581327
2015-06-30,0.13752637217494534,-0.3877325681783894,-0.9037076302146674,-1.6440249435214604,-2.6139397717495405,6.496085163119192,5.326352108083898,4.654245268392998,4.092775512114444,3.6761876079804523,1.8373287667270515
2015-09-30,0.05644461627400954,-0.43739597276637454,-0.9213694450956877,-1.7386552730768168,-2.453032239945574,6.3931857075749665,5.294154029141351,4.588603742598818,4.124569402093292,3.697744092434485,1.8639199561342885
2015-12-31,0.10300421370521562,-0.43049635764109695,-0.8296028640418562,-1.608433638030493,-2.5867244098053632,6.333054445652642,5.38262120648465,4.824878706997193,4.167943276027608,3.674430400340367,1.8489127756283736
2016-03-31,0.05802803155861014,-0.4014556774958211,-0.9548081116318774,-1.7205686124566744,-2.70560755610344,6.67269003061306,5.529349373503778,4.758669031931162,4.251980772002839,3.6791607103949353,1.8732999025039445
2016-06-30,-0.025852673209114663,-0.5317294867228872,-1.1826621028192208,-1.8169994238941722,-2.9953813763211268,6.734150680229423,5.732126666369419,4.911432921033887,4.3726665058086756,3.7905317665142713,1.8524837511165495
2016-09-30,-0.04203597707767015,-0.4774070905128158,-1.2258673659199082,-2.0323265431155813,-2.8605321188962196,6.909370473921328,5.920495164199502,5.03591138822872,4.373747119916982,3.8973522289573292,1.901352067161225
2016-12-31,-0.15936246603227566,-0.5982442913759822,-1.2466481428599407,-1.9984208134301018,-2.844932518188825,6.8046955284359445,5.937677493096838,5.163977411546861,4.602658069356247,3.9410671404568554,1.8862848852806757
2017-03-31,-0.21632287702729736,-0.6201284963799125,-1.2142283458600023,-2.006273707314443,-3.131839512378942,6.918836762610958,5.793199791536163,5.150397502288229,4.483940957397681,3.9487087910008656,1.9084473175799488
2017-06-30,-0.05770220196562592,-0.7120927572458191,-1.2795206905734213,-2.0444448993679476,-2.985138524686104,7.1378791592141555,5.922636528189251,5.149827920774852,4.611257233174126,4.148507859098505,1.9505418621497645
2017-09-30,-0.25095533732522046,-0.7661258047280572,-1.4434389132535141,-2.029116940431208,-3.023233245222079,7.307203500516346,6.008839204134797,5.169771038191806,4.572069754436803,4.049900366390258,1.9672443627186846
2017-12-31,-0.1908473133942934,-0.8188438401297016,-1.358054484671778,-2.0206636041411596,-3.0661249524597145,7.203581570373219,6.0318248105902805,5.0742930846521705,4.4855274794153965,4.031642651131939,1.9675122836134082
2018-03-31,-0.17725480781108915,-0.7413819264696753,-1.3994906879427726,-2.0974942066882774,-3.1194405098690425,7.385988673549826,5.876097261646729,5.184467830268358,4.565161260449124,4.021291953015749,1.9901916757014961
2018-06-30,-0.26288744533209396,-0.7543669572968037,-1.4152644268359493,-2.1926400524772793,-3.219501959345028,7.2012141701536025,6.188281543093788,5.460644443080143,4.778192214316301,4.240735486663905,2.0128271196184047
