date,50.0% LB,60.0% LB,70.0% LB,80.0% LB,90.0% LB,90.0% UB,80.0% UB,70.0% UB,60.0% UB,50.0% UB,mean
2001-06-30,3.007601386297025,2.95694276361566,2.860898963860894,2.7173961766355763,2.569040906717395,4.142721749293905,3.946781625646704,3.821565572832336,3.732404225289066,3.649366631716029,3.327171348749608
2001-09-30,1.9469829911775067,1.8757743904537683,1.7745589612395118,1.6368619973741945,1.4095125181649704,3.3211236469339678,3.113541837354676,2.953112428679945,2.8128364870783114,2.7215840424419566,2.347511264922282
2001-12-31,1.1892142119622533,1.0867296439169238,0.9417724999258272,0.7654890434035893,0.5254797786146499,2.759702943070729,2.4891277269501133,2.317553468125138,2.1906539386969444,2.080880708592304,1.639205161451459
2002-03-31,1.927106779241785,1.7976472156648238,1.6687530539073143,1.5161630994980082,1.2800784937624692,3.646047975299911,3.289997232462205,3.11896244446185,2.9708537699404483,2.82676518756354,2.387501832369866
2002-06-30,1.7926579666386693,1.6605446306912026,1.5262390076509909,1.337385143941285,1.0963796846959002,3.582706003888145,3.3391260249536123,3.1599327434586515,2.9819558012642835,2.8425559782059766,2.321435241619735
2002-09-30,1.3059994362006133,1.137823121130125,0.9463584805193621,0.738622366670612,0.39529699572864807,3.330684709672372,3.0413452435723425,2.792562470968286,2.614542260838574,2.4604889147530864,1.866681951404563
2002-12-31,1.0714482248812955,0.8338615665837721,0.5451169610736271,0.29610033969899385,-0.10562877373940882,4.059523359002765,3.5707615802638566,3.2755263438514723,3.013188129462023,2.7248709323567226,1.9006127791651344
2003-03-31,0.8561203883811892,0.6228092200024249,0.33659260587536854,0.017530655137276696,-0.5136433047422608,4.3226237967409435,3.915310849043331,3.511303622004249,3.189711027764135,2.979846734281449,1.9110824645563438
2003-06-30,0.8552557799055016,0.5514047328215033,0.18264937136741022,-0.17615779107625285,-0.8870974423707558,4.95978850131087,4.227635179213841,3.792111040143533,3.3383329852488517,3.0432356299382595,1.9560425903184895
2003-09-30,0.6798841919898608,0.30456065013416955,-0.038379486739315904,-0.5289522286718311,-1.132848151285776,5.291415623999542,4.660774013441304,4.078306437880016,3.651618402895672,3.241973598194584,1.9782724962250142
2003-12-31,0.5110699902112334,0.1902092414769676,-0.19255124959296843,-0.6989816462502656,-1.5322870176151149,5.583336984942353,4.7865986398189335,4.17779307571126,3.6616579059924645,3.3016119968272273,1.9506545936744015
2004-03-31,0.43465789435797175,0.07484753872268435,-0.40982932557074747,-0.8572534602309432,-1.7148165546097758,5.7887744661374185,4.942391155098101,4.3428323283736905,3.799540282664246,3.4845584933051836,1.9642939282560088
2004-06-30,0.3463828092040191,-0.07545677499296399,-0.38412679003654837,-0.9168244563382428,-1.9188628695081178,5.893504902314328,5.059652805836882,4.400277064250843,3.9388033461161287,3.496276404392777,1.9573564206835057
2004-09-30,0.3821962787461146,-0.08373826170583243,-0.5622812152258758,-1.1486700041251403,-2.1136369130587704,6.022575693117749,5.018357236974108,4.474222029103777,3.9567206412929585,3.594716219439501,1.9557316861840914
2004-12-31,0.22866337010489968,-0.2182459586898533,-0.6686153222634585,-1.188182615508289,-2.1776496882680494,6.641485454213717,5.153069213073297,4.586302613603256,4.159788355402501,3.762102529784248,2.0216802234636457
2005-03-31,0.2767401219477499,-0.20354867903583074,-0.6540739151704038,-1.2843078138321005,-2.2232480302258875,6.353131186579388,5.359767305391818,4.702721688093781,4.265943138573496,3.8151958370495347,2.0844935945966983
2005-06-30,0.37041365804815474,-0.12900142161524908,-0.710350635776809,-1.3908443127789063,-2.2862280458645143,6.450876612253703,5.657600351830192,4.945054701791072,4.536279116820033,4.077622776691274,2.152272709308735
2005-09-30,0.3494590763183285,-0.18918552476444717,-0.77264481178696,-1.3768845845801012,-2.387184165954361,6.839737508194103,5.767262453219232,5.203164574773623,4.6102087424182825,4.065756790982228,2.169395871081201
2005-12-31,0.2606852549264529,-0.19447136451174263,-0.6787416208541037,-1.488838735603088,-2.545780622727867,6.914437907142764,6.07405100168501,5.219699785691312,4.711306858676838,4.225080389842321,2.1935334793217374
2006-03-31,0.27430535357561103,-0.241575628157233,-0.8547535558716053,-1.6263563357570687,-2.71609248398979,7.0390898947755085,6.082331104331665,5.363628225337349,4.842098181175214,4.27872561257964,2.212768938833285
2006-06-30,0.28429493806373296,-0.18812653805457824,-0.8973015768619161,-1.7516609978562947,-2.6527833528279565,7.120960239197812,6.106079998893561,5.419398532316517,4.911855761813136,4.348004129899083,2.248636659689511
2006-09-30,0.1770148904634623,-0.36943023250012796,-0.8796765914788729,-1.7760454677330317,-2.79578154046179,7.327872687361636,6.288731624458314,5.61780308739762,4.874387755295194,4.4309356202519,2.2542976354593525
2006-12-31,0.1433999521908751,-0.3306710843783458,-0.8692545230220619,-1.840034227270186,-2.994732824211842,7.460026163055916,6.484351912908161,5.431025085520052,4.878918931354809,4.4269288023515525,2.2608560707448886
2007-03-31,0.20441036469658203,-0.3604323267040517,-1.1174904748597925,-1.8757298061400371,-3.1893409725922854,7.530668321806787,6.3644792107801,5.560874444785181,5.0369423411708345,4.443253635653919,2.2686607947654736
2007-06-30,0.19659112615812413,-0.3352859126363734,-1.001807532112828,-1.9322497453903154,-3.4357500730789354,7.896088099674104,6.488573510305121,5.737604043584128,4.916362318512322,4.3909504811850075,2.2751445625649835
2007-09-30,0.3153851244035075,-0.506186342006071,-1.241985186445211,-1.8697711582084144,-3.145238250456843,7.884818461022355,6.807660703654085,5.843206015326929,4.893330022028752,4.43383843405766,2.351651362958828
