DATE,PCEPILFE
1959-01-01,15.5150000000000000
1959-04-01,15.5980000000000000
1959-07-01,15.7023333333333333
1959-10-01,15.7923333333333333
1960-01-01,15.8423333333333333
1960-04-01,15.9023333333333333
1960-07-01,15.9646666666666667
1960-10-01,16.0170000000000000
1961-01-01,16.0443333333333333
1961-04-01,16.0970000000000000
1961-07-01,16.1670000000000000
1961-10-01,16.2056666666666667
1962-01-01,16.2656666666666667
1962-04-01,16.3283333333333333
1962-07-01,16.3820000000000000
1962-10-01,16.4126666666666667
1963-01-01,16.4670000000000000
1963-04-01,16.5293333333333333
1963-07-01,16.5930000000000000
1963-10-01,16.6730000000000000
1964-01-01,16.7436666666666667
1964-04-01,16.7933333333333333
1964-07-01,16.8400000000000000
1964-10-01,16.8830000000000000
1965-01-01,16.9466666666666667
1965-04-01,16.9993333333333333
1965-07-01,17.0520000000000000
1965-10-01,17.1086666666666667
1966-01-01,17.1943333333333333
1966-04-01,17.3343333333333333
1966-07-01,17.4773333333333333
1966-10-01,17.6283333333333333
1967-01-01,17.7253333333333333
1967-04-01,17.8440000000000000
1967-07-01,18.0060000000000000
1967-10-01,18.1876666666666667
1968-01-01,18.3950000000000000
1968-04-01,18.6090000000000000
1968-07-01,18.8170000000000000
1968-10-01,19.0360000000000000
1969-01-01,19.2440000000000000
1969-04-01,19.4743333333333333
1969-07-01,19.6990000000000000
1969-10-01,19.9303333333333333
1970-01-01,20.1473333333333333
1970-04-01,20.3753333333333333
1970-07-01,20.6020000000000000
1970-10-01,20.8913333333333333
1971-01-01,21.1560000000000000
1971-04-01,21.3973333333333333
1971-07-01,21.5990000000000000
1971-10-01,21.7223333333333333
1972-01-01,21.9306666666666667
1972-04-01,22.0790000000000000
1972-07-01,22.2450000000000000
1972-10-01,22.3846666666666667
1973-01-01,22.5406666666666667
1973-04-01,22.8476666666666667
1973-07-01,23.1513333333333333
1973-10-01,23.4736666666666667
1974-01-01,23.8766666666666667
1974-04-01,24.4700000000000000
1974-07-01,25.1693333333333333
1974-10-01,25.7843333333333333
1975-01-01,26.2880000000000000
1975-04-01,26.6886666666666667
1975-07-01,27.0890000000000000
1975-10-01,27.5303333333333333
1976-01-01,27.9486666666666667
1976-04-01,28.2840000000000000
1976-07-01,28.7270000000000000
1976-10-01,29.1766666666666667
1977-01-01,29.6676666666666667
1977-04-01,30.1210000000000000
1977-07-01,30.6220000000000000
1977-10-01,31.0670000000000000
1978-01-01,31.5516666666666667
1978-04-01,32.0960000000000000
1978-07-01,32.6466666666666667
1978-10-01,33.2326666666666667
1979-01-01,33.6866666666666667
1979-04-01,34.4273333333333333
1979-07-01,35.0626666666666667
1979-10-01,35.7940000000000000
1980-01-01,36.6696666666666667
1980-04-01,37.4900000000000000
1980-07-01,38.3246666666666667
1980-10-01,39.2583333333333333
1981-01-01,40.1293333333333333
1981-04-01,40.8876666666666667
1981-07-01,41.6406666666666667
1981-10-01,42.3813333333333333
1982-01-01,43.0016666666666667
1982-04-01,43.5833333333333333
1982-07-01,44.2820000000000000
1982-10-01,44.8986666666666667
1983-01-01,45.4883333333333333
1983-04-01,45.8363333333333333
1983-07-01,46.5330000000000000
1983-10-01,46.9053333333333333
1984-01-01,47.3790000000000000
1984-04-01,47.9336666666666667
1984-07-01,48.3836666666666667
1984-10-01,48.7280000000000000
1985-01-01,49.3926666666666667
1985-04-01,49.8210000000000000
1985-07-01,50.3326666666666667
1985-10-01,50.6936666666666667
1986-01-01,51.2410000000000000
1986-04-01,51.5923333333333333
1986-07-01,51.9466666666666667
1986-10-01,52.3696666666666667
1987-01-01,52.7013333333333333
1987-04-01,53.2130000000000000
1987-07-01,53.6896666666666667
1987-10-01,54.2353333333333333
1988-01-01,54.7586666666666667
1988-04-01,55.4223333333333333
1988-07-01,56.0606666666666667
1988-10-01,56.6870000000000000
1989-01-01,57.3056666666666667
1989-04-01,57.8270000000000000
1989-07-01,58.2573333333333333
1989-10-01,58.7906666666666667
1990-01-01,59.4676666666666667
1990-04-01,60.1320000000000000
1990-07-01,60.7396666666666667
1990-10-01,61.2496666666666667
1991-01-01,61.7933333333333333
1991-04-01,62.2696666666666667
1991-07-01,62.8303333333333333
1991-10-01,63.3246666666666667
1992-01-01,63.8093333333333333
1992-04-01,64.2596666666666667
1992-07-01,64.6403333333333333
1992-10-01,65.1140000000000000
1993-01-01,65.5630000000000000
1993-04-01,66.0606666666666667
1993-07-01,66.4300000000000000
1993-10-01,66.7716666666666667
1994-01-01,67.0746666666666667
1994-04-01,67.5260000000000000
1994-07-01,67.9030000000000000
1994-10-01,68.2480000000000000
1995-01-01,68.6056666666666667
1995-04-01,69.0130000000000000
1995-07-01,69.3420000000000000
1995-10-01,69.6896666666666667
1996-01-01,69.9636666666666667
1996-04-01,70.2963333333333333
1996-07-01,70.6170000000000000
1996-10-01,71.0190000000000000
1997-01-01,71.2980000000000000
1997-04-01,71.6700000000000000
1997-07-01,71.8373333333333333
1997-10-01,72.0646666666666667
1998-01-01,72.2770000000000000
1998-04-01,72.4983333333333333
1998-07-01,72.7556666666666667
1998-10-01,72.9876666666666667
1999-01-01,73.1706666666666667
1999-04-01,73.4246666666666667
1999-07-01,73.6950000000000000
1999-10-01,74.0416666666666667
2000-01-01,74.4296666666666667
2000-04-01,74.6893333333333333
2000-07-01,75.0496666666666667
2000-10-01,75.4213333333333333
2001-01-01,75.9116666666666667
2001-04-01,76.1986666666666667
2001-07-01,76.3953333333333333
2001-10-01,76.7640000000000000
2002-01-01,76.9996666666666667
2002-04-01,77.4233333333333333
