DATE,DAAA
1983-01-01,11.8341269841269841
1983-04-01,11.5773015873015873
1983-07-01,12.3506250000000000
1983-10-01,12.4107936507936508
1984-01-01,12.2934920634920635
1984-04-01,13.2209523809523810
1984-07-01,12.9963492063492063
1984-10-01,12.3628125000000000
1985-01-01,12.2569354838709677
1985-04-01,11.6426984126984127
1985-07-01,11.0253125000000000
1985-10-01,10.5893750000000000
1986-01-01,9.5852459016393443
1986-04-01,8.9998437500000000
1986-07-01,8.8298437500000000
1986-10-01,8.6820312500000000
1987-01-01,8.3685483870967742
1987-04-01,9.1660317460317460
1987-07-01,9.7495312500000000
1987-10-01,10.2215625000000000
1988-01-01,9.5468253968253968
1988-04-01,9.8130158730158730
1988-07-01,9.9696875000000000
1988-10-01,9.5066666666666667
1989-01-01,9.6901612903225806
1989-04-01,9.4771875000000000
1989-07-01,8.9646031746031746
1989-10-01,8.8900000000000000
1990-01-01,9.1920634920634921
1990-04-01,9.3950793650793651
1990-07-01,9.3998412698412698
1990-10-01,9.3060937500000000
1991-01-01,8.9385245901639344
1991-04-01,8.9039062500000000
1991-07-01,8.7915625000000000
1991-10-01,8.4478125000000000
1992-01-01,8.2782539682539683
1992-04-01,8.2753968253968254
1992-07-01,7.9804687500000000
1992-10-01,8.0187500000000000
1993-01-01,7.7258064516129032
1993-04-01,7.4038095238095238
1993-07-01,6.8920312500000000
1993-10-01,6.8446875000000000
1994-01-01,7.1744444444444444
1994-04-01,7.9487096774193548
1994-07-01,8.1731250000000000
1994-10-01,8.5704761904761905
1995-01-01,8.2749206349206349
1995-04-01,7.6419047619047619
1995-07-01,7.4376190476190476
1995-10-01,6.9917460317460317
1996-01-01,7.0439682539682540
1996-04-01,7.6087500000000000
1996-07-01,7.5860937500000000
1996-10-01,7.2401612903225806
1997-01-01,7.4293442622950820
1997-04-01,7.5764062500000000
1997-07-01,7.1695312500000000
1997-10-01,6.8787096774193548
1998-01-01,6.6698360655737705
1998-04-01,6.6384126984126984
1998-07-01,6.4934375000000000
1998-10-01,6.3295161290322581
1999-01-01,6.4322950819672131
1999-04-01,6.9345312500000000
1999-07-01,7.3285937500000000
1999-10-01,7.4858730158730159
2000-01-01,7.7115873015873016
2000-04-01,7.7725396825396825
2000-07-01,7.6025396825396825
2000-10-01,7.4079032258064516
2001-01-01,7.0743548387096774
2001-04-01,7.2239682539682540
2001-07-01,7.1022950819672131
2001-10-01,6.9281967213114754
2002-01-01,6.6225000000000000
2002-04-01,6.7168750000000000
2002-07-01,6.3571875000000000
2002-10-01,6.2806451612903226
2003-01-01,6.0052459016393443
2003-04-01,5.3093650793650794
2003-07-01,5.6928125000000000
2003-10-01,5.6556451612903226
2004-01-01,5.4470967741935484
2004-04-01,5.9259677419354839
2004-07-01,5.6434375000000000
2004-10-01,5.4838709677419355
2005-01-01,5.3242622950819672
2005-04-01,5.1435937500000000
2005-07-01,5.0932812500000000
2005-10-01,5.3763934426229508
2006-01-01,5.3964516129032258
2006-04-01,5.8974603174603175
2006-07-01,5.6807936507936508
2006-10-01,5.3888709677419355
2007-01-01,5.3624193548387097
2007-04-01,5.5771875000000000
2007-07-01,5.7541269841269841
2007-10-01,5.5337096774193548
2008-01-01,5.4527868852459016
2008-04-01,5.6000000000000000
2008-07-01,5.6517187500000000
2008-10-01,5.7972580645161290
2009-01-01,5.2775409836065574
2009-04-01,5.5126984126984127
2009-07-01,5.2678125000000000
2009-10-01,5.1990322580645161
2010-01-01,5.2924590163934426
2010-04-01,5.0465625000000000
2010-07-01,4.5789062500000000
2010-10-01,4.8612698412698413
2011-01-01,5.1296774193548387
2011-04-01,5.0341269841269841
2011-07-01,4.4506250000000000
2011-10-01,3.9262295081967213
2012-01-01,3.8975806451612903
2012-04-01,3.8009375000000000
2012-07-01,3.4515873015873016
2012-10-01,3.5370491803278689
2013-01-01,3.8740000000000000
2013-04-01,3.9557812500000000
2013-07-01,4.5046875000000000
2013-10-01,4.5911290322580645
2014-01-01,4.4396721311475410
2014-04-01,4.2173015873015873
2014-07-01,4.1171875000000000
2014-10-01,3.8720967741935484
2015-01-01,3.5714754098360656
2015-04-01,3.8956250000000000
2015-07-01,4.0860937500000000
2015-10-01,3.9903225806451613
2016-01-01,3.9213114754098361
2016-04-01,3.5864062500000000
2016-07-01,3.3379687500000000
2016-10-01,3.8136065573770492
2017-01-01,3.9622580645161290
2017-04-01,3.7960317460317460
2017-07-01,3.6530158730158730
2017-10-01,3.5609677419354839
2018-01-01,3.7432786885245902
2018-04-01,3.9331250000000000
2018-07-01,3.9090476190476190
2018-10-01,4.1280645161290323
2019-01-01,3.8322950819672131
2019-04-01,3.6006349206349206
2019-07-01,3.1029687500000000
2019-10-01,3.0229032258064516
2020-01-01,2.9187096774193548
2020-04-01,2.4549206349206349
2020-07-01,2.2332812500000000
2020-10-01,2.3051612903225806
2021-01-01,2.7488524590163934
2021-04-01,2.8777777777777778
2021-07-01,2.5487500000000000
2021-10-01,2.6490322580645161
2022-01-01,3.2159677419354839
2022-04-01,4.0493548387096774
2022-07-01,4.2359375000000000
2022-10-01,4.8064516129032258
2023-01-01,4.5229032258064516
2023-04-01,4.5996774193548387
2023-07-01,4.9161904761904762
2023-10-01,5.2193548387096774
2024-01-01,.
