DATE,DGS20
1962-01-01,4.0825806451612903
1962-04-01,3.9325396825396825
1962-07-01,4.0176190476190476
1962-10-01,3.9326229508196721
1963-01-01,3.9604918032786885
1963-04-01,4.0252380952380952
1963-07-01,4.0584375000000000
1963-10-01,4.1540983606557377
1964-01-01,4.1926229508196721
1964-04-01,4.2043750000000000
1964-07-01,4.1825000000000000
1964-10-01,4.1822950819672131
1965-01-01,4.1978688524590164
1965-04-01,4.2087301587301587
1965-07-01,4.2548437500000000
1965-10-01,4.4106557377049180
1966-01-01,4.6488888888888889
1966-04-01,4.6904761904761905
1966-07-01,4.9132812500000000
1966-10-01,4.8196666666666667
1967-01-01,4.5581967213114754
1967-04-01,4.8475000000000000
1967-07-01,5.0982539682539683
1967-10-01,5.5367213114754098
1968-01-01,5.4554838709677419
1968-04-01,5.4730645161290323
1968-07-01,5.2650000000000000
1968-10-01,5.6208064516129032
1969-01-01,6.1031147540983607
1969-04-01,6.1398412698412698
1969-07-01,6.3458730158730159
1969-10-01,6.7124590163934426
1970-01-01,6.7763333333333333
1970-04-01,7.1436923076923077
1970-07-01,6.9595312500000000
1970-10-01,6.5722950819672131
1971-01-01,6.0752459016393443
1971-04-01,6.2373015873015873
1971-07-01,6.2350000000000000
1971-10-01,5.9300000000000000
1972-01-01,6.0423809523809524
1972-04-01,6.0776562500000000
1972-07-01,5.9977777777777778
1972-10-01,5.9146666666666667
1973-01-01,6.8541935483870968
1973-04-01,6.9736507936507937
1973-07-01,7.3969841269841270
1973-10-01,7.2543333333333333
1974-01-01,7.5570491803278689
1974-04-01,8.0865079365079365
1974-07-01,8.4831250000000000
1974-10-01,8.0972131147540984
1975-01-01,7.8620000000000000
1975-04-01,8.2112500000000000
1975-07-01,8.4070312500000000
1975-10-01,8.2836065573770492
1976-01-01,8.0009677419354839
1976-04-01,8.0046031746031746
1976-07-01,7.8967187500000000
1976-10-01,7.5347540983606557
1977-01-01,7.6212698412698413
1977-04-01,7.6795238095238095
1977-07-01,7.6041269841269841
1977-10-01,7.7820000000000000
1978-01-01,8.1862295081967213
1978-04-01,8.4339682539682540
1978-07-01,8.5295238095238095
1978-10-01,8.7772131147540984
1979-01-01,9.0301612903225806
1979-04-01,9.0820967741935484
1979-07-01,9.0233333333333333
1979-10-01,10.1714754098360656
1980-01-01,11.7527419354838710
1980-04-01,10.5806349206349206
1980-07-01,10.9428125000000000
1980-10-01,12.2086885245901639
1981-01-01,12.7272131147540984
1981-04-01,13.4822222222222222
1981-07-01,14.4965625000000000
1981-10-01,14.1632786885245902
1982-01-01,14.2350819672131148
1982-04-01,13.7498412698412698
1982-07-01,12.9429687500000000
1982-10-01,10.7180327868852459
1983-01-01,10.8619047619047619
1983-04-01,10.8141269841269841
1983-07-01,11.8009375000000000
1983-10-01,11.9046666666666667
1984-01-01,12.1004838709677419
1984-04-01,13.2168253968253968
1984-07-01,12.8385714285714286
1984-10-01,11.7885245901639344
1985-01-01,11.7855000000000000
1985-04-01,11.1587301587301587
1985-07-01,10.7336507936507937
1985-10-01,10.2250000000000000
1986-01-01,8.9280000000000000
1986-04-01,7.6656250000000000
1986-07-01,7.3782812500000000
1986-10-01,7.4351612903225806
1987-01-01,.
1987-04-01,.
1987-07-01,.
1987-10-01,.
1988-01-01,.
1988-04-01,.
1988-07-01,.
1988-10-01,.
1989-01-01,.
1989-04-01,.
1989-07-01,.
1989-10-01,.
1990-01-01,.
1990-04-01,.
