DATE,BAA
1919-01-01,7.1566666666666667
1919-04-01,7.1200000000000000
1919-07-01,7.1533333333333333
1919-10-01,7.5500000000000000
1920-01-01,7.8966666666666667
1920-04-01,8.3166666666666667
1920-07-01,8.3500000000000000
1920-10-01,8.2533333333333333
1921-01-01,8.4900000000000000
1921-04-01,8.5366666666666667
1921-07-01,8.4433333333333333
1921-10-01,7.9433333333333333
1922-01-01,7.5666666666666667
1922-04-01,7.0000000000000000
1922-07-01,6.8300000000000000
1922-10-01,6.9266666666666667
1923-01-01,7.0133333333333333
1923-04-01,7.1833333333333333
1923-07-01,7.3666666666666667
1923-10-01,7.4133333333333333
1924-01-01,7.1533333333333333
1924-04-01,6.9400000000000000
1924-07-01,6.6966666666666667
1924-10-01,6.5400000000000000
1925-01-01,6.3866666666666667
1925-04-01,6.2966666666666667
1925-07-01,6.2133333333333333
1925-10-01,6.1633333333333333
1926-01-01,6.0533333333333333
1926-04-01,5.8800000000000000
1926-07-01,5.7966666666666667
1926-10-01,5.7533333333333333
1927-01-01,5.5800000000000000
1927-04-01,5.5100000000000000
1927-07-01,5.4833333333333333
1927-10-01,5.3500000000000000
1928-01-01,5.3333333333333333
1928-04-01,5.4333333333333333
1928-07-01,5.5933333333333333
1928-10-01,5.5766666666666667
1929-01-01,5.6933333333333333
1929-04-01,5.8466666666666667
1929-07-01,6.0366666666666667
1929-10-01,6.0300000000000000
1930-01-01,5.8466666666666667
1930-04-01,5.7333333333333333
1930-07-01,5.7166666666666667
1930-10-01,6.3000000000000000
1931-01-01,6.4100000000000000
1931-04-01,7.0766666666666667
1931-07-01,7.5400000000000000
1931-10-01,9.4633333333333333
1932-01-01,8.9433333333333333
1932-04-01,10.8200000000000000
1932-07-01,8.8733333333333333
1932-10-01,8.1766666666666667
1933-01-01,8.4300000000000000
1933-04-01,7.9766666666666667
1933-07-01,6.8866666666666667
1933-10-01,7.7400000000000000
1934-01-01,6.5133333333333333
1934-04-01,6.0400000000000000
1934-07-01,6.3966666666666667
1934-10-01,6.3333333333333333
1935-01-01,6.0433333333333333
1935-04-01,5.9466666666666667
1935-07-01,5.5933333333333333
1935-10-01,5.4233333333333333
1936-01-01,4.8866666666666667
1936-04-01,4.9166666666666667
1936-07-01,4.7333333333333333
1936-10-01,4.5300000000000000
1937-01-01,4.5666666666666667
1937-04-01,4.8700000000000000
1937-07-01,4.9966666666666667
1937-10-01,5.6900000000000000
1938-01-01,6.0533333333333333
1938-04-01,6.2600000000000000
1938-07-01,5.5900000000000000
1938-10-01,5.2866666666666667
1939-01-01,5.0200000000000000
1939-04-01,5.0433333333333333
1939-07-01,4.8966666666666667
1939-10-01,4.8833333333333333
1940-01-01,4.8300000000000000
1940-04-01,4.9300000000000000
1940-07-01,4.7400000000000000
1940-10-01,4.4966666666666667
1941-01-01,4.3933333333333333
1941-04-01,4.3200000000000000
1941-07-01,4.2833333333333333
1941-10-01,4.3133333333333333
1942-01-01,4.2933333333333333
1942-04-01,4.2866666666666667
1942-07-01,4.2800000000000000
1942-10-01,4.2566666666666667
1943-01-01,4.0833333333333333
1943-04-01,3.9166666666666667
1943-07-01,3.8166666666666667
1943-10-01,3.8233333333333333
1944-01-01,3.7266666666666667
1944-04-01,3.6333333333333333
1944-07-01,3.5600000000000000
1944-10-01,3.5233333333333333
1945-01-01,3.4166666666666667
1945-04-01,3.3233333333333333
1945-07-01,3.2533333333333333
1945-10-01,3.1500000000000000
1946-01-01,2.9666666666666667
1946-04-01,3.0033333333333333
1946-07-01,3.0533333333333333
1946-10-01,3.1633333333333333
1947-01-01,3.1333333333333333
1947-04-01,3.1800000000000000
1947-07-01,3.1933333333333333
1947-10-01,3.4366666666666667
1948-01-01,3.5266666666666667
1948-04-01,3.3966666666666667
1948-07-01,3.4200000000000000
1948-10-01,3.5200000000000000
1949-01-01,3.4600000000000000
1949-04-01,3.4566666666666667
1949-07-01,3.4100000000000000
1949-10-01,3.3400000000000000
1950-01-01,3.2400000000000000
1950-04-01,3.2533333333333333
1950-07-01,3.2533333333333333
1950-10-01,3.2133333333333333
1951-01-01,3.1866666666666667
1951-04-01,3.4133333333333333
1951-07-01,3.4966666666666667
1951-10-01,3.5566666666666667
1952-01-01,3.5433333333333333
1952-04-01,3.4966666666666667
1952-07-01,3.5100000000000000
1952-10-01,3.5266666666666667
1953-01-01,3.5366666666666667
1953-04-01,3.7633333333333333
1953-07-01,3.8633333333333333
1953-10-01,3.7700000000000000
1954-01-01,3.6100000000000000
1954-04-01,3.4766666666666667
1954-07-01,3.4866666666666667
1954-10-01,3.4533333333333333
1955-01-01,3.4666666666666667
1955-04-01,3.5000000000000000
1955-07-01,3.5566666666666667
1955-10-01,3.5966666666666667
1956-01-01,3.5933333333333333
1956-04-01,3.7233333333333333
1956-07-01,3.9333333333333333
1956-10-01,4.2600000000000000
1957-01-01,4.4633333333333333
1957-04-01,4.5300000000000000
1957-07-01,4.8266666666666667
1957-10-01,5.0366666666666667
1958-01-01,4.7233333333333333
1958-04-01,4.6133333333333333
1958-07-01,4.6900000000000000
1958-10-01,4.8800000000000000
1959-01-01,4.8700000000000000
1959-04-01,4.9533333333333333
1959-07-01,5.1166666666666667
1959-10-01,5.2733333333333333
1960-01-01,5.3100000000000000
1960-04-01,5.2466666666666667
1960-07-01,5.1033333333333333
1960-10-01,5.0966666666666667
1961-01-01,5.0633333333333333
1961-04-01,5.0166666666666667
1961-07-01,5.1066666666666667
1961-10-01,5.1133333333333333
1962-01-01,5.0633333333333333
1962-04-01,5.0133333333333333
