DATE,A261RX1Q020SBEA
2013-04-01,17836.798
2013-07-01,17853.234
2013-10-01,17956.04
2014-01-01,18074.671
2014-04-01,18325.257
2014-07-01,18535.841
2014-10-01,18695.476
2015-01-01,18821.028
2015-04-01,18886.309
2015-07-01,18918.031
2015-10-01,18955.786
2016-01-01,19069.518
2016-04-01,18979.895
2016-07-01,19104.696
2016-10-01,19198.45
2017-01-01,19355.01
2017-04-01,19474.121
2017-07-01,19569.945
2017-10-01,19778.303
2018-01-01,19922.21
2018-04-01,20042.08
2018-07-01,20239.212
2018-10-01,20322.781
2019-01-01,20508.171
2019-04-01,20555.025
2019-07-01,20690.1
2019-10-01,20853.099
2020-01-01,20725.675
2020-04-01,18926.062
2020-07-01,20165.471
2020-10-01,20896.592
2021-01-01,21057.673
2021-04-01,21297.494
2021-07-01,21486.524
2021-10-01,21811.265
2022-01-01,21836.921
2022-04-01,21836.913
2022-07-01,21981.449
2022-10-01,21814.911
2023-01-01,21841.693
2023-04-01,21866.237
2023-07-01,21968.971
