DATE,AWHNONAG
1964-01-01,38.4000000000000000
1964-04-01,38.6000000000000000
1964-07-01,38.5333333333333333
1964-10-01,38.6000000000000000
1965-01-01,38.7000000000000000
1965-04-01,38.7000000000000000
1965-07-01,38.5666666666666667
1965-10-01,38.5666666666666667
1966-01-01,38.6666666666666667
1966-04-01,38.5666666666666667
1966-07-01,38.3666666666666667
1966-10-01,38.3000000000000000
1967-01-01,38.0333333333333333
1967-04-01,37.8000000000000000
1967-07-01,37.8000000000000000
1967-10-01,37.8000000000000000
1968-01-01,37.7000000000000000
1968-04-01,37.7000000000000000
1968-07-01,37.7000000000000000
1968-10-01,37.5666666666666667
1969-01-01,37.6000000000000000
1969-04-01,37.6000000000000000
1969-07-01,37.5333333333333333
1969-10-01,37.4666666666666667
1970-01-01,37.2666666666666667
1970-04-01,36.9666666666666667
1970-07-01,36.9333333333333333
1970-10-01,36.8000000000000000
1971-01-01,36.7333333333333333
1971-04-01,36.7666666666666667
1971-07-01,36.7000000000000000
1971-10-01,36.8333333333333333
1972-01-01,36.8666666666666667
1972-04-01,36.8666666666666667
1972-07-01,36.8333333333333333
1972-10-01,36.9000000000000000
1973-01-01,36.9000000000000000
1973-04-01,36.9000000000000000
1973-07-01,36.8333333333333333
1973-10-01,36.7666666666666667
1974-01-01,36.6000000000000000
1974-04-01,36.5000000000000000
1974-07-01,36.4666666666666667
1974-10-01,36.1666666666666667
1975-01-01,35.8666666666666667
1975-04-01,35.8666666666666667
1975-07-01,36.0333333333333333
1975-10-01,36.1333333333333333
1976-01-01,36.2333333333333333
1976-04-01,36.1000000000000000
1976-07-01,36.0666666666666667
1976-10-01,35.9000000000000000
1977-01-01,35.8333333333333333
1977-04-01,36.0000000000000000
1977-07-01,35.8666666666666667
1977-10-01,35.9000000000000000
1978-01-01,35.5666666666666667
1978-04-01,35.8333333333333333
1978-07-01,35.8000000000000000
1978-10-01,35.7333333333333333
1979-01-01,35.7000000000000000
1979-04-01,35.5000000000000000
1979-07-01,35.6000000000000000
1979-10-01,35.6000000000000000
1980-01-01,35.3666666666666667
