DATE,FPI
2017-04-01,3407.44
2017-07-01,3445.283
2017-10-01,3530.448
2018-01-01,3610.589
2018-04-01,3666.129
2018-07-01,3690.028
2018-10-01,3706.704
2019-01-01,3734.438
2019-04-01,3818.646
2019-07-01,3869.538
2019-10-01,3858.318
2020-01-01,3840.709
2020-04-01,3549.232
2020-07-01,3796.371
2020-10-01,3957.371
2021-01-01,4075.43
2021-04-01,4174.509
2021-07-01,4229.884
2021-10-01,4338.504
2022-01-01,4517.778
2022-04-01,4618.872
2022-07-01,4642.293
2022-10-01,4618.419
2023-01-01,4702.132
2023-04-01,4761.733
2023-07-01,4813.0
2023-10-01,4870.51
