DATE;CNP16OV;HP filtered
1948-01-01;102603;102606.726621225
1948-02-01;102698;102691.645727353
1948-03-01;102771;102776.562504342
1948-04-01;102831;102861.478594475
1948-05-01;102923;102946.392163469
1948-06-01;102992;103031.282327919
1948-07-01;103216;103116.113584318
1948-08-01;103240;103200.825877705
1948-09-01;103291;103285.421582128
1948-10-01;103361;103369.92755546
1948-11-01;103424;103454.374142089
1948-12-01;103468;103538.786106676
1949-01-01;103529;103623.169230048
1949-02-01;103559;103707.485051711
1949-03-01;103665;103791.636255406
1949-04-01;103739;103875.432721713
1949-05-01;103845;103958.605183556
1949-06-01;103930;104040.799103406
1949-07-01;104042;104121.588940494
1949-08-01;104121;104200.479904612
1949-09-01;104219;104276.927462464
1949-10-01;104338;104350.337405813
1949-11-01;104421;104420.079321759
1949-12-01;104524;104485.515086523
1950-01-01;104619;104546.007151749
1950-02-01;104737;104600.942022154
1950-03-01;104844;104649.751822983
1950-04-01;104943;104691.953715717
1950-05-01;105014;104727.186266949
1950-06-01;105104;104755.2449472
1950-07-01;105194;104776.104485572
1950-08-01;105282;104789.957583077
1950-09-01;105269;104797.258125422
1950-10-01;105096;104798.767524826
1950-11-01;104979;104795.542032179
1950-12-01;104872;104788.823668667
1951-01-01;104844;104779.969116708
1951-02-01;104604;104770.387043925
1951-03-01;104629;104761.526137243
1951-04-01;104541;104754.731091688
1951-05-01;104491;104751.263773445
1951-06-01;104488;104752.252466771
1951-07-01;104504;104758.662791062
1951-08-01;104536;104771.295207925
1951-09-01;104588;104790.791014718
1951-10-01;104690;104817.6444493
1951-11-01;104740;104852.22300514
1951-12-01;104810;104894.814397931
1952-01-01;104862;104945.636203984
1952-02-01;104868;105004.852990613
1952-03-01;104860;105072.577052506
1952-04-01;104906;105148.835151228
1952-05-01;104996;105233.521187691
1952-06-01;105118;105326.377290833
1952-07-01;105246;105426.997138852
1952-08-01;105346;105534.844174139
1952-09-01;105436;105649.268715873
1952-10-01;105591;105769.503055624
1952-11-01;105706;105894.646192015
1952-12-01;105812;106023.685559259
1953-01-01;106594;106155.490687698
1953-02-01;106678;106288.798804201
1953-03-01;106744;106422.621203956
1953-04-01;106826;106556.2124329
1953-05-01;106910;106689.027898716
1953-06-01;106978;106820.691626316
1953-07-01;107034;106950.965748178
1953-08-01;107132;107079.71071451
1953-09-01;107253;107206.838871931
1953-10-01;107383;107332.295247861
1953-11-01;107504;107456.053720425
1953-12-01;107623;107578.119858219
1954-01-01;107763;107698.529196264
1954-02-01;107880;107817.345319669
1954-03-01;107987;107934.672107796
1954-04-01;108080;108050.652599181
1954-05-01;108184;108165.462537294
1954-06-01;108267;108279.29600773
1954-07-01;108344;108392.358681997
1954-08-01;108440;108504.848546601
1954-09-01;108546;108616.933363868
1954-10-01;108668;108728.740365785
1954-11-01;108798;108840.352450987
1954-12-01;108892;108951.814555378
1955-01-01;109059;109063.145144582
1955-02-01;109078;109174.325300126
1955-03-01;109254;109285.333512819
1955-04-01;109377;109396.088070162
1955-05-01;109544;109506.487676205
1955-06-01;109680;109616.419104959
1955-07-01;109792;109725.792575635
1955-08-01;109882;109834.558045504
1955-09-01;109977;109942.706851476
1955-10-01;110085;110050.259981685
1955-11-01;110177;110157.25985748
1955-12-01;110296;110263.770612724
1956-01-01;110390;110369.868718867
1956-02-01;110478;110475.650790728
1956-03-01;110582;110581.226025175
1956-04-01;110650;110686.705087332
1956-05-01;110810;110792.19912606
1956-06-01;110903;110897.796349536
1956-07-01;111019;111003.596091486
1956-08-01;111099;111109.700937919
1956-09-01;111222;111216.223102282
1956-10-01;111335;111323.268109941
1956-11-01;111432;111430.945096819
1956-12-01;111526;111539.370531274
1957-01-01;111626;111648.661540975
1957-02-01;111711;111758.92689701
1957-03-01;111824;111870.261207006
1957-04-01;111933;111982.729124277
1957-05-01;112031;112096.366388884
1957-06-01;112172;112211.177660183
1957-07-01;112317;112327.12674354
1957-08-01;112421;112444.152958282
1957-09-01;112554;112562.189294521
1957-10-01;112710;112681.15427177
1957-11-01;112874;112800.961291234
1957-12-01;113013;112921.541782698
1958-01-01;113138;113042.872825138
1958-02-01;113234;113164.988658918
1958-03-01;113337;113287.982978885
1958-04-01;113415;113411.992611976
1958-05-01;113534;113537.185020765
1958-06-01;113647;113663.729547442
1958-07-01;113727;113791.793543562
1958-08-01;113835;113921.53390471
1958-09-01;113977;114053.067030509
1958-10-01;114138;114186.455236889
1958-11-01;114283;114321.713297887
1958-12-01;114429;114458.825703017
1959-01-01;114582;114597.752745982
1959-02-01;114712;114738.43607942
1959-03-01;114849;114880.807510502
1959-04-01;114986;115024.782323852
1959-05-01;115144;115170.255924397
1959-06-01;115287;115317.099478113
