DATE,COMPNFB
2019-04-01,107.365
2019-07-01,107.380
2019-10-01,109.236
2020-01-01,112.243
2020-04-01,119.623
2020-07-01,116.860
2020-10-01,119.577
2021-01-01,119.688
2021-04-01,121.495
2021-07-01,123.120
2021-10-01,124.901
2022-01-01,125.619
2022-04-01,125.770
2022-07-01,127.922
2022-10-01,127.938
2023-01-01,129.961
2023-04-01,131.775
2023-07-01,133.315
2023-10-01,134.492
