date,Desired_Path,Policy_Rate,Inflation,Output,ExAnteRealRate,RealNaturalRate
2020-06-30,0.0,0.9757113370130188,0.5008100902684821,0.0,0.4757113370130295,0.47334461394330507
2020-09-30,-0.199555616,0.5611763944346262,0.33316424665056266,-1.041146587308821,0.22794351687759937,-0.2153113090501697
2020-12-31,-0.25080643599999985,0.22649955125532306,0.2586614439893748,-1.872241478664473,-0.04257135498406628,-0.4177294264419712
2021-03-31,-0.276447244,0.019188921149609794,0.2291701978010397,-2.3756385965576925,-0.22431528364402298,-0.4724961398231967
2021-06-30,-0.236897821,-0.06546678544290896,0.2309065038312616,-2.5678098077385956,-0.3111480795540871,-0.42900941962376926
2021-09-30,-0.6697303769999998,-0.36679558395882683,0.12547065619453107,-3.3046176721626734,-0.5062574932671347,-0.8494599299879091
2021-12-31,-0.258863771,-0.32434726897705746,0.18881614284418186,-3.1735572883619354,-0.5321888972310953,-0.5153376865597119
2022-03-31,-0.6433290939999998,-0.49070978894827655,0.11927915416139329,-3.5698499086333295,-0.6246379525019199,-0.8205863536367337
2022-06-30,-1.3867222339999998,-1.0743396725186973,-0.0923790253903728,-5.013006601389238,-1.00107987255195,-1.6434515384207913
2022-09-30,-1.2424393909999998,-1.3911960988101657,-0.13347955036564862,-5.774316185384619,-1.2890456188279589,-1.667796092672551
2022-12-31,-1.575445015,-1.7523536765902175,-0.2262406734079625,-6.641221292552349,-1.5589285453024022,-1.989036172794333
2023-03-31,-2.0998103109999997,-2.297907539956277,-0.3892196408997761,-7.96645609792809,-1.9460032479479024,-2.577492402773303
2023-06-30,-2.266984332,-2.753292129031669,-0.48882307332407415,-9.056236351826264,-2.3102397757303472,-2.8582483671136933
2023-09-30,-2.7807721429999996,-3.3318035969002304,-0.6494355949775473,-10.44856597111844,-2.7328030257518634,-3.4182961338624205
2023-12-31,-2.765171069,-3.687058948743685,-0.7026035764679003,-11.271641825134372,-3.0423707298073954,-3.5015285120372717
2024-03-31,-2.916182923,-3.965427616594269,-0.7564523114164267,-11.898397398231031,-3.2678167908772258,-3.645965410177088
2024-06-30,-2.567518153,-3.909514660424894,-0.689337542432558,-11.684904053063711,-3.2794459286228745,-3.301766873367828
2024-09-30,-2.3685365149999997,-3.7106837053229125,-0.6156180264922445,-11.11901380435546,-3.1479724686849924,-3.0075488770615584
