x,Zero_line,Counterfactual_HLW_Ex_ante_real_rate
2020-03-31,0.0,0.0
2020-06-30,0.0,-0.06646176217745722
2020-09-30,0.0,-0.15309390626551078
2020-12-31,0.0,-0.17673796810021894
2021-03-31,0.0,-0.482518034030498
2021-06-30,0.0,-0.28356979992477455
2021-09-30,0.0,-0.43978146514995814
2021-12-31,0.0,-0.7258819065344473
2022-03-31,0.0,-0.964784333735671
2022-06-30,0.0,-1.5265251953188355
2022-09-30,0.0,-1.9403282372260835
2022-12-31,0.0,-2.0367840848896654
2023-03-31,0.0,-2.6000549107775908
2023-06-30,0.0,-2.619278804762811
2023-09-30,0.0,-2.8994180043660123
2023-12-31,0.0,-2.6271163016831443
2024-03-31,0.0,-2.349722106414491
2024-06-30,0.0,-0.9495082800712671
2024-09-30,0.0,-0.9698918891820154
2024-12-31,0.0,-1.2568810899577723
