date,Desired_Path,Policy_Rate,Inflation,Output,ExAnteRealRate,RealNaturalRate
2020-06-30,0.0,0.7190756895875561,0.6520811836170044,0.0,0.21907568958756674,0.2179857607836455
2020-09-30,-0.11378219700000006,0.44982037925128404,0.5012809114048102,-1.3788836960735704,-0.0005508861907011775,-0.12423142200586806
2020-12-31,0.3043531330000002,0.6368195266238165,0.6481279869908574,-0.45592559067083216,0.13822038973959694,0.23247939156398406
2021-03-31,0.31557896199999985,0.7699707072609773,0.6920763631995064,0.21617648076197818,0.2560946688076098,0.3173386986978688
2021-06-30,-0.3154641569999998,0.32047632522748126,0.4207158857076928,-2.080484501377077,-0.10375002695208413,-0.31111948991889404
2021-09-30,-0.552977826,-0.13341977833447016,0.23765997475977318,-4.457983376170256,-0.4968033342945508,-0.6884245579584793
2021-12-31,-0.3567814950000001,-0.19739553583088765,0.27036304511816805,-4.894880478409412,-0.5725383321507999,-0.5723388144857827
2022-03-31,-0.5545403659999999,-0.3618428525024795,0.18609557155069206,-5.85504813163445,-0.7106718464913799,-0.7554706319874732
2022-06-30,-1.362262789,-1.1043153279457727,-0.2035824809552116,-9.80018825930256,-1.3252566647606385,-1.6256079007656992
2022-09-30,-1.694089297,-1.7786441679887846,-0.4651676121994299,-13.494315869264137,-1.9137409624006256,-2.154712805389737
2022-12-31,-2.025431111,-2.372950359336408,-0.6958400755637817,-16.86564299875249,-2.4340021931373546,-2.616429311937168
2023-03-31,-2.3062994010000004,-2.887059548045122,-0.8935407191497124,-19.905987902904183,-2.8850188072812664,-3.010573186300671
2023-06-30,-2.8692936799999997,-3.589915618602535,-1.2087764919230803,-23.983837424553453,-3.4859212840733016,-3.6794240868353225
2023-09-30,-3.424586926,-4.397418057269946,-1.5528166885273305,-28.692989394648112,-4.18165160338285,-4.397957452640676
2023-12-31,-3.661961131,-4.991846912899544,-1.7627030671572175,-32.41811744544379,-4.708881295454509,-4.801833298875762
2024-03-31,-3.721752297,-5.314458700225661,-1.85491388966523,-34.83019412615957,-5.003452399419418,-4.956202471961715
2024-06-30,-3.9422423849999997,-5.628266861637228,-1.9843158146451587,-37.24131869902997,-5.276542492061024,-5.219326556336303
