x,Output,Zero_line,Inflation
2020-03-31,0.0,0.0,0.0
2020-06-30,-0.20329799344183302,0.0,-0.016648382521859205
2020-09-30,-0.1806772536959997,0.0,-0.015536411406610787
2020-12-31,-0.6226911882575716,0.0,-0.051975202733037434
2021-03-31,-0.8463472546304662,0.0,-0.07197076519169082
2021-06-30,-0.3457571041203087,0.0,-0.03250630419185552
2021-09-30,0.09268586343170315,0.0,0.004637355829964073
2021-12-31,0.1245505054616792,0.0,0.009474092498136988
2022-03-31,0.39369132210824,0.0,0.03255354712657348
2022-06-30,1.3775505723525783,0.0,0.11440946541334975
2022-09-30,2.2210946307515256,0.0,0.18749888405566273
2022-12-31,3.075768485443291,0.0,0.26216202592169713
2023-03-31,3.899796789960409,0.0,0.33451658011341256
2023-06-30,5.0150116793575785,0.0,0.4306458401711783
2023-09-30,6.2643303094717,0.0,0.5387921555614033
2023-12-31,7.28063048240629,0.0,0.6288527891444715
2024-03-31,8.030416970653565,0.0,0.6967139421408735
2024-06-30,8.81014896305101,0.0,0.7659503500399216
2024-09-30,8.851957111786925,0.0,0.7745394732319457
